# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e75_100m_20260119_175828/mamba2
# Started: 2026-01-19T17:58:36.704665
============================================================

Using device: cuda
Output directory: benchmark_results/e75_100m_20260119_175828/mamba2/levelmamba2_100m_20260119_175842
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9592
step     20 | loss 4.3084 | lr 5.70e-05 | grad 6.47 | tok/s 66182
step     30 | loss 4.5681 | lr 8.70e-05 | grad 3.27 | tok/s 69650
step     40 | loss 3.1655 | lr 1.17e-04 | grad 1.87 | tok/s 69389
step     50 | loss 2.3871 | lr 1.47e-04 | grad 1.48 | tok/s 69037
step     60 | loss 2.7603 | lr 1.77e-04 | grad 3.27 | tok/s 67389
step     70 | loss 2.4720 | lr 2.07e-04 | grad 1.88 | tok/s 64801
step     80 | loss 2.8039 | lr 2.37e-04 | grad 3.19 | tok/s 66985
step     90 | loss 2.7422 | lr 2.67e-04 | grad 4.06 | tok/s 64333
step    100 | loss 2.2439 | lr 2.97e-04 | grad 1.20 | tok/s 64703
step    110 | loss 2.2788 | lr 6.94e-06 | grad 1.96 | tok/s 61485
step    120 | loss 2.4864 | lr 2.69e-05 | grad 1.52 | tok/s 61539
step    130 | loss 2.3552 | lr 5.89e-05 | grad 1.16 | tok/s 62641
step    140 | loss 2.0977 | lr 9.99e-05 | grad 1.00 | tok/s 62542
step    150 | loss 1.9593 | lr 1.46e-04 | grad 1.89 | tok/s 59467
step    160 | loss 1.8687 | lr 1.92e-04 | grad 1.62 | tok/s 59760
step    170 | loss 2.0567 | lr 2.35e-04 | grad 3.33 | tok/s 61634
step    180 | loss 2.0397 | lr 2.69e-04 | grad 1.27 | tok/s 61635
step    190 | loss 1.7564 | lr 2.91e-04 | grad 1.27 | tok/s 62399
step    200 | loss 1.3557 | lr 3.00e-04 | grad 1.05 | tok/s 63317
