# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 768 --depth 20 --expansion 2.0 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e75_100m_20260119_175828/fla-gdn
# Started: 2026-01-19T17:58:36.705080
============================================================

Using device: cuda
Output directory: benchmark_results/e75_100m_20260119_175828/fla-gdn/levelfla-gdn_100m_20260119_175842
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 95,020,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6134 | lr 2.70e-05 | grad 53.75 | tok/s 24083
step     20 | loss 5.5753 | lr 5.70e-05 | grad 18.00 | tok/s 86648
step     30 | loss 5.6181 | lr 8.70e-05 | grad 18.00 | tok/s 91517
step     40 | loss 5.3827 | lr 1.17e-04 | grad 18.38 | tok/s 91630
step     50 | loss 4.7330 | lr 1.47e-04 | grad 9.25 | tok/s 91675
step     60 | loss 4.2193 | lr 1.77e-04 | grad 40.50 | tok/s 89634
step     70 | loss 3.4019 | lr 2.07e-04 | grad 1.95 | tok/s 86289
step     80 | loss 3.5119 | lr 2.37e-04 | grad 3.28 | tok/s 89116
step     90 | loss 3.3166 | lr 2.67e-04 | grad 4.09 | tok/s 85983
step    100 | loss 2.8738 | lr 2.97e-04 | grad 1.69 | tok/s 86055
step    110 | loss 2.7597 | lr 6.94e-06 | grad 2.50 | tok/s 74131
step    120 | loss 3.1568 | lr 2.69e-05 | grad 3.48 | tok/s 74275
step    130 | loss 2.8979 | lr 5.89e-05 | grad 1.77 | tok/s 75980
step    140 | loss 2.6201 | lr 9.99e-05 | grad 1.23 | tok/s 75985
step    150 | loss 2.4501 | lr 1.46e-04 | grad 3.47 | tok/s 72705
step    160 | loss 2.2720 | lr 1.92e-04 | grad 1.73 | tok/s 73053
step    170 | loss 2.4057 | lr 2.35e-04 | grad 7.22 | tok/s 75527
step    180 | loss 2.3884 | lr 2.69e-04 | grad 1.45 | tok/s 75845
step    190 | loss 2.0485 | lr 2.91e-04 | grad 1.51 | tok/s 76747
step    200 | loss 1.5517 | lr 3.00e-04 | grad 1.21 | tok/s 78236
step    210 | loss 2.2749 | lr 2.94e-04 | grad 1.84 | tok/s 74981
step    220 | loss 2.0868 | lr 2.74e-04 | grad 1.12 | tok/s 77305
step    230 | loss 1.9569 | lr 2.42e-04 | grad 1.77 | tok/s 74791
step    240 | loss 1.9278 | lr 2.01e-04 | grad 1.72 | tok/s 76105
step    250 | loss 1.9156 | lr 1.55e-04 | grad 1.25 | tok/s 74943
step    260 | loss 1.9719 | lr 1.09e-04 | grad 0.77 | tok/s 71933
step    270 | loss 1.8147 | lr 6.65e-05 | grad 1.07 | tok/s 74327
step    280 | loss 1.7160 | lr 3.24e-05 | grad 1.71 | tok/s 74539
step    290 | loss 1.7127 | lr 9.84e-06 | grad 0.87 | tok/s 78505
step    300 | loss 1.6838 | lr 1.07e-06 | grad 0.91 | tok/s 78399
step    310 | loss 1.6741 | lr 6.94e-06 | grad 0.76 | tok/s 78355
