# Job 5: E75h8n16
# GPU: 5
# Command: python train.py --level E75h8n16 --dim 1920 --depth 20 --n_state 16 --expansion 1.0 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e75_100m_20260119_175828/E75h8n16
# Started: 2026-01-19T17:58:36.706348
============================================================

Using device: cuda
Output directory: benchmark_results/e75_100m_20260119_175828/E75h8n16/levelE75h8n16_100m_20260119_175842
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h8n16, 98,838,400 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.7967 | lr 2.70e-05 | grad 382.00 | tok/s 23761
step     20 | loss 5.5521 | lr 5.70e-05 | grad 81.50 | tok/s 82740
step     30 | loss 5.3211 | lr 8.70e-05 | grad 29.00 | tok/s 87408
step     40 | loss 4.6261 | lr 1.17e-04 | grad 11.25 | tok/s 87543
step     50 | loss 3.7639 | lr 1.47e-04 | grad 8.56 | tok/s 87100
step     60 | loss 3.5879 | lr 1.77e-04 | grad 7.88 | tok/s 84776
step     70 | loss 2.9934 | lr 2.07e-04 | grad 4.41 | tok/s 82312
step     80 | loss 3.2932 | lr 2.37e-04 | grad 6.19 | tok/s 85497
step     90 | loss 3.0865 | lr 2.67e-04 | grad 5.91 | tok/s 82478
step    100 | loss 2.7330 | lr 2.97e-04 | grad 2.77 | tok/s 83012
step    110 | loss 2.8473 | lr 6.94e-06 | grad 4.41 | tok/s 74645
step    120 | loss 3.1751 | lr 2.69e-05 | grad 3.00 | tok/s 74953
step    130 | loss 2.8339 | lr 5.89e-05 | grad 2.33 | tok/s 76557
step    140 | loss 2.5865 | lr 9.99e-05 | grad 1.46 | tok/s 76359
step    150 | loss 2.4509 | lr 1.46e-04 | grad 2.81 | tok/s 73068
step    160 | loss 2.3010 | lr 1.92e-04 | grad 2.05 | tok/s 73485
step    170 | loss 2.5084 | lr 2.35e-04 | grad 6.38 | tok/s 76288
step    180 | loss 2.5629 | lr 2.69e-04 | grad 2.31 | tok/s 76249
step    190 | loss 2.2877 | lr 2.91e-04 | grad 2.25 | tok/s 77282
