# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75_exp2_20260119/mamba2
# Started: 2026-01-19T18:58:55.100376
============================================================

Using device: cuda
Output directory: benchmark_results/e75_exp2_20260119/mamba2/levelmamba2_100m_20260119_185901
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9420
step     20 | loss 4.3083 | lr 5.70e-05 | grad 6.47 | tok/s 66314
step     30 | loss 4.5682 | lr 8.70e-05 | grad 3.27 | tok/s 69541
step     40 | loss 3.1657 | lr 1.17e-04 | grad 1.87 | tok/s 69709
step     50 | loss 2.3871 | lr 1.47e-04 | grad 1.48 | tok/s 69483
step     60 | loss 2.7603 | lr 1.77e-04 | grad 3.27 | tok/s 67828
step     70 | loss 2.4721 | lr 2.07e-04 | grad 1.88 | tok/s 65215
step     80 | loss 2.8039 | lr 2.37e-04 | grad 3.17 | tok/s 67444
step     90 | loss 2.7417 | lr 2.67e-04 | grad 4.06 | tok/s 64877
step    100 | loss 2.2442 | lr 2.97e-04 | grad 1.20 | tok/s 65222
step    110 | loss 2.2789 | lr 6.94e-06 | grad 1.96 | tok/s 61372
step    120 | loss 2.4866 | lr 2.69e-05 | grad 1.52 | tok/s 61060
step    130 | loss 2.3556 | lr 5.89e-05 | grad 1.16 | tok/s 62137
step    140 | loss 2.0977 | lr 9.99e-05 | grad 1.00 | tok/s 62095
step    150 | loss 1.9592 | lr 1.46e-04 | grad 1.89 | tok/s 59054
step    160 | loss 1.8689 | lr 1.92e-04 | grad 1.62 | tok/s 59657
step    170 | loss 2.0565 | lr 2.35e-04 | grad 3.31 | tok/s 61618
step    180 | loss 2.0395 | lr 2.69e-04 | grad 1.27 | tok/s 61186
step    190 | loss 1.7566 | lr 2.91e-04 | grad 1.27 | tok/s 62100
step    200 | loss 1.3554 | lr 3.00e-04 | grad 1.05 | tok/s 63223
step    210 | loss 2.1297 | lr 2.94e-04 | grad 1.73 | tok/s 60433
step    220 | loss 1.9247 | lr 2.74e-04 | grad 1.27 | tok/s 62000
step    230 | loss 1.8164 | lr 2.42e-04 | grad 1.49 | tok/s 59819
step    240 | loss 1.7892 | lr 2.01e-04 | grad 1.50 | tok/s 61345
step    250 | loss 1.7933 | lr 1.55e-04 | grad 1.31 | tok/s 60296
step    260 | loss 1.8803 | lr 1.09e-04 | grad 0.85 | tok/s 57807
step    270 | loss 1.7253 | lr 6.65e-05 | grad 0.96 | tok/s 59793
step    280 | loss 1.6087 | lr 3.24e-05 | grad 1.73 | tok/s 59495
step    290 | loss 1.6138 | lr 9.84e-06 | grad 0.76 | tok/s 62489
step    300 | loss 1.5964 | lr 1.07e-06 | grad 0.86 | tok/s 62314
step    310 | loss 1.5801 | lr 6.94e-06 | grad 0.68 | tok/s 62037
step    320 | loss 1.6805 | lr 2.69e-05 | grad 1.68 | tok/s 59773
step    330 | loss 1.7105 | lr 5.89e-05 | grad 0.79 | tok/s 58340
step    340 | loss 1.7110 | lr 9.99e-05 | grad 2.14 | tok/s 59413
step    350 | loss 1.7265 | lr 1.46e-04 | grad 0.91 | tok/s 57555
step    360 | loss 1.6738 | lr 1.92e-04 | grad 2.31 | tok/s 58251
step    370 | loss 1.5130 | lr 2.35e-04 | grad 1.00 | tok/s 59337
step    380 | loss 1.9885 | lr 2.69e-04 | grad 1.06 | tok/s 60732
step    390 | loss 1.7115 | lr 2.91e-04 | grad 1.48 | tok/s 58358
step    400 | loss 1.8052 | lr 3.00e-04 | grad 2.36 | tok/s 59809
step    410 | loss 1.5796 | lr 2.94e-04 | grad 2.38 | tok/s 57645
step    420 | loss 1.7145 | lr 2.74e-04 | grad 1.22 | tok/s 57457
step    430 | loss 1.8051 | lr 2.42e-04 | grad 1.21 | tok/s 56966
