# Job 5: E75h8n16
# GPU: 5
# Command: python train.py --level E75h8n16 --dim 1280 --depth 20 --n_state 16 --expansion 2.0 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75_exp2_20260119/E75h8n16
# Started: 2026-01-19T18:58:55.101789
============================================================

Using device: cuda
Output directory: benchmark_results/e75_exp2_20260119/E75h8n16/levelE75h8n16_100m_20260119_185901
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h8n16, 95,384,320 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.5415 | lr 2.70e-05 | grad 288.00 | tok/s 23600
step     20 | loss 5.3057 | lr 5.70e-05 | grad 52.25 | tok/s 82544
step     30 | loss 5.2640 | lr 8.70e-05 | grad 18.38 | tok/s 87148
step     40 | loss 4.7424 | lr 1.17e-04 | grad 8.00 | tok/s 87073
step     50 | loss 3.9934 | lr 1.47e-04 | grad 5.62 | tok/s 86672
step     60 | loss 3.7282 | lr 1.77e-04 | grad 12.50 | tok/s 85073
step     70 | loss 3.1262 | lr 2.07e-04 | grad 2.61 | tok/s 81973
step     80 | loss 3.5537 | lr 2.37e-04 | grad 3.80 | tok/s 85002
step     90 | loss 3.0690 | lr 2.67e-04 | grad 5.06 | tok/s 82091
step    100 | loss 2.7233 | lr 2.97e-04 | grad 1.57 | tok/s 82491
step    110 | loss 2.6954 | lr 6.94e-06 | grad 2.73 | tok/s 74130
step    120 | loss 3.0117 | lr 2.69e-05 | grad 1.90 | tok/s 74378
step    130 | loss 2.7901 | lr 5.89e-05 | grad 1.30 | tok/s 76264
step    140 | loss 2.5417 | lr 9.99e-05 | grad 1.27 | tok/s 76061
step    150 | loss 2.4363 | lr 1.46e-04 | grad 2.47 | tok/s 72518
step    160 | loss 2.3124 | lr 1.92e-04 | grad 1.64 | tok/s 73001
step    170 | loss 2.5213 | lr 2.35e-04 | grad 5.88 | tok/s 75757
step    180 | loss 2.5735 | lr 2.69e-04 | grad 1.95 | tok/s 75772
step    190 | loss 2.2864 | lr 2.91e-04 | grad 1.82 | tok/s 76851
step    200 | loss 1.9859 | lr 3.00e-04 | grad 1.08 | tok/s 78594
