# Job 8: 37v2
# GPU: 4
# Command: python train.py --level 37v2 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/elman48_20260119_191441/37v2
# Started: 2026-01-19T19:26:07.035793
============================================================

Using device: cuda
Output directory: benchmark_results/elman48_20260119_191441/37v2/level37v2_100m_20260119_192612
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 37v2, 65,738,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 8.9966 | lr 2.70e-05 | grad 9.75 | tok/s 17470
step     20 | loss 4.2815 | lr 5.70e-05 | grad 6.53 | tok/s 42512
step     30 | loss 4.6566 | lr 8.70e-05 | grad 3.14 | tok/s 58959
step     40 | loss 3.6892 | lr 1.17e-04 | grad 2.72 | tok/s 58969
step     50 | loss 3.0512 | lr 1.47e-04 | grad 2.59 | tok/s 59026
step     60 | loss 3.1382 | lr 1.77e-04 | grad 2.53 | tok/s 57782
step     70 | loss 2.7827 | lr 2.07e-04 | grad 1.48 | tok/s 55820
step     80 | loss 3.1830 | lr 2.37e-04 | grad 3.25 | tok/s 57314
step     90 | loss 3.0573 | lr 2.67e-04 | grad 3.52 | tok/s 55724
step    100 | loss 2.6686 | lr 2.97e-04 | grad 1.02 | tok/s 56438
step    110 | loss 2.6148 | lr 6.94e-06 | grad 1.85 | tok/s 52922
step    120 | loss 2.9120 | lr 2.69e-05 | grad 0.98 | tok/s 50737
step    130 | loss 2.6529 | lr 5.89e-05 | grad 1.02 | tok/s 52521
step    140 | loss 2.4409 | lr 9.99e-05 | grad 1.03 | tok/s 54143
step    150 | loss 2.3556 | lr 1.46e-04 | grad 1.81 | tok/s 50461
step    160 | loss 2.2613 | lr 1.92e-04 | grad 1.26 | tok/s 52157
step    170 | loss 2.4610 | lr 2.35e-04 | grad 3.52 | tok/s 54107
step    180 | loss 2.4894 | lr 2.69e-04 | grad 1.16 | tok/s 54472
step    190 | loss 2.2241 | lr 2.91e-04 | grad 1.03 | tok/s 55253
step    200 | loss 1.9346 | lr 3.00e-04 | grad 0.90 | tok/s 56572
step    210 | loss 2.4222 | lr 2.94e-04 | grad 1.37 | tok/s 54143
step    220 | loss 2.3053 | lr 2.74e-04 | grad 0.89 | tok/s 55932
step    230 | loss 2.1426 | lr 2.42e-04 | grad 1.02 | tok/s 53927
step    240 | loss 2.1634 | lr 2.01e-04 | grad 1.27 | tok/s 55155
step    250 | loss 2.1250 | lr 1.55e-04 | grad 0.91 | tok/s 54306
step    260 | loss 2.1635 | lr 1.09e-04 | grad 0.63 | tok/s 52211
step    270 | loss 2.0288 | lr 6.65e-05 | grad 0.79 | tok/s 54181
step    280 | loss 1.9143 | lr 3.24e-05 | grad 1.23 | tok/s 54068
step    290 | loss 1.9238 | lr 9.84e-06 | grad 0.60 | tok/s 57026
step    300 | loss 1.8836 | lr 1.07e-06 | grad 0.59 | tok/s 57037
step    310 | loss 1.8858 | lr 6.94e-06 | grad 0.52 | tok/s 57090
step    320 | loss 1.9739 | lr 2.69e-05 | grad 1.25 | tok/s 54897
step    330 | loss 2.0070 | lr 5.89e-05 | grad 0.60 | tok/s 53602
step    340 | loss 2.0202 | lr 9.99e-05 | grad 1.40 | tok/s 54743
step    350 | loss 2.0123 | lr 1.46e-04 | grad 0.78 | tok/s 53131
step    360 | loss 1.9988 | lr 1.92e-04 | grad 1.91 | tok/s 53858
step    370 | loss 1.8575 | lr 2.35e-04 | grad 0.95 | tok/s 54904
step    380 | loss 2.3899 | lr 2.69e-04 | grad 1.12 | tok/s 56304
step    390 | loss 1.9938 | lr 2.91e-04 | grad 1.01 | tok/s 54219
