# Job 18: 63
# GPU: 3
# Command: python train.py --level 63 --dim 512 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/elman48_20260119_191441/63
# Started: 2026-01-19T19:36:18.151538
============================================================

Using device: cuda
Output directory: benchmark_results/elman48_20260119_191441/63/level63_100m_20260119_193623
Auto r_h_mode: none (level 63 has bounded/no W_h)
Model: Level 63, 84,068,864 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4566 | lr 2.70e-05 | grad 9.81 | tok/s 20464
step     20 | loss 4.4547 | lr 5.70e-05 | grad 7.25 | tok/s 47859
step     30 | loss 4.7046 | lr 8.70e-05 | grad 3.20 | tok/s 50730
step     40 | loss 3.9199 | lr 1.17e-04 | grad 1.60 | tok/s 50268
step     50 | loss 3.5891 | lr 1.47e-04 | grad 2.72 | tok/s 51034
step     60 | loss 3.6557 | lr 1.77e-04 | grad 1.66 | tok/s 50235
step     70 | loss 3.2799 | lr 2.07e-04 | grad 1.10 | tok/s 47934
step     80 | loss 3.5264 | lr 2.37e-04 | grad 1.85 | tok/s 49916
step     90 | loss 3.4594 | lr 2.67e-04 | grad 2.83 | tok/s 48295
step    100 | loss 3.2718 | lr 2.97e-04 | grad 0.79 | tok/s 48632
step    110 | loss 3.2387 | lr 6.94e-06 | grad 1.45 | tok/s 45266
step    120 | loss 3.6097 | lr 2.69e-05 | grad 1.00 | tok/s 44962
step    130 | loss 3.4106 | lr 5.89e-05 | grad 0.95 | tok/s 46263
step    140 | loss 3.2024 | lr 9.99e-05 | grad 0.62 | tok/s 46373
step    150 | loss 3.1010 | lr 1.46e-04 | grad 1.68 | tok/s 44130
step    160 | loss 3.0656 | lr 1.92e-04 | grad 0.94 | tok/s 44528
step    170 | loss 3.2362 | lr 2.35e-04 | grad 2.09 | tok/s 46126
step    180 | loss 3.3452 | lr 2.69e-04 | grad 1.00 | tok/s 46341
step    190 | loss 3.1676 | lr 2.91e-04 | grad 1.16 | tok/s 46896
step    200 | loss 3.1267 | lr 3.00e-04 | grad 3.83 | tok/s 48026
step    210 | loss 3.1717 | lr 2.94e-04 | grad 1.37 | tok/s 45975
step    220 | loss 3.1291 | lr 2.74e-04 | grad 0.80 | tok/s 47716
step    230 | loss 2.8235 | lr 2.42e-04 | grad 1.49 | tok/s 45926
step    240 | loss 2.8050 | lr 2.01e-04 | grad 1.48 | tok/s 46800
step    250 | loss 2.6598 | lr 1.55e-04 | grad 1.30 | tok/s 45979
step    260 | loss 2.6124 | lr 1.09e-04 | grad 0.82 | tok/s 44404
step    270 | loss 2.5254 | lr 6.65e-05 | grad 0.83 | tok/s 46186
step    280 | loss 2.4123 | lr 3.24e-05 | grad 1.70 | tok/s 45805
step    290 | loss 2.4890 | lr 9.84e-06 | grad 0.70 | tok/s 48398
step    300 | loss 2.4789 | lr 1.07e-06 | grad 0.75 | tok/s 48523
step    310 | loss 2.4723 | lr 6.94e-06 | grad 0.59 | tok/s 48468
step    320 | loss 2.4520 | lr 2.69e-05 | grad 1.32 | tok/s 46368
step    330 | loss 2.5212 | lr 5.89e-05 | grad 0.83 | tok/s 45550
step    340 | loss 2.5361 | lr 9.99e-05 | grad 1.27 | tok/s 46597
step    350 | loss 2.5291 | lr 1.46e-04 | grad 1.49 | tok/s 45098
step    360 | loss 2.5120 | lr 1.92e-04 | grad 2.27 | tok/s 45603
step    370 | loss 2.4170 | lr 2.35e-04 | grad 1.69 | tok/s 46308
step    380 | loss 2.7970 | lr 2.69e-04 | grad 2.86 | tok/s 47489
step    390 | loss 2.4149 | lr 2.91e-04 | grad 1.73 | tok/s 47324
step    400 | loss 2.4937 | lr 3.00e-04 | grad 1.70 | tok/s 46990
step    410 | loss 2.2204 | lr 2.94e-04 | grad 2.30 | tok/s 45773
step    420 | loss 2.3267 | lr 2.74e-04 | grad 1.20 | tok/s 45501
step    430 | loss 2.4168 | lr 2.42e-04 | grad 1.31 | tok/s 45257
step    440 | loss 2.5491 | lr 2.01e-04 | grad 1.58 | tok/s 49706
step    450 | loss 2.2416 | lr 1.55e-04 | grad 0.82 | tok/s 50286
step    460 | loss 2.1979 | lr 1.09e-04 | grad 0.80 | tok/s 47442
step    470 | loss 2.2230 | lr 6.65e-05 | grad 1.66 | tok/s 47472
step    480 | loss 2.1222 | lr 3.24e-05 | grad 0.67 | tok/s 47073
step    490 | loss 2.0724 | lr 9.84e-06 | grad 0.55 | tok/s 47509
step    500 | loss 2.9411 | lr 1.07e-06 | grad 0.83 | tok/s 51735
step    510 | loss 2.0577 | lr 6.94e-06 | grad 0.62 | tok/s 50566
step    520 | loss 2.1527 | lr 2.69e-05 | grad 0.54 | tok/s 52158
step    530 | loss 2.5511 | lr 5.89e-05 | grad 0.98 | tok/s 51048
step    540 | loss 2.0776 | lr 9.99e-05 | grad 1.04 | tok/s 50984
step    550 | loss 2.0521 | lr 1.46e-04 | grad 1.09 | tok/s 48099
step    560 | loss 1.9330 | lr 1.92e-04 | grad 1.02 | tok/s 49152
step    570 | loss 2.1521 | lr 2.35e-04 | grad 3.84 | tok/s 48119
step    580 | loss 2.4166 | lr 2.69e-04 | grad 1.07 | tok/s 47232
step    590 | loss 2.6044 | lr 2.91e-04 | grad 2.27 | tok/s 47233
step    600 | loss 2.2168 | lr 3.00e-04 | grad 1.32 | tok/s 46656
step    610 | loss 2.2183 | lr 2.94e-04 | grad 1.41 | tok/s 48085
step    620 | loss 2.1266 | lr 2.74e-04 | grad 0.98 | tok/s 45620
step    630 | loss 2.0751 | lr 2.42e-04 | grad 1.12 | tok/s 47639
step    640 | loss 2.3602 | lr 2.01e-04 | grad 1.41 | tok/s 47550
step    650 | loss 2.0720 | lr 1.55e-04 | grad 1.23 | tok/s 46890
step    660 | loss 2.3295 | lr 1.09e-04 | grad 3.97 | tok/s 46096
step    670 | loss 2.1627 | lr 6.65e-05 | grad 2.25 | tok/s 47735
step    680 | loss 2.0968 | lr 3.24e-05 | grad 0.98 | tok/s 46015
step    690 | loss 2.1249 | lr 9.84e-06 | grad 1.12 | tok/s 46444
step    700 | loss 2.2073 | lr 1.07e-06 | grad 1.07 | tok/s 46716
step    710 | loss 2.1337 | lr 6.94e-06 | grad 0.97 | tok/s 47014
step    720 | loss 2.2393 | lr 2.68e-05 | grad 1.36 | tok/s 46646
step    730 | loss 2.1739 | lr 5.89e-05 | grad 1.20 | tok/s 47244
step    740 | loss 2.1026 | lr 9.99e-05 | grad 1.95 | tok/s 46819
step    750 | loss 1.9462 | lr 1.46e-04 | grad 1.59 | tok/s 46203
step    760 | loss 2.3031 | lr 1.92e-04 | grad 1.09 | tok/s 46744
step    770 | loss 1.9824 | lr 2.35e-04 | grad 1.31 | tok/s 46362
step    780 | loss 2.0314 | lr 2.69e-04 | grad 1.59 | tok/s 47099
step    790 | loss 2.0273 | lr 2.91e-04 | grad 1.18 | tok/s 47324
step    800 | loss 1.9845 | lr 3.00e-04 | grad 1.46 | tok/s 47373
step    810 | loss 1.9864 | lr 2.94e-04 | grad 2.14 | tok/s 46914
step    820 | loss 2.5711 | lr 2.74e-04 | grad 1.32 | tok/s 48241
step    830 | loss 2.1963 | lr 2.42e-04 | grad 0.91 | tok/s 48866
step    840 | loss 1.9293 | lr 2.01e-04 | grad 0.96 | tok/s 48926
