# Job 19: 63a
# GPU: 5
# Command: python train.py --level 63a --dim 512 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/elman48_20260119_191441/63a
# Started: 2026-01-19T19:36:18.276113
============================================================

Using device: cuda
Output directory: benchmark_results/elman48_20260119_191441/63a/level63a_100m_20260119_193623
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 63a, 84,068,864 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4567 | lr 2.70e-05 | grad 9.81 | tok/s 21913
step     20 | loss 4.4548 | lr 5.70e-05 | grad 7.25 | tok/s 57085
step     30 | loss 4.7047 | lr 8.70e-05 | grad 3.20 | tok/s 60549
step     40 | loss 3.9199 | lr 1.17e-04 | grad 1.61 | tok/s 60755
step     50 | loss 3.5907 | lr 1.47e-04 | grad 2.78 | tok/s 60633
step     60 | loss 3.6565 | lr 1.77e-04 | grad 1.66 | tok/s 59126
step     70 | loss 3.2800 | lr 2.07e-04 | grad 1.10 | tok/s 57035
step     80 | loss 3.5262 | lr 2.37e-04 | grad 1.85 | tok/s 59075
step     90 | loss 3.4593 | lr 2.67e-04 | grad 2.83 | tok/s 57785
step    100 | loss 3.2716 | lr 2.97e-04 | grad 0.80 | tok/s 58896
step    110 | loss 3.2383 | lr 6.94e-06 | grad 1.45 | tok/s 54159
step    120 | loss 3.6100 | lr 2.69e-05 | grad 1.00 | tok/s 54174
step    130 | loss 3.4106 | lr 5.89e-05 | grad 0.95 | tok/s 55352
step    140 | loss 3.2022 | lr 9.99e-05 | grad 0.62 | tok/s 55435
step    150 | loss 3.1000 | lr 1.46e-04 | grad 1.67 | tok/s 52837
step    160 | loss 3.0654 | lr 1.92e-04 | grad 0.95 | tok/s 53224
step    170 | loss 3.2374 | lr 2.35e-04 | grad 2.09 | tok/s 55231
step    180 | loss 3.3461 | lr 2.69e-04 | grad 1.11 | tok/s 55435
step    190 | loss 3.1650 | lr 2.91e-04 | grad 1.18 | tok/s 56269
step    200 | loss 3.1208 | lr 3.00e-04 | grad 1.49 | tok/s 57539
step    210 | loss 3.1625 | lr 2.94e-04 | grad 1.64 | tok/s 55077
step    220 | loss 3.1125 | lr 2.74e-04 | grad 0.93 | tok/s 56932
step    230 | loss 2.8157 | lr 2.42e-04 | grad 1.34 | tok/s 54961
step    240 | loss 2.8036 | lr 2.01e-04 | grad 1.56 | tok/s 56117
step    250 | loss 2.6631 | lr 1.55e-04 | grad 1.28 | tok/s 55307
step    260 | loss 2.6153 | lr 1.09e-04 | grad 0.75 | tok/s 53083
step    270 | loss 2.5257 | lr 6.65e-05 | grad 0.92 | tok/s 55069
step    280 | loss 2.4164 | lr 3.24e-05 | grad 1.80 | tok/s 55014
step    290 | loss 2.4872 | lr 9.84e-06 | grad 0.68 | tok/s 58015
step    300 | loss 2.4769 | lr 1.07e-06 | grad 0.75 | tok/s 57996
step    310 | loss 2.4700 | lr 6.94e-06 | grad 0.58 | tok/s 57964
step    320 | loss 2.4519 | lr 2.69e-05 | grad 1.38 | tok/s 55828
step    330 | loss 2.5242 | lr 5.89e-05 | grad 0.76 | tok/s 54477
step    340 | loss 2.5360 | lr 9.99e-05 | grad 1.27 | tok/s 55676
step    350 | loss 2.5295 | lr 1.46e-04 | grad 1.64 | tok/s 54039
step    360 | loss 2.5132 | lr 1.92e-04 | grad 2.34 | tok/s 54679
step    370 | loss 2.4105 | lr 2.35e-04 | grad 1.63 | tok/s 55767
step    380 | loss 2.7777 | lr 2.69e-04 | grad 1.98 | tok/s 57174
step    390 | loss 2.4113 | lr 2.91e-04 | grad 1.92 | tok/s 55028
step    400 | loss 2.4948 | lr 3.00e-04 | grad 2.05 | tok/s 56496
step    410 | loss 2.2243 | lr 2.94e-04 | grad 4.28 | tok/s 54323
step    420 | loss 2.3487 | lr 2.74e-04 | grad 1.44 | tok/s 53309
step    430 | loss 2.4194 | lr 2.42e-04 | grad 1.52 | tok/s 53189
step    440 | loss 2.5372 | lr 2.01e-04 | grad 1.45 | tok/s 54725
step    450 | loss 2.2343 | lr 1.55e-04 | grad 0.72 | tok/s 53395
step    460 | loss 2.1952 | lr 1.09e-04 | grad 0.76 | tok/s 52879
step    470 | loss 2.2246 | lr 6.65e-05 | grad 1.49 | tok/s 54496
step    480 | loss 2.1219 | lr 3.24e-05 | grad 0.66 | tok/s 52800
step    490 | loss 2.0730 | lr 9.84e-06 | grad 0.56 | tok/s 53804
step    500 | loss 2.9317 | lr 1.07e-06 | grad 0.88 | tok/s 55424
step    510 | loss 2.0568 | lr 6.94e-06 | grad 0.62 | tok/s 54202
step    520 | loss 2.1529 | lr 2.69e-05 | grad 0.54 | tok/s 56287
step    530 | loss 2.5428 | lr 5.89e-05 | grad 1.07 | tok/s 55314
step    540 | loss 2.0754 | lr 9.99e-05 | grad 1.00 | tok/s 55580
