# Job 35: E75h8n24
# GPU: 6
# Command: python train.py --level E75h8n24 --dim 1152 --expansion 2.0 --n_state 24 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/elman48_20260119_191441/E75h8n24
# Started: 2026-01-19T19:56:38.141776
============================================================

Using device: cuda
Output directory: benchmark_results/elman48_20260119_191441/E75h8n24/levelE75h8n24_100m_20260119_195642
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h8n24, 93,220,224 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6204 | lr 2.70e-05 | grad 72.50 | tok/s 22997
step     20 | loss 5.2638 | lr 5.70e-05 | grad 45.75 | tok/s 72728
step     30 | loss 5.3030 | lr 8.70e-05 | grad 24.00 | tok/s 76294
step     40 | loss 4.7711 | lr 1.17e-04 | grad 8.81 | tok/s 75877
step     50 | loss 4.0923 | lr 1.47e-04 | grad 4.56 | tok/s 75103
step     60 | loss 3.6978 | lr 1.77e-04 | grad 13.00 | tok/s 73590
step     70 | loss 3.2158 | lr 2.07e-04 | grad 3.44 | tok/s 71281
step     80 | loss 3.3199 | lr 2.37e-04 | grad 4.22 | tok/s 74534
step     90 | loss 3.0641 | lr 2.67e-04 | grad 3.84 | tok/s 72168
step    100 | loss 2.7464 | lr 2.97e-04 | grad 1.89 | tok/s 73453
step    110 | loss 2.7085 | lr 6.94e-06 | grad 2.14 | tok/s 66926
step    120 | loss 2.9950 | lr 2.69e-05 | grad 1.63 | tok/s 67405
step    130 | loss 2.8009 | lr 5.89e-05 | grad 1.38 | tok/s 68901
step    140 | loss 2.5652 | lr 9.99e-05 | grad 1.40 | tok/s 68729
step    150 | loss 2.4435 | lr 1.46e-04 | grad 2.28 | tok/s 65455
step    160 | loss 2.3246 | lr 1.92e-04 | grad 1.80 | tok/s 66218
step    170 | loss 2.5031 | lr 2.35e-04 | grad 5.12 | tok/s 68066
step    180 | loss 2.5497 | lr 2.69e-04 | grad 2.03 | tok/s 68463
step    190 | loss 2.2633 | lr 2.91e-04 | grad 1.53 | tok/s 69098
step    200 | loss 1.9266 | lr 3.00e-04 | grad 1.36 | tok/s 70966
step    210 | loss 2.4437 | lr 2.94e-04 | grad 2.12 | tok/s 67518
step    220 | loss 2.3416 | lr 2.74e-04 | grad 1.00 | tok/s 69844
step    230 | loss 2.1870 | lr 2.42e-04 | grad 1.67 | tok/s 67679
step    240 | loss 2.1976 | lr 2.01e-04 | grad 1.69 | tok/s 68873
step    250 | loss 2.1464 | lr 1.55e-04 | grad 1.24 | tok/s 67819
step    260 | loss 2.1700 | lr 1.09e-04 | grad 0.76 | tok/s 65235
step    270 | loss 2.0391 | lr 6.65e-05 | grad 1.89 | tok/s 67831
step    280 | loss 1.9581 | lr 3.24e-05 | grad 1.63 | tok/s 67665
step    290 | loss 1.9295 | lr 9.84e-06 | grad 0.84 | tok/s 71322
step    300 | loss 1.8990 | lr 1.07e-06 | grad 0.83 | tok/s 71209
