# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896  --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/mamba2
# Started: 2026-01-19T21:39:56.176015
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/mamba2/levelmamba2_100m_20260119_214002
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9550
step     20 | loss 4.3086 | lr 5.70e-05 | grad 6.47 | tok/s 66707
step     30 | loss 4.5681 | lr 8.70e-05 | grad 3.27 | tok/s 70275
step     40 | loss 3.1654 | lr 1.17e-04 | grad 1.87 | tok/s 69735
step     50 | loss 2.3871 | lr 1.47e-04 | grad 1.48 | tok/s 69638
step     60 | loss 2.7602 | lr 1.77e-04 | grad 3.27 | tok/s 67936
step     70 | loss 2.4721 | lr 2.07e-04 | grad 1.88 | tok/s 65370
step     80 | loss 2.8040 | lr 2.37e-04 | grad 3.19 | tok/s 67483
step     90 | loss 2.7423 | lr 2.67e-04 | grad 4.06 | tok/s 64992
step    100 | loss 2.2442 | lr 2.97e-04 | grad 1.20 | tok/s 65282
step    110 | loss 2.2791 | lr 6.94e-06 | grad 1.96 | tok/s 61892
step    120 | loss 2.4864 | lr 2.69e-05 | grad 1.52 | tok/s 61399
step    130 | loss 2.3556 | lr 5.89e-05 | grad 1.16 | tok/s 62600
step    140 | loss 2.0978 | lr 9.99e-05 | grad 1.00 | tok/s 62701
step    150 | loss 1.9593 | lr 1.46e-04 | grad 1.89 | tok/s 59612
step    160 | loss 1.8689 | lr 1.92e-04 | grad 1.62 | tok/s 59978
step    170 | loss 2.0567 | lr 2.35e-04 | grad 3.31 | tok/s 61841
step    180 | loss 2.0396 | lr 2.69e-04 | grad 1.27 | tok/s 61798
step    190 | loss 1.7566 | lr 2.91e-04 | grad 1.27 | tok/s 62448
step    200 | loss 1.3555 | lr 3.00e-04 | grad 1.05 | tok/s 63583
step    210 | loss 2.1286 | lr 2.94e-04 | grad 1.72 | tok/s 60856
step    220 | loss 1.9220 | lr 2.74e-04 | grad 1.30 | tok/s 62693
step    230 | loss 1.8167 | lr 2.42e-04 | grad 1.48 | tok/s 60016
step    240 | loss 1.7883 | lr 2.01e-04 | grad 1.52 | tok/s 61494
step    250 | loss 1.7930 | lr 1.55e-04 | grad 1.31 | tok/s 60483
step    260 | loss 1.8786 | lr 1.09e-04 | grad 0.85 | tok/s 58036
step    270 | loss 1.7248 | lr 6.65e-05 | grad 0.95 | tok/s 59894
step    280 | loss 1.6076 | lr 3.24e-05 | grad 1.73 | tok/s 59770
step    290 | loss 1.6132 | lr 9.84e-06 | grad 0.76 | tok/s 63109
step    300 | loss 1.5957 | lr 1.07e-06 | grad 0.86 | tok/s 62988
step    310 | loss 1.5796 | lr 6.94e-06 | grad 0.68 | tok/s 62566
step    320 | loss 1.6797 | lr 2.69e-05 | grad 1.66 | tok/s 60190
step    330 | loss 1.7104 | lr 5.89e-05 | grad 0.79 | tok/s 58633
step    340 | loss 1.7104 | lr 9.99e-05 | grad 2.16 | tok/s 59737
step    350 | loss 1.7262 | lr 1.46e-04 | grad 0.92 | tok/s 58039
step    360 | loss 1.6728 | lr 1.92e-04 | grad 2.34 | tok/s 58606
step    370 | loss 1.5127 | lr 2.35e-04 | grad 1.00 | tok/s 59686
step    380 | loss 1.9872 | lr 2.69e-04 | grad 1.06 | tok/s 61122
step    390 | loss 1.7107 | lr 2.91e-04 | grad 1.46 | tok/s 58680
step    400 | loss 1.8063 | lr 3.00e-04 | grad 2.44 | tok/s 60276
step    410 | loss 1.5780 | lr 2.94e-04 | grad 2.33 | tok/s 58234
step    420 | loss 1.7149 | lr 2.74e-04 | grad 1.22 | tok/s 57865
step    430 | loss 1.8061 | lr 2.42e-04 | grad 1.23 | tok/s 57649
step    440 | loss 1.8231 | lr 2.01e-04 | grad 0.89 | tok/s 59824
step    450 | loss 1.6817 | lr 1.55e-04 | grad 0.77 | tok/s 58125
step    460 | loss 1.6684 | lr 1.09e-04 | grad 0.67 | tok/s 58407
step    470 | loss 1.6154 | lr 6.65e-05 | grad 1.04 | tok/s 58824
step    480 | loss 1.5190 | lr 3.24e-05 | grad 0.61 | tok/s 56857
step    490 | loss 1.5152 | lr 9.84e-06 | grad 0.64 | tok/s 57813
