# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 768 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/fla-gdn
# Started: 2026-01-19T21:39:56.176167
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/fla-gdn/levelfla-gdn_100m_20260119_214001
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 95,020,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6130 | lr 2.70e-05 | grad 54.50 | tok/s 22693
step     20 | loss 5.5774 | lr 5.70e-05 | grad 18.00 | tok/s 87391
step     30 | loss 5.6172 | lr 8.70e-05 | grad 18.12 | tok/s 92369
step     40 | loss 5.3853 | lr 1.17e-04 | grad 18.12 | tok/s 92167
step     50 | loss 4.7242 | lr 1.47e-04 | grad 9.44 | tok/s 92148
step     60 | loss 4.1803 | lr 1.77e-04 | grad 21.12 | tok/s 90192
step     70 | loss 3.3012 | lr 2.07e-04 | grad 1.86 | tok/s 86855
step     80 | loss 3.5052 | lr 2.37e-04 | grad 3.66 | tok/s 90139
step     90 | loss 3.2975 | lr 2.67e-04 | grad 4.03 | tok/s 86914
step    100 | loss 2.8752 | lr 2.97e-04 | grad 1.73 | tok/s 87459
step    110 | loss 2.7593 | lr 6.94e-06 | grad 2.27 | tok/s 75815
step    120 | loss 3.1624 | lr 2.69e-05 | grad 1.82 | tok/s 75544
step    130 | loss 2.9152 | lr 5.89e-05 | grad 1.58 | tok/s 77063
step    140 | loss 2.6189 | lr 9.99e-05 | grad 1.34 | tok/s 77405
step    150 | loss 2.4443 | lr 1.46e-04 | grad 3.03 | tok/s 73708
step    160 | loss 2.2670 | lr 1.92e-04 | grad 1.70 | tok/s 74280
step    170 | loss 2.4103 | lr 2.35e-04 | grad 6.75 | tok/s 76388
step    180 | loss 2.3880 | lr 2.69e-04 | grad 1.41 | tok/s 76793
step    190 | loss 2.0370 | lr 2.91e-04 | grad 1.44 | tok/s 78023
step    200 | loss 1.5491 | lr 3.00e-04 | grad 1.19 | tok/s 79560
step    210 | loss 2.2802 | lr 2.94e-04 | grad 1.84 | tok/s 75811
step    220 | loss 2.0788 | lr 2.74e-04 | grad 1.11 | tok/s 78386
step    230 | loss 1.9491 | lr 2.42e-04 | grad 1.87 | tok/s 75686
step    240 | loss 1.9199 | lr 2.01e-04 | grad 1.75 | tok/s 77100
step    250 | loss 1.9171 | lr 1.55e-04 | grad 1.27 | tok/s 75914
step    260 | loss 1.9732 | lr 1.09e-04 | grad 0.79 | tok/s 72940
