# Job 2: llama
# GPU: 2
# Command: python train.py --level llama --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/llama
# Started: 2026-01-19T21:39:56.176807
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/llama/levelllama_100m_20260119_214002
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level llama, 101,783,680 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 9.6777 | lr 2.70e-05 | grad 7.75 | tok/s 18974
step     20 | loss 8.6140 | lr 5.70e-05 | grad 7.28 | tok/s 45796
step     30 | loss 8.1843 | lr 8.70e-05 | grad 5.72 | tok/s 48403
step     40 | loss 5.2680 | lr 1.17e-04 | grad 3.00 | tok/s 48485
step     50 | loss 4.3640 | lr 1.47e-04 | grad 1.93 | tok/s 48492
step     60 | loss 4.1054 | lr 1.77e-04 | grad 2.94 | tok/s 47457
step     70 | loss 3.2929 | lr 2.07e-04 | grad 0.82 | tok/s 45836
step     80 | loss 3.5627 | lr 2.37e-04 | grad 2.89 | tok/s 47600
step     90 | loss 3.3627 | lr 2.67e-04 | grad 3.05 | tok/s 45972
step    100 | loss 3.0145 | lr 2.97e-04 | grad 1.03 | tok/s 46317
step    110 | loss 2.8988 | lr 6.94e-06 | grad 1.79 | tok/s 42878
step    120 | loss 3.0307 | lr 2.69e-05 | grad 1.32 | tok/s 42475
step    130 | loss 3.0217 | lr 5.89e-05 | grad 0.87 | tok/s 43424
step    140 | loss 2.8112 | lr 9.99e-05 | grad 0.75 | tok/s 43562
step    150 | loss 2.6786 | lr 1.46e-04 | grad 1.27 | tok/s 41548
step    160 | loss 2.5797 | lr 1.92e-04 | grad 0.95 | tok/s 41862
step    170 | loss 2.7113 | lr 2.35e-04 | grad 2.16 | tok/s 43224
step    180 | loss 2.7489 | lr 2.69e-04 | grad 1.16 | tok/s 43375
step    190 | loss 2.4896 | lr 2.91e-04 | grad 0.77 | tok/s 44070
step    200 | loss 2.2791 | lr 3.00e-04 | grad 0.94 | tok/s 44967
step    210 | loss 2.5614 | lr 2.94e-04 | grad 1.23 | tok/s 43050
step    220 | loss 2.5032 | lr 2.74e-04 | grad 0.90 | tok/s 44474
step    230 | loss 2.3089 | lr 2.42e-04 | grad 0.93 | tok/s 43011
step    240 | loss 2.3583 | lr 2.01e-04 | grad 1.19 | tok/s 43778
step    250 | loss 2.3006 | lr 1.55e-04 | grad 0.90 | tok/s 43161
step    260 | loss 2.2894 | lr 1.09e-04 | grad 0.50 | tok/s 41445
step    270 | loss 2.1994 | lr 6.65e-05 | grad 0.59 | tok/s 42956
step    280 | loss 2.1009 | lr 3.24e-05 | grad 1.18 | tok/s 42841
step    290 | loss 2.1735 | lr 9.84e-06 | grad 0.64 | tok/s 45203
step    300 | loss 2.1427 | lr 1.07e-06 | grad 0.57 | tok/s 45205
step    310 | loss 2.1511 | lr 6.94e-06 | grad 0.54 | tok/s 45256
step    320 | loss 2.1444 | lr 2.69e-05 | grad 1.07 | tok/s 43691
step    330 | loss 2.2145 | lr 5.89e-05 | grad 0.43 | tok/s 42588
step    340 | loss 2.2394 | lr 9.99e-05 | grad 1.05 | tok/s 43429
step    350 | loss 2.2325 | lr 1.46e-04 | grad 0.62 | tok/s 42167
step    360 | loss 2.1872 | lr 1.92e-04 | grad 1.38 | tok/s 42737
step    370 | loss 2.1036 | lr 2.35e-04 | grad 0.96 | tok/s 43499
step    380 | loss 2.5256 | lr 2.69e-04 | grad 0.98 | tok/s 44541
step    390 | loss 2.1522 | lr 2.91e-04 | grad 0.98 | tok/s 42970
step    400 | loss 2.2317 | lr 3.00e-04 | grad 1.43 | tok/s 44051
step    410 | loss 1.9626 | lr 2.94e-04 | grad 1.18 | tok/s 42704
step    420 | loss 2.0972 | lr 2.74e-04 | grad 0.84 | tok/s 42486
step    430 | loss 2.1985 | lr 2.42e-04 | grad 0.98 | tok/s 42328
step    440 | loss 2.3293 | lr 2.01e-04 | grad 0.71 | tok/s 44047
step    450 | loss 2.0272 | lr 1.55e-04 | grad 0.51 | tok/s 42911
step    460 | loss 2.0064 | lr 1.09e-04 | grad 0.46 | tok/s 43015
step    470 | loss 2.0126 | lr 6.65e-05 | grad 0.78 | tok/s 43540
step    480 | loss 1.9228 | lr 3.24e-05 | grad 0.41 | tok/s 42043
step    490 | loss 1.8971 | lr 9.84e-06 | grad 0.40 | tok/s 42848
step    500 | loss 2.7590 | lr 1.07e-06 | grad 0.61 | tok/s 44166
step    510 | loss 1.8693 | lr 6.94e-06 | grad 0.44 | tok/s 43159
step    520 | loss 1.9573 | lr 2.69e-05 | grad 0.38 | tok/s 44395
step    530 | loss 2.3741 | lr 5.89e-05 | grad 0.42 | tok/s 43493
step    540 | loss 1.9013 | lr 9.99e-05 | grad 0.61 | tok/s 43454
step    550 | loss 1.8581 | lr 1.46e-04 | grad 0.55 | tok/s 44615
step    560 | loss 1.7508 | lr 1.92e-04 | grad 0.46 | tok/s 45188
step    570 | loss 1.9655 | lr 2.35e-04 | grad 1.14 | tok/s 44274
step    580 | loss 2.2350 | lr 2.69e-04 | grad 0.88 | tok/s 43601
step    590 | loss 2.4234 | lr 2.91e-04 | grad 1.20 | tok/s 42728
step    600 | loss 2.0137 | lr 3.00e-04 | grad 0.88 | tok/s 42846
step    610 | loss 2.0082 | lr 2.94e-04 | grad 0.85 | tok/s 44913
step    620 | loss 1.9336 | lr 2.74e-04 | grad 0.70 | tok/s 42598
step    630 | loss 1.8851 | lr 2.42e-04 | grad 0.64 | tok/s 43965
step    640 | loss 2.2025 | lr 2.01e-04 | grad 0.73 | tok/s 43979
step    650 | loss 1.8950 | lr 1.55e-04 | grad 0.73 | tok/s 43175
step    660 | loss 2.1478 | lr 1.09e-04 | grad 2.62 | tok/s 42646
step    670 | loss 2.0120 | lr 6.65e-05 | grad 1.30 | tok/s 44132
step    680 | loss 1.9409 | lr 3.24e-05 | grad 0.71 | tok/s 42560
step    690 | loss 1.9498 | lr 9.84e-06 | grad 0.67 | tok/s 42861
step    700 | loss 2.0474 | lr 1.07e-06 | grad 0.75 | tok/s 43117
step    710 | loss 1.9612 | lr 6.94e-06 | grad 0.66 | tok/s 43357
step    720 | loss 2.0465 | lr 2.68e-05 | grad 0.89 | tok/s 43186
step    730 | loss 2.0312 | lr 5.89e-05 | grad 0.72 | tok/s 43577
step    740 | loss 1.9577 | lr 9.99e-05 | grad 1.09 | tok/s 43187
step    750 | loss 1.7980 | lr 1.46e-04 | grad 0.87 | tok/s 42720
step    760 | loss 2.1394 | lr 1.92e-04 | grad 0.56 | tok/s 43277
step    770 | loss 1.8322 | lr 2.35e-04 | grad 0.79 | tok/s 43000
step    780 | loss 1.8789 | lr 2.69e-04 | grad 0.75 | tok/s 43518
step    790 | loss 1.8548 | lr 2.91e-04 | grad 0.62 | tok/s 43863
step    800 | loss 1.8367 | lr 3.00e-04 | grad 0.71 | tok/s 43886
step    810 | loss 1.8524 | lr 2.94e-04 | grad 1.38 | tok/s 43508
step    820 | loss 2.5244 | lr 2.74e-04 | grad 1.10 | tok/s 44532
step    830 | loss 2.1426 | lr 2.42e-04 | grad 0.64 | tok/s 45221
step    840 | loss 1.9024 | lr 2.01e-04 | grad 0.41 | tok/s 45165
step    850 | loss 2.2554 | lr 1.55e-04 | grad 0.96 | tok/s 42979
step    860 | loss 1.9789 | lr 1.09e-04 | grad 0.75 | tok/s 42131
step    870 | loss 1.9064 | lr 6.65e-05 | grad 0.57 | tok/s 43458
step    880 | loss 1.9440 | lr 3.24e-05 | grad 0.79 | tok/s 43210
step    890 | loss 1.8561 | lr 9.84e-06 | grad 0.54 | tok/s 43236
step    900 | loss 2.2271 | lr 1.07e-06 | grad 0.57 | tok/s 42245
