# Job 19: 18a
# GPU: 0
# Command: python train.py --level 18a --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/18a
# Started: 2026-01-19T22:00:15.453783
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/18a/level18a_100m_20260119_220020
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 18a, 114,890,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.2831 | lr 2.70e-05 | grad 8.00 | tok/s 20761
step     20 | loss 3.9108 | lr 5.70e-05 | grad 10.81 | tok/s 54447
step     30 | loss 4.3981 | lr 8.70e-05 | grad 4.06 | tok/s 58148
step     40 | loss 3.2788 | lr 1.17e-04 | grad 2.66 | tok/s 58106
step     50 | loss 2.6524 | lr 1.47e-04 | grad 2.81 | tok/s 58254
step     60 | loss 2.8758 | lr 1.77e-04 | grad 3.84 | tok/s 56974
step     70 | loss 2.5392 | lr 2.07e-04 | grad 1.92 | tok/s 54743
step     80 | loss 2.8351 | lr 2.37e-04 | grad 2.73 | tok/s 56732
step     90 | loss 2.8198 | lr 2.67e-04 | grad 3.19 | tok/s 54551
step    100 | loss 2.3967 | lr 2.97e-04 | grad 0.84 | tok/s 55467
step    110 | loss 2.4424 | lr 6.94e-06 | grad 1.80 | tok/s 52137
step    120 | loss 2.7039 | lr 2.69e-05 | grad 1.02 | tok/s 51859
step    130 | loss 2.4859 | lr 5.89e-05 | grad 0.90 | tok/s 53089
step    140 | loss 2.2685 | lr 9.99e-05 | grad 0.71 | tok/s 53090
step    150 | loss 2.1602 | lr 1.46e-04 | grad 1.76 | tok/s 50920
step    160 | loss 2.0664 | lr 1.92e-04 | grad 1.15 | tok/s 51201
step    170 | loss 2.2567 | lr 2.35e-04 | grad 2.83 | tok/s 52893
step    180 | loss 2.2336 | lr 2.69e-04 | grad 1.11 | tok/s 53069
step    190 | loss 1.9894 | lr 2.91e-04 | grad 0.98 | tok/s 53894
step    200 | loss 1.6280 | lr 3.00e-04 | grad 0.88 | tok/s 55178
step    210 | loss 2.2876 | lr 2.94e-04 | grad 1.23 | tok/s 52949
step    220 | loss 2.1299 | lr 2.74e-04 | grad 0.85 | tok/s 54460
step    230 | loss 1.9876 | lr 2.42e-04 | grad 1.04 | tok/s 52703
step    240 | loss 1.9716 | lr 2.01e-04 | grad 1.27 | tok/s 53722
step    250 | loss 1.9632 | lr 1.55e-04 | grad 0.93 | tok/s 53046
step    260 | loss 2.0349 | lr 1.09e-04 | grad 0.62 | tok/s 50813
step    270 | loss 1.8829 | lr 6.65e-05 | grad 0.72 | tok/s 52603
step    280 | loss 1.7666 | lr 3.24e-05 | grad 1.23 | tok/s 52649
step    290 | loss 1.7702 | lr 9.84e-06 | grad 0.61 | tok/s 55671
step    300 | loss 1.7402 | lr 1.07e-06 | grad 0.59 | tok/s 55656
step    310 | loss 1.7345 | lr 6.94e-06 | grad 0.55 | tok/s 55658
step    320 | loss 1.8420 | lr 2.69e-05 | grad 1.28 | tok/s 53504
step    330 | loss 1.8629 | lr 5.89e-05 | grad 0.54 | tok/s 52150
step    340 | loss 1.8655 | lr 9.99e-05 | grad 1.49 | tok/s 53209
step    350 | loss 1.8710 | lr 1.46e-04 | grad 0.69 | tok/s 51560
step    360 | loss 1.8419 | lr 1.92e-04 | grad 1.62 | tok/s 52175
step    370 | loss 1.6843 | lr 2.35e-04 | grad 0.81 | tok/s 53345
step    380 | loss 2.1677 | lr 2.69e-04 | grad 0.84 | tok/s 54571
step    390 | loss 1.8642 | lr 2.91e-04 | grad 1.28 | tok/s 52554
step    400 | loss 1.9572 | lr 3.00e-04 | grad 1.98 | tok/s 53831
step    410 | loss 1.7119 | lr 2.94e-04 | grad 1.53 | tok/s 51552
step    420 | loss 1.8443 | lr 2.74e-04 | grad 0.86 | tok/s 51862
step    430 | loss 1.9733 | lr 2.42e-04 | grad 1.08 | tok/s 51786
step    440 | loss 1.9766 | lr 2.01e-04 | grad 0.88 | tok/s 53751
step    450 | loss 1.8020 | lr 1.55e-04 | grad 0.55 | tok/s 52297
step    460 | loss 1.7644 | lr 1.09e-04 | grad 0.56 | tok/s 52272
step    470 | loss 1.7414 | lr 6.65e-05 | grad 0.81 | tok/s 53171
step    480 | loss 1.6467 | lr 3.24e-05 | grad 0.47 | tok/s 51245
step    490 | loss 1.6283 | lr 9.84e-06 | grad 0.44 | tok/s 52029
step    500 | loss 2.5749 | lr 1.07e-06 | grad 0.76 | tok/s 53839
step    510 | loss 1.6379 | lr 6.94e-06 | grad 0.51 | tok/s 52608
step    520 | loss 1.7190 | lr 2.69e-05 | grad 0.43 | tok/s 54078
step    530 | loss 2.2276 | lr 5.89e-05 | grad 0.48 | tok/s 53182
step    540 | loss 1.6459 | lr 9.99e-05 | grad 0.74 | tok/s 53277
step    550 | loss 1.5429 | lr 1.46e-04 | grad 0.51 | tok/s 54567
step    560 | loss 1.4088 | lr 1.92e-04 | grad 0.56 | tok/s 55077
step    570 | loss 1.6588 | lr 2.35e-04 | grad 1.41 | tok/s 54114
step    580 | loss 2.0174 | lr 2.69e-04 | grad 0.82 | tok/s 53164
step    590 | loss 2.3125 | lr 2.91e-04 | grad 1.39 | tok/s 51889
step    600 | loss 1.8152 | lr 3.00e-04 | grad 1.12 | tok/s 52197
step    610 | loss 1.7658 | lr 2.94e-04 | grad 1.01 | tok/s 54857
step    620 | loss 1.7319 | lr 2.74e-04 | grad 0.57 | tok/s 52113
step    630 | loss 1.6223 | lr 2.42e-04 | grad 0.63 | tok/s 53560
step    640 | loss 1.9167 | lr 2.01e-04 | grad 0.74 | tok/s 53809
step    650 | loss 1.6786 | lr 1.55e-04 | grad 0.79 | tok/s 52797
step    660 | loss 2.0026 | lr 1.09e-04 | grad 4.09 | tok/s 52490
step    670 | loss 1.8066 | lr 6.65e-05 | grad 1.25 | tok/s 54359
step    680 | loss 1.7619 | lr 3.24e-05 | grad 0.87 | tok/s 52387
step    690 | loss 1.7687 | lr 9.84e-06 | grad 0.95 | tok/s 52832
step    700 | loss 1.8646 | lr 1.07e-06 | grad 0.95 | tok/s 53021
step    710 | loss 1.7889 | lr 6.94e-06 | grad 0.79 | tok/s 53401
step    720 | loss 1.8676 | lr 2.68e-05 | grad 1.11 | tok/s 53333
step    730 | loss 1.8453 | lr 5.89e-05 | grad 0.89 | tok/s 53768
step    740 | loss 1.7900 | lr 9.99e-05 | grad 1.40 | tok/s 53339
step    750 | loss 1.5958 | lr 1.46e-04 | grad 1.05 | tok/s 52619
step    760 | loss 1.9932 | lr 1.92e-04 | grad 0.57 | tok/s 53147
step    770 | loss 1.6453 | lr 2.35e-04 | grad 0.86 | tok/s 52857
step    780 | loss 1.6904 | lr 2.69e-04 | grad 0.75 | tok/s 53609
step    790 | loss 1.6190 | lr 2.91e-04 | grad 0.52 | tok/s 54071
step    800 | loss 1.5931 | lr 3.00e-04 | grad 0.79 | tok/s 54009
step    810 | loss 1.7035 | lr 2.94e-04 | grad 1.24 | tok/s 53454
step    820 | loss 2.3945 | lr 2.74e-04 | grad 1.05 | tok/s 54898
step    830 | loss 1.8471 | lr 2.42e-04 | grad 0.54 | tok/s 55660
step    840 | loss 1.5481 | lr 2.01e-04 | grad 0.46 | tok/s 55886
step    850 | loss 1.9820 | lr 1.55e-04 | grad 0.84 | tok/s 53152
step    860 | loss 1.7259 | lr 1.09e-04 | grad 0.75 | tok/s 52100
step    870 | loss 1.6470 | lr 6.65e-05 | grad 0.68 | tok/s 53565
step    880 | loss 1.7040 | lr 3.24e-05 | grad 0.82 | tok/s 53193
step    890 | loss 1.6265 | lr 9.84e-06 | grad 0.63 | tok/s 53236
step    900 | loss 2.0796 | lr 1.07e-06 | grad 0.74 | tok/s 51850
step    910 | loss 1.6800 | lr 6.94e-06 | grad 0.51 | tok/s 52873
step    920 | loss 1.6666 | lr 2.68e-05 | grad 0.54 | tok/s 52729
step    930 | loss 1.7572 | lr 5.89e-05 | grad 1.05 | tok/s 52511
step    940 | loss 1.6591 | lr 9.99e-05 | grad 1.36 | tok/s 51918
step    950 | loss 1.7477 | lr 1.46e-04 | grad 0.94 | tok/s 53029
step    960 | loss 1.4991 | lr 1.92e-04 | grad 0.51 | tok/s 55767
step    970 | loss 1.3322 | lr 2.35e-04 | grad 0.41 | tok/s 55671
step    980 | loss 1.4886 | lr 2.69e-04 | grad 1.38 | tok/s 54281
step    990 | loss 1.8220 | lr 2.91e-04 | grad 0.59 | tok/s 52619
step   1000 | loss 1.7088 | lr 3.00e-04 | grad 0.54 | tok/s 51529
  >>> saved checkpoint: checkpoint_step_001000_loss_1.7088.pt
step   1010 | loss 1.8822 | lr 2.94e-04 | grad 1.16 | tok/s 43819
step   1020 | loss 1.5663 | lr 2.74e-04 | grad 0.71 | tok/s 52917
step   1030 | loss 1.9789 | lr 2.42e-04 | grad 0.67 | tok/s 52114
step   1040 | loss 1.6145 | lr 2.01e-04 | grad 0.97 | tok/s 53095
step   1050 | loss 1.6224 | lr 1.55e-04 | grad 0.63 | tok/s 53342
step   1060 | loss 1.7910 | lr 1.09e-04 | grad 1.02 | tok/s 53409
step   1070 | loss 1.8807 | lr 6.65e-05 | grad 0.66 | tok/s 53575
step   1080 | loss 2.3101 | lr 3.24e-05 | grad 0.76 | tok/s 52783
step   1090 | loss 2.0006 | lr 9.84e-06 | grad 0.69 | tok/s 53315
step   1100 | loss 1.6767 | lr 1.07e-06 | grad 0.61 | tok/s 53058
step   1110 | loss 1.6563 | lr 6.93e-06 | grad 0.59 | tok/s 53863
step   1120 | loss 1.8504 | lr 2.68e-05 | grad 0.64 | tok/s 54592
step   1130 | loss 1.6680 | lr 5.89e-05 | grad 0.55 | tok/s 51876
step   1140 | loss 1.5337 | lr 9.99e-05 | grad 0.54 | tok/s 53223
step   1150 | loss 1.8119 | lr 1.46e-04 | grad 0.80 | tok/s 53002
step   1160 | loss 1.4973 | lr 1.92e-04 | grad 0.41 | tok/s 52297
step   1170 | loss 1.8143 | lr 2.35e-04 | grad 0.62 | tok/s 53137
step   1180 | loss 1.5385 | lr 2.69e-04 | grad 0.56 | tok/s 55766
step   1190 | loss 1.3839 | lr 2.91e-04 | grad 0.49 | tok/s 55883
step   1200 | loss 1.3002 | lr 3.00e-04 | grad 0.50 | tok/s 55823
step   1210 | loss 1.2741 | lr 2.94e-04 | grad 0.55 | tok/s 55993
step   1220 | loss 1.3226 | lr 2.74e-04 | grad 0.75 | tok/s 55389
step   1230 | loss 1.5383 | lr 2.42e-04 | grad 0.63 | tok/s 53516
step   1240 | loss 1.6016 | lr 2.01e-04 | grad 0.63 | tok/s 52503
step   1250 | loss 1.6868 | lr 1.55e-04 | grad 2.44 | tok/s 54169
step   1260 | loss 1.7409 | lr 1.09e-04 | grad 1.79 | tok/s 54084
step   1270 | loss 1.8062 | lr 6.65e-05 | grad 0.95 | tok/s 53488
step   1280 | loss 1.6354 | lr 3.24e-05 | grad 0.56 | tok/s 52929
step   1290 | loss 1.5878 | lr 9.84e-06 | grad 0.67 | tok/s 52592
step   1300 | loss 1.6390 | lr 1.07e-06 | grad 0.57 | tok/s 52261
step   1310 | loss 1.7149 | lr 6.93e-06 | grad 0.55 | tok/s 52197
step   1320 | loss 1.6908 | lr 2.68e-05 | grad 0.84 | tok/s 53002
step   1330 | loss 1.6145 | lr 5.89e-05 | grad 0.44 | tok/s 53105
step   1340 | loss 1.5456 | lr 9.99e-05 | grad 0.75 | tok/s 53293
step   1350 | loss 1.5516 | lr 1.46e-04 | grad 1.08 | tok/s 54490
step   1360 | loss 1.5183 | lr 1.92e-04 | grad 0.51 | tok/s 51957
step   1370 | loss 1.6243 | lr 2.35e-04 | grad 0.59 | tok/s 52597
step   1380 | loss 1.7043 | lr 2.69e-04 | grad 0.68 | tok/s 53137
step   1390 | loss 1.6355 | lr 2.91e-04 | grad 1.13 | tok/s 51991
step   1400 | loss 1.7159 | lr 3.00e-04 | grad 7.03 | tok/s 53894
step   1410 | loss 1.6825 | lr 2.94e-04 | grad 1.11 | tok/s 54417
step   1420 | loss 1.7262 | lr 2.74e-04 | grad 0.67 | tok/s 51780
step   1430 | loss 1.5247 | lr 2.42e-04 | grad 0.57 | tok/s 50622
step   1440 | loss 1.4424 | lr 2.01e-04 | grad 0.47 | tok/s 53022
step   1450 | loss 1.4747 | lr 1.55e-04 | grad 1.41 | tok/s 54140
step   1460 | loss 1.5504 | lr 1.09e-04 | grad 0.44 | tok/s 50460
step   1470 | loss 1.6509 | lr 6.65e-05 | grad 1.42 | tok/s 52284
step   1480 | loss 1.5359 | lr 3.24e-05 | grad 1.20 | tok/s 52905
step   1490 | loss 1.6711 | lr 9.84e-06 | grad 1.68 | tok/s 52890
step   1500 | loss 1.7719 | lr 1.07e-06 | grad 1.38 | tok/s 51388
step   1510 | loss 1.6610 | lr 6.93e-06 | grad 0.77 | tok/s 54076
step   1520 | loss 1.6085 | lr 2.68e-05 | grad 0.86 | tok/s 53550
step   1530 | loss 1.5702 | lr 5.89e-05 | grad 0.44 | tok/s 53125
step   1540 | loss 1.5500 | lr 9.99e-05 | grad 0.42 | tok/s 52057
step   1550 | loss 1.5233 | lr 1.46e-04 | grad 1.77 | tok/s 54310
step   1560 | loss 2.0828 | lr 1.92e-04 | grad 0.97 | tok/s 52983
step   1570 | loss 1.5821 | lr 2.35e-04 | grad 0.84 | tok/s 51874
step   1580 | loss 1.7259 | lr 2.69e-04 | grad 0.80 | tok/s 53586
step   1590 | loss 1.5391 | lr 2.91e-04 | grad 0.63 | tok/s 52172
step   1600 | loss 1.6568 | lr 3.00e-04 | grad 0.70 | tok/s 51308
step   1610 | loss 1.4774 | lr 2.94e-04 | grad 0.59 | tok/s 54259
step   1620 | loss 1.6411 | lr 2.74e-04 | grad 0.53 | tok/s 53487
step   1630 | loss 1.6187 | lr 2.42e-04 | grad 0.62 | tok/s 53855
step   1640 | loss 1.5739 | lr 2.01e-04 | grad 0.47 | tok/s 52061
step   1650 | loss 1.5770 | lr 1.55e-04 | grad 0.91 | tok/s 51209
step   1660 | loss 1.5696 | lr 1.09e-04 | grad 0.52 | tok/s 52089
step   1670 | loss 1.6180 | lr 6.65e-05 | grad 1.37 | tok/s 54360
step   1680 | loss 1.9846 | lr 3.24e-05 | grad 0.44 | tok/s 54131
step   1690 | loss 1.5387 | lr 9.84e-06 | grad 0.68 | tok/s 53032
