# Job 23: 19b
# GPU: 7
# Command: python train.py --level 19b --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/19b
# Started: 2026-01-19T22:00:19.650163
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/19b/level19b_100m_20260119_220024
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 19b, 98,532,480 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.2721 | lr 2.70e-05 | grad 7.25 | tok/s 22082
step     20 | loss 3.9618 | lr 5.70e-05 | grad 5.94 | tok/s 57783
step     30 | loss 4.6018 | lr 8.70e-05 | grad 3.78 | tok/s 61618
step     40 | loss 3.5534 | lr 1.17e-04 | grad 2.47 | tok/s 61572
step     50 | loss 2.8049 | lr 1.47e-04 | grad 2.70 | tok/s 61630
step     60 | loss 2.9114 | lr 1.77e-04 | grad 3.34 | tok/s 60157
step     70 | loss 2.5814 | lr 2.07e-04 | grad 2.00 | tok/s 58186
step     80 | loss 2.8475 | lr 2.37e-04 | grad 3.02 | tok/s 60578
step     90 | loss 2.8511 | lr 2.67e-04 | grad 3.31 | tok/s 58253
step    100 | loss 2.4921 | lr 2.97e-04 | grad 2.77 | tok/s 58980
step    110 | loss 2.4405 | lr 6.94e-06 | grad 1.82 | tok/s 55165
step    120 | loss 2.6984 | lr 2.69e-05 | grad 1.09 | tok/s 54814
step    130 | loss 2.4924 | lr 5.89e-05 | grad 1.18 | tok/s 56380
step    140 | loss 2.2749 | lr 9.99e-05 | grad 1.02 | tok/s 55950
step    150 | loss 2.1771 | lr 1.46e-04 | grad 1.86 | tok/s 53949
step    160 | loss 2.0674 | lr 1.92e-04 | grad 1.33 | tok/s 54320
step    170 | loss 2.2754 | lr 2.35e-04 | grad 3.95 | tok/s 56064
step    180 | loss 2.2555 | lr 2.69e-04 | grad 1.20 | tok/s 56491
step    190 | loss 2.0142 | lr 2.91e-04 | grad 1.34 | tok/s 57312
