# Job 24: 19d
# GPU: 5
# Command: python train.py --level 19d --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/19d
# Started: 2026-01-19T22:00:30.853903
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/19d/level19d_100m_20260119_220036
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 19d, 114,890,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.1312 | lr 2.70e-05 | grad 48.25 | tok/s 19164
step     20 | loss 4.0345 | lr 5.70e-05 | grad 9.25 | tok/s 43813
step     30 | loss 4.4954 | lr 8.70e-05 | grad 3.98 | tok/s 46010
step     40 | loss 3.5418 | lr 1.17e-04 | grad 5.41 | tok/s 46847
step     50 | loss 3.0439 | lr 1.47e-04 | grad 3.86 | tok/s 46688
step     60 | loss 3.2146 | lr 1.77e-04 | grad 6.28 | tok/s 45544
step     70 | loss 2.9350 | lr 2.07e-04 | grad 1.91 | tok/s 43872
step     80 | loss 3.0777 | lr 2.37e-04 | grad 5.03 | tok/s 46024
step     90 | loss 3.1069 | lr 2.67e-04 | grad 2.97 | tok/s 43998
step    100 | loss 2.7630 | lr 2.97e-04 | grad 2.03 | tok/s 44414
step    110 | loss 2.7551 | lr 6.94e-06 | grad 2.81 | tok/s 41951
step    120 | loss 3.0077 | lr 2.69e-05 | grad 1.41 | tok/s 42100
step    130 | loss 2.8220 | lr 5.89e-05 | grad 1.45 | tok/s 42664
step    140 | loss 2.6042 | lr 9.99e-05 | grad 1.45 | tok/s 43008
step    150 | loss 2.5300 | lr 1.46e-04 | grad 2.88 | tok/s 41079
step    160 | loss 2.4392 | lr 1.92e-04 | grad 2.00 | tok/s 41473
step    170 | loss 2.6250 | lr 2.35e-04 | grad 4.88 | tok/s 42515
step    180 | loss 2.6391 | lr 2.69e-04 | grad 1.91 | tok/s 42948
step    190 | loss 2.4461 | lr 2.91e-04 | grad 3.17 | tok/s 43596
step    200 | loss 2.2373 | lr 3.00e-04 | grad 1.84 | tok/s 44927
step    210 | loss 2.5579 | lr 2.94e-04 | grad 1.98 | tok/s 43059
step    220 | loss 2.5158 | lr 2.74e-04 | grad 1.88 | tok/s 44551
