# Job 25: 19e
# GPU: 1
# Command: python train.py --level 19e --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/19e
# Started: 2026-01-19T22:10:22.404233
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/19e/level19e_100m_20260119_221027
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 19e, 98,532,480 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.2114 | lr 2.70e-05 | grad 6.91 | tok/s 16411
step     20 | loss 4.1552 | lr 5.70e-05 | grad 5.28 | tok/s 31443
step     30 | loss 4.8076 | lr 8.70e-05 | grad 2.77 | tok/s 33351
step     40 | loss 4.0300 | lr 1.17e-04 | grad 2.19 | tok/s 34757
step     50 | loss 3.3251 | lr 1.47e-04 | grad 2.42 | tok/s 32924
step     60 | loss 3.3270 | lr 1.77e-04 | grad 4.41 | tok/s 35330
step     70 | loss 2.9857 | lr 2.07e-04 | grad 2.88 | tok/s 53704
step     80 | loss 3.0939 | lr 2.37e-04 | grad 2.02 | tok/s 56665
step     90 | loss 3.1809 | lr 2.67e-04 | grad 3.06 | tok/s 54733
step    100 | loss 2.9013 | lr 2.97e-04 | grad 1.82 | tok/s 54730
step    110 | loss 2.8107 | lr 6.94e-06 | grad 1.95 | tok/s 51754
step    120 | loss 3.1154 | lr 2.69e-05 | grad 0.95 | tok/s 51516
step    130 | loss 2.9130 | lr 5.89e-05 | grad 0.98 | tok/s 52937
step    140 | loss 2.6876 | lr 9.99e-05 | grad 0.68 | tok/s 52889
step    150 | loss 2.5854 | lr 1.46e-04 | grad 1.80 | tok/s 50404
step    160 | loss 2.5009 | lr 1.92e-04 | grad 1.35 | tok/s 50869
step    170 | loss 2.6856 | lr 2.35e-04 | grad 3.48 | tok/s 52610
step    180 | loss 2.7641 | lr 2.69e-04 | grad 1.94 | tok/s 52228
step    190 | loss 2.5330 | lr 2.91e-04 | grad 2.16 | tok/s 53488
step    200 | loss 2.3460 | lr 3.00e-04 | grad 2.31 | tok/s 54725
step    210 | loss 2.6612 | lr 2.94e-04 | grad 1.82 | tok/s 52514
step    220 | loss 2.5724 | lr 2.74e-04 | grad 0.80 | tok/s 54227
step    230 | loss 2.3945 | lr 2.42e-04 | grad 1.05 | tok/s 52459
step    240 | loss 2.4586 | lr 2.01e-04 | grad 1.30 | tok/s 53473
step    250 | loss 2.3944 | lr 1.55e-04 | grad 1.16 | tok/s 52366
step    260 | loss 2.3808 | lr 1.09e-04 | grad 0.56 | tok/s 50246
step    270 | loss 2.2712 | lr 6.65e-05 | grad 0.67 | tok/s 52489
step    280 | loss 2.1701 | lr 3.24e-05 | grad 1.34 | tok/s 52394
step    290 | loss 2.2266 | lr 9.84e-06 | grad 0.57 | tok/s 55164
step    300 | loss 2.1998 | lr 1.07e-06 | grad 0.63 | tok/s 55153
step    310 | loss 2.2059 | lr 6.94e-06 | grad 0.52 | tok/s 54311
step    320 | loss 2.2352 | lr 2.69e-05 | grad 1.23 | tok/s 53122
step    330 | loss 2.2800 | lr 5.89e-05 | grad 0.67 | tok/s 51719
step    340 | loss 2.2997 | lr 9.99e-05 | grad 1.34 | tok/s 52566
step    350 | loss 2.3195 | lr 1.46e-04 | grad 0.88 | tok/s 51380
step    360 | loss 2.3015 | lr 1.92e-04 | grad 1.50 | tok/s 51927
step    370 | loss 2.2147 | lr 2.35e-04 | grad 1.31 | tok/s 53046
step    380 | loss 2.6761 | lr 2.69e-04 | grad 1.76 | tok/s 53841
step    390 | loss 2.2925 | lr 2.91e-04 | grad 1.66 | tok/s 51737
step    400 | loss 2.3919 | lr 3.00e-04 | grad 2.33 | tok/s 52680
step    410 | loss 2.1751 | lr 2.94e-04 | grad 2.05 | tok/s 51958
step    420 | loss 2.2969 | lr 2.74e-04 | grad 0.97 | tok/s 51868
step    430 | loss 2.3776 | lr 2.42e-04 | grad 1.31 | tok/s 51147
step    440 | loss 2.4817 | lr 2.01e-04 | grad 1.16 | tok/s 53210
step    450 | loss 2.1962 | lr 1.55e-04 | grad 0.86 | tok/s 51366
step    460 | loss 2.1796 | lr 1.09e-04 | grad 0.83 | tok/s 52386
step    470 | loss 2.1755 | lr 6.65e-05 | grad 1.63 | tok/s 53064
step    480 | loss 2.0649 | lr 3.24e-05 | grad 0.51 | tok/s 51325
step    490 | loss 2.0115 | lr 9.84e-06 | grad 0.46 | tok/s 52101
step    500 | loss 2.9192 | lr 1.07e-06 | grad 0.63 | tok/s 53927
step    510 | loss 2.0467 | lr 6.94e-06 | grad 0.43 | tok/s 52596
step    520 | loss 2.0846 | lr 2.69e-05 | grad 0.42 | tok/s 54046
step    530 | loss 2.5134 | lr 5.89e-05 | grad 0.77 | tok/s 53183
step    540 | loss 2.0389 | lr 9.99e-05 | grad 1.34 | tok/s 52950
step    550 | loss 1.9851 | lr 1.46e-04 | grad 0.79 | tok/s 54652
step    560 | loss 1.8763 | lr 1.92e-04 | grad 0.75 | tok/s 54818
step    570 | loss 2.1353 | lr 2.35e-04 | grad 1.83 | tok/s 53903
step    580 | loss 2.4682 | lr 2.69e-04 | grad 1.23 | tok/s 53246
step    590 | loss 2.7334 | lr 2.91e-04 | grad 1.98 | tok/s 52129
step    600 | loss 2.2810 | lr 3.00e-04 | grad 1.65 | tok/s 52487
step    610 | loss 2.2933 | lr 2.94e-04 | grad 0.86 | tok/s 54666
step    620 | loss 2.1180 | lr 2.74e-04 | grad 0.69 | tok/s 52074
step    630 | loss 2.0723 | lr 2.42e-04 | grad 1.24 | tok/s 53790
step    640 | loss 2.4316 | lr 2.01e-04 | grad 1.13 | tok/s 53423
