# Job 44: 44
# GPU: 6
# Command: python train.py --level 44 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/44
# Started: 2026-01-19T22:30:54.651569
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/44/level44_100m_20260119_223059
Auto r_h_mode: none (level 44 has bounded/no W_h)
Model: Level 44, 32,996,480 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6645 | lr 2.70e-05 | grad 12.62 | tok/s 28157
step     20 | loss 5.0076 | lr 5.70e-05 | grad 7.38 | tok/s 113097
step     30 | loss 4.9142 | lr 8.70e-05 | grad 4.12 | tok/s 124465
step     40 | loss 4.0409 | lr 1.17e-04 | grad 1.96 | tok/s 127067
step     50 | loss nan | lr 1.47e-04 | grad nan | tok/s 142097
step     60 | loss nan | lr 1.77e-04 | grad nan | tok/s 117932
step     70 | loss nan | lr 2.07e-04 | grad nan | tok/s 131314
step     80 | loss nan | lr 2.37e-04 | grad nan | tok/s 129235
step     90 | loss nan | lr 2.67e-04 | grad nan | tok/s 115732
step    100 | loss nan | lr 2.97e-04 | grad nan | tok/s 143576
step    110 | loss nan | lr 6.94e-06 | grad nan | tok/s 134412
step    120 | loss nan | lr 2.69e-05 | grad nan | tok/s 126402
step    130 | loss nan | lr 5.89e-05 | grad nan | tok/s 105942
step    140 | loss nan | lr 9.99e-05 | grad nan | tok/s 103339
step    150 | loss nan | lr 1.46e-04 | grad nan | tok/s 98959
step    160 | loss nan | lr 1.92e-04 | grad nan | tok/s 104794
step    170 | loss nan | lr 2.35e-04 | grad nan | tok/s 111426
step    180 | loss nan | lr 2.69e-04 | grad nan | tok/s 122193
step    190 | loss nan | lr 2.91e-04 | grad nan | tok/s 139567
step    200 | loss nan | lr 3.00e-04 | grad nan | tok/s 145001
step    210 | loss nan | lr 2.94e-04 | grad nan | tok/s 140692
step    220 | loss nan | lr 2.74e-04 | grad nan | tok/s 145689
step    230 | loss nan | lr 2.42e-04 | grad nan | tok/s 140585
step    240 | loss nan | lr 2.01e-04 | grad nan | tok/s 143808
step    250 | loss nan | lr 1.55e-04 | grad nan | tok/s 141196
step    260 | loss nan | lr 1.09e-04 | grad nan | tok/s 135795
step    270 | loss nan | lr 6.65e-05 | grad nan | tok/s 141166
step    280 | loss nan | lr 3.24e-05 | grad nan | tok/s 141083
step    290 | loss nan | lr 9.84e-06 | grad nan | tok/s 148053
step    300 | loss nan | lr 1.07e-06 | grad nan | tok/s 148096
step    310 | loss nan | lr 6.94e-06 | grad nan | tok/s 148391
step    320 | loss nan | lr 2.69e-05 | grad nan | tok/s 143333
step    330 | loss nan | lr 5.89e-05 | grad nan | tok/s 139059
step    340 | loss nan | lr 9.99e-05 | grad nan | tok/s 142206
step    350 | loss nan | lr 1.46e-04 | grad nan | tok/s 137667
step    360 | loss nan | lr 1.92e-04 | grad nan | tok/s 139982
step    370 | loss nan | lr 2.35e-04 | grad nan | tok/s 142839
step    380 | loss nan | lr 2.69e-04 | grad nan | tok/s 146362
step    390 | loss nan | lr 2.91e-04 | grad nan | tok/s 140928
step    400 | loss nan | lr 3.00e-04 | grad nan | tok/s 144780
step    410 | loss nan | lr 2.94e-04 | grad nan | tok/s 140081
step    420 | loss nan | lr 2.74e-04 | grad nan | tok/s 139760
step    430 | loss nan | lr 2.42e-04 | grad nan | tok/s 139030
step    440 | loss nan | lr 2.01e-04 | grad nan | tok/s 144299
step    450 | loss nan | lr 1.55e-04 | grad nan | tok/s 140045
step    460 | loss nan | lr 1.09e-04 | grad nan | tok/s 140874
step    470 | loss nan | lr 6.65e-05 | grad nan | tok/s 142715
step    480 | loss nan | lr 3.24e-05 | grad nan | tok/s 137633
step    490 | loss nan | lr 9.84e-06 | grad nan | tok/s 140448
step    500 | loss nan | lr 1.07e-06 | grad nan | tok/s 144086
step    510 | loss nan | lr 6.94e-06 | grad nan | tok/s 140823
step    520 | loss nan | lr 2.69e-05 | grad nan | tok/s 145315
step    530 | loss nan | lr 5.89e-05 | grad nan | tok/s 142171
step    540 | loss nan | lr 9.99e-05 | grad nan | tok/s 141757
step    550 | loss nan | lr 1.46e-04 | grad nan | tok/s 146186
step    560 | loss nan | lr 1.92e-04 | grad nan | tok/s 147255
step    570 | loss nan | lr 2.35e-04 | grad nan | tok/s 144466
step    580 | loss nan | lr 2.69e-04 | grad nan | tok/s 142354
step    590 | loss nan | lr 2.91e-04 | grad nan | tok/s 139783
step    600 | loss nan | lr 3.00e-04 | grad nan | tok/s 139943
step    610 | loss nan | lr 2.94e-04 | grad nan | tok/s 146523
step    620 | loss nan | lr 2.74e-04 | grad nan | tok/s 139807
step    630 | loss nan | lr 2.42e-04 | grad nan | tok/s 143765
step    640 | loss nan | lr 2.01e-04 | grad nan | tok/s 143408
step    650 | loss nan | lr 1.55e-04 | grad nan | tok/s 141186
step    660 | loss nan | lr 1.09e-04 | grad nan | tok/s 140336
step    670 | loss nan | lr 6.65e-05 | grad nan | tok/s 144761
step    680 | loss nan | lr 3.24e-05 | grad nan | tok/s 139700
step    690 | loss nan | lr 9.84e-06 | grad nan | tok/s 140015
step    700 | loss nan | lr 1.07e-06 | grad nan | tok/s 141424
step    710 | loss nan | lr 6.94e-06 | grad nan | tok/s 141953
step    720 | loss nan | lr 2.68e-05 | grad nan | tok/s 141660
step    730 | loss nan | lr 5.89e-05 | grad nan | tok/s 143121
step    740 | loss nan | lr 9.99e-05 | grad nan | tok/s 141838
step    750 | loss nan | lr 1.46e-04 | grad nan | tok/s 139925
step    760 | loss nan | lr 1.92e-04 | grad nan | tok/s 141473
step    770 | loss nan | lr 2.35e-04 | grad nan | tok/s 141348
step    780 | loss nan | lr 2.69e-04 | grad nan | tok/s 142758
step    790 | loss nan | lr 2.91e-04 | grad nan | tok/s 143562
step    800 | loss nan | lr 3.00e-04 | grad nan | tok/s 143272
step    810 | loss nan | lr 2.94e-04 | grad nan | tok/s 142494
step    820 | loss nan | lr 2.74e-04 | grad nan | tok/s 146016
step    830 | loss nan | lr 2.42e-04 | grad nan | tok/s 148406
step    840 | loss nan | lr 2.01e-04 | grad nan | tok/s 148198
step    850 | loss nan | lr 1.55e-04 | grad nan | tok/s 140900
step    860 | loss nan | lr 1.09e-04 | grad nan | tok/s 138455
step    870 | loss nan | lr 6.65e-05 | grad nan | tok/s 142897
step    880 | loss nan | lr 3.24e-05 | grad nan | tok/s 141810
step    890 | loss nan | lr 9.84e-06 | grad nan | tok/s 141681
step    900 | loss nan | lr 1.07e-06 | grad nan | tok/s 137989
step    910 | loss nan | lr 6.94e-06 | grad nan | tok/s 140604
step    920 | loss nan | lr 2.68e-05 | grad nan | tok/s 140443
step    930 | loss nan | lr 5.89e-05 | grad nan | tok/s 140133
step    940 | loss nan | lr 9.99e-05 | grad nan | tok/s 137881
step    950 | loss nan | lr 1.46e-04 | grad nan | tok/s 141984
step    960 | loss nan | lr 1.92e-04 | grad nan | tok/s 148730
step    970 | loss nan | lr 2.35e-04 | grad nan | tok/s 148512
step    980 | loss nan | lr 2.69e-04 | grad nan | tok/s 144354
step    990 | loss nan | lr 2.91e-04 | grad nan | tok/s 140051
step   1000 | loss nan | lr 3.00e-04 | grad nan | tok/s 137501
  >>> saved checkpoint: checkpoint_step_001000_loss_nan.pt
step   1010 | loss nan | lr 2.94e-04 | grad nan | tok/s 121882
step   1020 | loss nan | lr 2.74e-04 | grad nan | tok/s 140643
step   1030 | loss nan | lr 2.42e-04 | grad nan | tok/s 138613
step   1040 | loss nan | lr 2.01e-04 | grad nan | tok/s 141786
step   1050 | loss nan | lr 1.55e-04 | grad nan | tok/s 141674
step   1060 | loss nan | lr 1.09e-04 | grad nan | tok/s 141938
step   1070 | loss nan | lr 6.65e-05 | grad nan | tok/s 142298
step   1080 | loss nan | lr 3.24e-05 | grad nan | tok/s 140858
step   1090 | loss nan | lr 9.84e-06 | grad nan | tok/s 141797
step   1100 | loss nan | lr 1.07e-06 | grad nan | tok/s 140603
step   1110 | loss nan | lr 6.93e-06 | grad nan | tok/s 143473
step   1120 | loss nan | lr 2.68e-05 | grad nan | tok/s 145025
step   1130 | loss nan | lr 5.89e-05 | grad nan | tok/s 137788
step   1140 | loss nan | lr 9.99e-05 | grad nan | tok/s 141244
step   1150 | loss nan | lr 1.46e-04 | grad nan | tok/s 141184
step   1160 | loss nan | lr 1.92e-04 | grad nan | tok/s 139818
step   1170 | loss nan | lr 2.35e-04 | grad nan | tok/s 140622
step   1180 | loss nan | lr 2.69e-04 | grad nan | tok/s 148483
step   1190 | loss nan | lr 2.91e-04 | grad nan | tok/s 148392
step   1200 | loss nan | lr 3.00e-04 | grad nan | tok/s 148547
step   1210 | loss nan | lr 2.94e-04 | grad nan | tok/s 148731
step   1220 | loss nan | lr 2.74e-04 | grad nan | tok/s 147083
step   1230 | loss nan | lr 2.42e-04 | grad nan | tok/s 142313
step   1240 | loss nan | lr 2.01e-04 | grad nan | tok/s 139211
step   1250 | loss nan | lr 1.55e-04 | grad nan | tok/s 143367
step   1260 | loss nan | lr 1.09e-04 | grad nan | tok/s 143449
step   1270 | loss nan | lr 6.65e-05 | grad nan | tok/s 142167
step   1280 | loss nan | lr 3.24e-05 | grad nan | tok/s 140599
step   1290 | loss nan | lr 9.84e-06 | grad nan | tok/s 139697
step   1300 | loss nan | lr 1.07e-06 | grad nan | tok/s 138970
step   1310 | loss nan | lr 6.93e-06 | grad nan | tok/s 138869
step   1320 | loss nan | lr 2.68e-05 | grad nan | tok/s 141145
step   1330 | loss nan | lr 5.89e-05 | grad nan | tok/s 141669
step   1340 | loss nan | lr 9.99e-05 | grad nan | tok/s 141635
step   1350 | loss nan | lr 1.46e-04 | grad nan | tok/s 145409
step   1360 | loss nan | lr 1.92e-04 | grad nan | tok/s 138061
step   1370 | loss nan | lr 2.35e-04 | grad nan | tok/s 140007
step   1380 | loss nan | lr 2.69e-04 | grad nan | tok/s 141783
step   1390 | loss nan | lr 2.91e-04 | grad nan | tok/s 137978
step   1400 | loss nan | lr 3.00e-04 | grad nan | tok/s 143496
step   1410 | loss nan | lr 2.94e-04 | grad nan | tok/s 144354
step   1420 | loss nan | lr 2.74e-04 | grad nan | tok/s 137815
step   1430 | loss nan | lr 2.42e-04 | grad nan | tok/s 134802
