# Job 53: 56
# GPU: 5
# Command: python train.py --level 56 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/56
# Started: 2026-01-19T22:41:07.196228
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/56/level56_100m_20260119_224111
Auto r_h_mode: spectral_norm (level 56 has full W_h)
Model: Level 56, 114,890,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4862 | lr 2.70e-05 | grad 8.19 | tok/s 19293
step     20 | loss 5.0701 | lr 5.70e-05 | grad 3.62 | tok/s 39830
step     30 | loss 5.0636 | lr 8.70e-05 | grad 3.28 | tok/s 41730
step     40 | loss 3.8361 | lr 1.17e-04 | grad 1.60 | tok/s 42162
step     50 | loss 2.8220 | lr 1.47e-04 | grad 1.17 | tok/s 42656
step     60 | loss 2.9241 | lr 1.77e-04 | grad 2.09 | tok/s 30684
step     70 | loss 2.5858 | lr 2.07e-04 | grad 1.78 | tok/s 40435
step     80 | loss 2.8416 | lr 2.37e-04 | grad 2.39 | tok/s 42123
step     90 | loss 2.8043 | lr 2.67e-04 | grad 3.89 | tok/s 40684
step    100 | loss 2.3502 | lr 2.97e-04 | grad 1.23 | tok/s 41022
step    110 | loss 2.3707 | lr 6.94e-06 | grad 1.72 | tok/s 39177
step    120 | loss 2.5400 | lr 2.69e-05 | grad 1.20 | tok/s 38987
step    130 | loss 2.4351 | lr 5.89e-05 | grad 1.02 | tok/s 39873
step    140 | loss 2.2069 | lr 9.99e-05 | grad 0.87 | tok/s 39959
step    150 | loss 2.0809 | lr 1.46e-04 | grad 1.89 | tok/s 38096
step    160 | loss 1.9713 | lr 1.92e-04 | grad 1.51 | tok/s 38458
step    170 | loss 2.1488 | lr 2.35e-04 | grad 3.16 | tok/s 39729
step    180 | loss 2.1216 | lr 2.69e-04 | grad 1.28 | tok/s 39791
step    190 | loss 1.8346 | lr 2.91e-04 | grad 1.22 | tok/s 40503
step    200 | loss 1.4177 | lr 3.00e-04 | grad 1.04 | tok/s 41440
step    210 | loss 2.1614 | lr 2.94e-04 | grad 1.52 | tok/s 39746
