# Job 80: 75n64
# GPU: 2
# Command: python train.py --level 75n64 --dim 1408 --expansion 2.0 --n_state 64 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/75n64
# Started: 2026-01-19T23:01:59.191759
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/75n64/level75n64_100m_20260119_230204
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level 75n64, 95,910,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.7469 | lr 2.70e-05 | grad 88.50 | tok/s 18767
step     20 | loss 5.1992 | lr 5.70e-05 | grad 38.50 | tok/s 41231
step     30 | loss 5.1128 | lr 8.70e-05 | grad 11.94 | tok/s 43659
step     40 | loss 4.4667 | lr 1.17e-04 | grad 8.56 | tok/s 43652
step     50 | loss 3.8515 | lr 1.47e-04 | grad 8.81 | tok/s 43664
step     60 | loss 3.7836 | lr 1.77e-04 | grad 11.25 | tok/s 42751
step     70 | loss 3.3077 | lr 2.07e-04 | grad 2.77 | tok/s 41333
step     80 | loss 3.4446 | lr 2.37e-04 | grad 4.31 | tok/s 42928
step     90 | loss 3.2103 | lr 2.67e-04 | grad 5.00 | tok/s 41424
step    100 | loss 2.8838 | lr 2.97e-04 | grad 1.78 | tok/s 41719
step    110 | loss 2.8119 | lr 6.94e-06 | grad 2.75 | tok/s 39207
step    120 | loss 3.1479 | lr 2.69e-05 | grad 2.08 | tok/s 39044
step    130 | loss 2.9213 | lr 5.89e-05 | grad 1.82 | tok/s 39961
step    140 | loss 2.6683 | lr 9.99e-05 | grad 1.35 | tok/s 40037
step    150 | loss 2.5636 | lr 1.46e-04 | grad 2.73 | tok/s 38201
step    160 | loss 2.4189 | lr 1.92e-04 | grad 2.11 | tok/s 38518
step    170 | loss 2.6124 | lr 2.35e-04 | grad 5.12 | tok/s 39871
step    180 | loss 2.6582 | lr 2.69e-04 | grad 2.14 | tok/s 39994
step    190 | loss 2.4064 | lr 2.91e-04 | grad 1.75 | tok/s 40646
step    200 | loss 2.1364 | lr 3.00e-04 | grad 1.29 | tok/s 41522
step    210 | loss 2.5635 | lr 2.94e-04 | grad 2.64 | tok/s 39792
step    220 | loss 2.4807 | lr 2.74e-04 | grad 1.29 | tok/s 41114
step    230 | loss 2.3139 | lr 2.42e-04 | grad 1.64 | tok/s 39721
step    240 | loss 2.3425 | lr 2.01e-04 | grad 1.99 | tok/s 40535
step    250 | loss 2.2788 | lr 1.55e-04 | grad 1.49 | tok/s 39970
step    260 | loss 2.2813 | lr 1.09e-04 | grad 0.84 | tok/s 38382
step    270 | loss 2.1602 | lr 6.65e-05 | grad 1.23 | tok/s 39808
step    280 | loss 2.0712 | lr 3.24e-05 | grad 1.85 | tok/s 39734
step    290 | loss 2.0837 | lr 9.84e-06 | grad 1.02 | tok/s 41874
step    300 | loss 2.0530 | lr 1.07e-06 | grad 0.93 | tok/s 41887
step    310 | loss 2.0580 | lr 6.94e-06 | grad 0.93 | tok/s 41901
step    320 | loss 2.1204 | lr 2.69e-05 | grad 1.97 | tok/s 40337
step    330 | loss 2.1598 | lr 5.89e-05 | grad 0.77 | tok/s 39386
step    340 | loss 2.1775 | lr 9.99e-05 | grad 2.03 | tok/s 40210
step    350 | loss 2.1922 | lr 1.46e-04 | grad 1.09 | tok/s 39056
step    360 | loss 2.1601 | lr 1.92e-04 | grad 2.81 | tok/s 39559
