# Job 85: E75h6n24
# GPU: 5
# Command: python train.py --level E75h6n24 --dim 1280 --expansion 2.0 --n_state 24 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/E75h6n24
# Started: 2026-01-19T23:11:37.434877
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/E75h6n24/levelE75h6n24_100m_20260119_231142
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h6n24, 99,071,040 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.7579 | lr 2.70e-05 | grad 84.00 | tok/s 23577
step     20 | loss 5.3781 | lr 5.70e-05 | grad 59.75 | tok/s 69393
step     30 | loss 5.2704 | lr 8.70e-05 | grad 23.12 | tok/s 73410
step     40 | loss 4.6728 | lr 1.17e-04 | grad 10.94 | tok/s 73360
step     50 | loss 3.8938 | lr 1.47e-04 | grad 4.59 | tok/s 73195
step     60 | loss 3.7292 | lr 1.77e-04 | grad 19.62 | tok/s 71745
step     70 | loss 3.2379 | lr 2.07e-04 | grad 4.41 | tok/s 69131
step     80 | loss 3.4102 | lr 2.37e-04 | grad 3.53 | tok/s 71807
step     90 | loss 3.1679 | lr 2.67e-04 | grad 5.47 | tok/s 69248
step    100 | loss 2.7592 | lr 2.97e-04 | grad 1.78 | tok/s 69747
step    110 | loss 2.7762 | lr 6.94e-06 | grad 2.72 | tok/s 64341
step    120 | loss 3.0412 | lr 2.69e-05 | grad 2.03 | tok/s 64337
step    130 | loss 2.8467 | lr 5.89e-05 | grad 1.70 | tok/s 65652
step    140 | loss 2.5901 | lr 9.99e-05 | grad 1.23 | tok/s 65501
step    150 | loss 2.4798 | lr 1.46e-04 | grad 2.33 | tok/s 62714
step    160 | loss 2.3651 | lr 1.92e-04 | grad 1.75 | tok/s 62887
step    170 | loss 2.5777 | lr 2.35e-04 | grad 6.03 | tok/s 65063
step    180 | loss 2.6130 | lr 2.69e-04 | grad 1.40 | tok/s 65292
step    190 | loss 2.3421 | lr 2.91e-04 | grad 1.59 | tok/s 66573
step    200 | loss 2.0350 | lr 3.00e-04 | grad 1.42 | tok/s 68198
step    210 | loss 2.4888 | lr 2.94e-04 | grad 2.16 | tok/s 64939
step    220 | loss 2.4448 | lr 2.74e-04 | grad 1.38 | tok/s 67165
step    230 | loss 2.2672 | lr 2.42e-04 | grad 1.70 | tok/s 64844
step    240 | loss 2.2707 | lr 2.01e-04 | grad 1.90 | tok/s 66164
step    250 | loss 2.2091 | lr 1.55e-04 | grad 1.21 | tok/s 65229
step    260 | loss 2.2326 | lr 1.09e-04 | grad 0.75 | tok/s 62582
step    270 | loss 2.1116 | lr 6.65e-05 | grad 1.27 | tok/s 64992
step    280 | loss 2.0237 | lr 3.24e-05 | grad 1.72 | tok/s 64933
step    290 | loss 2.0060 | lr 9.84e-06 | grad 0.88 | tok/s 68315
step    300 | loss 1.9818 | lr 1.07e-06 | grad 0.88 | tok/s 68424
step    310 | loss 1.9818 | lr 6.94e-06 | grad 0.77 | tok/s 68430
step    320 | loss 2.0745 | lr 2.69e-05 | grad 2.03 | tok/s 65835
step    330 | loss 2.1024 | lr 5.89e-05 | grad 0.70 | tok/s 64241
step    340 | loss 2.1196 | lr 9.99e-05 | grad 1.82 | tok/s 65629
step    350 | loss 2.1343 | lr 1.46e-04 | grad 1.03 | tok/s 63667
step    360 | loss 2.0953 | lr 1.92e-04 | grad 2.55 | tok/s 64566
step    370 | loss 1.9582 | lr 2.35e-04 | grad 1.24 | tok/s 65797
step    380 | loss 2.4633 | lr 2.69e-04 | grad 1.51 | tok/s 67438
step    390 | loss 2.0748 | lr 2.91e-04 | grad 1.58 | tok/s 64932
step    400 | loss 2.1862 | lr 3.00e-04 | grad 2.81 | tok/s 66632
step    410 | loss 1.9535 | lr 2.94e-04 | grad 1.95 | tok/s 64551
step    420 | loss 2.0655 | lr 2.74e-04 | grad 1.06 | tok/s 64156
step    430 | loss 2.2033 | lr 2.42e-04 | grad 1.48 | tok/s 63933
step    440 | loss 2.2750 | lr 2.01e-04 | grad 1.04 | tok/s 66521
step    450 | loss 1.9810 | lr 1.55e-04 | grad 0.79 | tok/s 64656
step    460 | loss 1.9602 | lr 1.09e-04 | grad 0.77 | tok/s 64925
step    470 | loss 1.9378 | lr 6.65e-05 | grad 1.12 | tok/s 65718
step    480 | loss 1.8363 | lr 3.24e-05 | grad 0.60 | tok/s 63353
step    490 | loss 1.7987 | lr 9.84e-06 | grad 0.56 | tok/s 64514
step    500 | loss 2.7364 | lr 1.07e-06 | grad 0.98 | tok/s 66593
step    510 | loss 1.8596 | lr 6.94e-06 | grad 0.64 | tok/s 65026
step    520 | loss 1.8982 | lr 2.69e-05 | grad 0.54 | tok/s 67132
step    530 | loss 2.3610 | lr 5.89e-05 | grad 0.61 | tok/s 65693
step    540 | loss 1.8235 | lr 9.99e-05 | grad 1.06 | tok/s 65735
step    550 | loss 1.7168 | lr 1.46e-04 | grad 0.76 | tok/s 67398
step    560 | loss 1.5712 | lr 1.92e-04 | grad 0.82 | tok/s 68402
step    570 | loss 1.8575 | lr 2.35e-04 | grad 1.86 | tok/s 66847
step    580 | loss 2.2089 | lr 2.69e-04 | grad 1.15 | tok/s 65974
step    590 | loss 2.4805 | lr 2.91e-04 | grad 1.59 | tok/s 64580
step    600 | loss 2.0458 | lr 3.00e-04 | grad 1.30 | tok/s 64770
step    610 | loss 1.9833 | lr 2.94e-04 | grad 1.31 | tok/s 67929
step    620 | loss 1.9053 | lr 2.74e-04 | grad 0.91 | tok/s 64393
step    630 | loss 1.8185 | lr 2.42e-04 | grad 1.02 | tok/s 66454
step    640 | loss 2.1809 | lr 2.01e-04 | grad 0.91 | tok/s 66518
step    650 | loss 1.8366 | lr 1.55e-04 | grad 1.03 | tok/s 65258
step    660 | loss 2.1636 | lr 1.09e-04 | grad 4.34 | tok/s 64379
step    670 | loss 1.9724 | lr 6.65e-05 | grad 1.70 | tok/s 66671
step    680 | loss 1.9117 | lr 3.24e-05 | grad 1.14 | tok/s 64290
step    690 | loss 1.9130 | lr 9.84e-06 | grad 1.12 | tok/s 64837
