# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 2816  --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/1b_10min_20260120_010008/mamba2
# Started: 2026-01-20T01:00:31.257403
============================================================

Using device: cuda
Output directory: benchmark_results/1b_10min_20260120_010008/mamba2/levelmamba2_100m_20260120_010037
Model: Level mamba2, 972,502,688 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 4.9787 | lr 2.70e-05 | grad 12.44 | tok/s 3699
step     20 | loss 2.7861 | lr 5.70e-05 | grad 7.44 | tok/s 12415
step     30 | loss 2.7923 | lr 8.70e-05 | grad 10.31 | tok/s 12232
step     40 | loss 2.8964 | lr 1.17e-04 | grad 19.12 | tok/s 12544
step     50 | loss 4.4675 | lr 1.47e-04 | grad 10.94 | tok/s 12867
step     60 | loss 3.9257 | lr 1.77e-04 | grad 15.25 | tok/s 12730
step     70 | loss 3.1450 | lr 2.07e-04 | grad 12.56 | tok/s 12597
step     80 | loss 3.1276 | lr 2.37e-04 | grad 8.81 | tok/s 12492
step     90 | loss 2.5217 | lr 2.67e-04 | grad 7.78 | tok/s 12400
step    100 | loss 2.6600 | lr 2.97e-04 | grad 8.75 | tok/s 12295
step    110 | loss 2.3814 | lr 6.94e-06 | grad 8.50 | tok/s 12207
step    120 | loss 3.7389 | lr 2.69e-05 | grad 19.88 | tok/s 11773
step    130 | loss 2.5070 | lr 5.89e-05 | grad 4.88 | tok/s 11507
step    140 | loss 2.1530 | lr 9.99e-05 | grad 3.92 | tok/s 11530
step    150 | loss 2.1206 | lr 1.46e-04 | grad 14.44 | tok/s 11909
step    160 | loss 2.0595 | lr 1.92e-04 | grad 6.44 | tok/s 11912
step    170 | loss 2.4119 | lr 2.35e-04 | grad 5.56 | tok/s 11257
step    180 | loss 2.1103 | lr 2.69e-04 | grad 3.59 | tok/s 11619
step    190 | loss 2.0520 | lr 2.91e-04 | grad 3.66 | tok/s 11160
step    200 | loss 1.7867 | lr 3.00e-04 | grad 2.39 | tok/s 11901
step    210 | loss 1.6837 | lr 2.94e-04 | grad 2.72 | tok/s 11525
step    220 | loss 2.2808 | lr 2.74e-04 | grad 4.56 | tok/s 11131
step    230 | loss 2.7137 | lr 2.42e-04 | grad 1.83 | tok/s 11131
step    240 | loss 2.0584 | lr 2.01e-04 | grad 2.70 | tok/s 11183
step    250 | loss 2.2636 | lr 1.55e-04 | grad 3.30 | tok/s 11219
step    260 | loss 1.8451 | lr 1.09e-04 | grad 1.83 | tok/s 11587
step    270 | loss 1.9934 | lr 6.65e-05 | grad 2.33 | tok/s 11586
step    280 | loss 1.7263 | lr 3.24e-05 | grad 1.93 | tok/s 11239
step    290 | loss 1.6893 | lr 9.84e-06 | grad 2.48 | tok/s 10814
step    300 | loss 1.7922 | lr 1.07e-06 | grad 2.33 | tok/s 10987
step    310 | loss 1.8221 | lr 6.94e-06 | grad 1.27 | tok/s 11212
step    320 | loss 1.6514 | lr 2.69e-05 | grad 2.16 | tok/s 10737
step    330 | loss 1.8399 | lr 5.89e-05 | grad 1.62 | tok/s 11220
step    340 | loss 1.8993 | lr 9.99e-05 | grad 6.38 | tok/s 11456
step    350 | loss 1.9258 | lr 1.46e-04 | grad 3.61 | tok/s 11221
step    360 | loss 1.8003 | lr 1.92e-04 | grad 2.28 | tok/s 11470
step    370 | loss 1.5764 | lr 2.35e-04 | grad 1.41 | tok/s 11273
step    380 | loss 1.5991 | lr 2.69e-04 | grad 1.75 | tok/s 11771
step    390 | loss 1.2002 | lr 2.91e-04 | grad 1.68 | tok/s 11864
step    400 | loss 1.1443 | lr 3.00e-04 | grad 2.64 | tok/s 11688
step    410 | loss 2.2190 | lr 2.94e-04 | grad 2.84 | tok/s 11311
step    420 | loss 2.0342 | lr 2.74e-04 | grad 3.52 | tok/s 11320
step    430 | loss 1.8172 | lr 2.42e-04 | grad 2.70 | tok/s 11850
step    440 | loss 1.7760 | lr 2.01e-04 | grad 3.06 | tok/s 11486
step    450 | loss 1.9115 | lr 1.55e-04 | grad 1.87 | tok/s 11337
step    460 | loss 1.6291 | lr 1.09e-04 | grad 2.78 | tok/s 11245
step    470 | loss 1.7144 | lr 6.65e-05 | grad 2.06 | tok/s 11249
step    480 | loss 1.7310 | lr 3.24e-05 | grad 2.23 | tok/s 11771
step    490 | loss 1.8323 | lr 9.84e-06 | grad 1.20 | tok/s 11390
