# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 2432 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/1b_10min_20260120_010008/fla-gdn
# Started: 2026-01-20T01:00:31.257736
============================================================

Using device: cuda
Output directory: benchmark_results/1b_10min_20260120_010008/fla-gdn/levelfla-gdn_100m_20260120_010037
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 949,645,944 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.8648 | lr 2.70e-05 | grad 136.00 | tok/s 437
step     20 | loss 5.1845 | lr 5.70e-05 | grad 86.50 | tok/s 12726
step     30 | loss 4.3919 | lr 8.70e-05 | grad 53.75 | tok/s 12576
step     40 | loss 3.9166 | lr 1.17e-04 | grad 61.25 | tok/s 12976
step     50 | loss 5.2816 | lr 1.47e-04 | grad 44.75 | tok/s 13388
step     60 | loss 3.9452 | lr 1.77e-04 | grad 31.25 | tok/s 13312
step     70 | loss 3.4541 | lr 2.07e-04 | grad 15.62 | tok/s 13237
step     80 | loss 3.7329 | lr 2.37e-04 | grad 13.12 | tok/s 13193
step     90 | loss 3.2248 | lr 2.67e-04 | grad 11.56 | tok/s 13145
step    100 | loss 2.9691 | lr 2.97e-04 | grad 6.44 | tok/s 13097
step    110 | loss 2.6077 | lr 6.94e-06 | grad 6.78 | tok/s 13147
step    120 | loss 3.6849 | lr 2.69e-05 | grad 5.25 | tok/s 12731
step    130 | loss 2.6849 | lr 5.89e-05 | grad 4.66 | tok/s 12422
step    140 | loss 2.3834 | lr 9.99e-05 | grad 5.03 | tok/s 12468
step    150 | loss 2.3015 | lr 1.46e-04 | grad 4.28 | tok/s 12882
step    160 | loss 2.1926 | lr 1.92e-04 | grad 5.97 | tok/s 12916
step    170 | loss 2.5484 | lr 2.35e-04 | grad 10.81 | tok/s 12193
step    180 | loss 2.2367 | lr 2.69e-04 | grad 4.78 | tok/s 12614
step    190 | loss 2.0639 | lr 2.91e-04 | grad 6.16 | tok/s 12098
step    200 | loss 1.8270 | lr 3.00e-04 | grad 2.53 | tok/s 12894
step    210 | loss 1.7183 | lr 2.94e-04 | grad 4.69 | tok/s 12515
step    220 | loss 2.3307 | lr 2.74e-04 | grad 6.78 | tok/s 12085
step    230 | loss 2.4753 | lr 2.42e-04 | grad 4.38 | tok/s 12093
step    240 | loss 2.0884 | lr 2.01e-04 | grad 4.31 | tok/s 12145
step    250 | loss 2.2156 | lr 1.55e-04 | grad 3.55 | tok/s 12197
step    260 | loss 1.8255 | lr 1.09e-04 | grad 2.56 | tok/s 12585
step    270 | loss 2.0095 | lr 6.65e-05 | grad 2.89 | tok/s 12609
step    280 | loss 1.7274 | lr 3.24e-05 | grad 3.06 | tok/s 12225
step    290 | loss 1.7063 | lr 9.84e-06 | grad 2.94 | tok/s 11773
step    300 | loss 1.7981 | lr 1.07e-06 | grad 3.55 | tok/s 11956
