# Job 6: minlstm
# GPU: 6
# Command: python train.py --level minlstm --dim 1152 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/1b_10min_20260120_010008/minlstm
# Started: 2026-01-20T01:00:31.259893
============================================================

Using device: cuda
Output directory: benchmark_results/1b_10min_20260120_010008/minlstm/levelminlstm_100m_20260120_010037
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level minlstm, 212,679,936 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.2690 | lr 2.70e-05 | grad 8.19 | tok/s 20085
step     20 | loss 3.7146 | lr 5.70e-05 | grad 6.78 | tok/s 21883
step     30 | loss 3.9713 | lr 8.70e-05 | grad 4.41 | tok/s 21904
step     40 | loss 3.7391 | lr 1.17e-04 | grad 8.44 | tok/s 22691
step     50 | loss 5.4510 | lr 1.47e-04 | grad 5.88 | tok/s 23574
step     60 | loss 4.4681 | lr 1.77e-04 | grad 3.67 | tok/s 23637
step     70 | loss 4.3353 | lr 2.07e-04 | grad 6.56 | tok/s 23604
step     80 | loss 4.1246 | lr 2.37e-04 | grad 3.50 | tok/s 23602
step     90 | loss 3.6681 | lr 2.67e-04 | grad 3.33 | tok/s 23575
step    100 | loss 3.6270 | lr 2.97e-04 | grad 4.03 | tok/s 23428
step    110 | loss 3.2959 | lr 6.94e-06 | grad 4.00 | tok/s 22793
step    120 | loss 4.2443 | lr 2.69e-05 | grad 4.44 | tok/s 22322
step    130 | loss 3.4719 | lr 5.89e-05 | grad 1.61 | tok/s 21888
step    140 | loss 3.0607 | lr 9.99e-05 | grad 2.00 | tok/s 21949
step    150 | loss 3.5972 | lr 1.46e-04 | grad 2.67 | tok/s 22555
step    160 | loss 3.3164 | lr 1.92e-04 | grad 2.86 | tok/s 22774
step    170 | loss 3.3098 | lr 2.35e-04 | grad 3.77 | tok/s 21533
step    180 | loss 3.2508 | lr 2.69e-04 | grad 3.16 | tok/s 22288
step    190 | loss 3.2361 | lr 2.91e-04 | grad 2.05 | tok/s 21391
step    200 | loss 2.8131 | lr 3.00e-04 | grad 1.73 | tok/s 22828
step    210 | loss 2.7365 | lr 2.94e-04 | grad 2.22 | tok/s 22162
step    220 | loss 2.9928 | lr 2.74e-04 | grad 2.95 | tok/s 21370
step    230 | loss 3.4699 | lr 2.42e-04 | grad 2.00 | tok/s 21488
step    240 | loss 2.7483 | lr 2.01e-04 | grad 1.46 | tok/s 21555
step    250 | loss 2.9800 | lr 1.55e-04 | grad 2.28 | tok/s 21517
step    260 | loss 2.6334 | lr 1.09e-04 | grad 1.26 | tok/s 22338
step    270 | loss 2.6910 | lr 6.65e-05 | grad 1.08 | tok/s 22251
step    280 | loss 2.4172 | lr 3.24e-05 | grad 1.02 | tok/s 21630
step    290 | loss 2.4495 | lr 9.84e-06 | grad 1.49 | tok/s 20606
step    300 | loss 2.5359 | lr 1.07e-06 | grad 1.33 | tok/s 21042
step    310 | loss 2.5292 | lr 6.94e-06 | grad 0.77 | tok/s 21525
step    320 | loss 2.3510 | lr 2.69e-05 | grad 1.24 | tok/s 20715
step    330 | loss 2.6110 | lr 5.89e-05 | grad 1.04 | tok/s 21615
step    340 | loss 2.6737 | lr 9.99e-05 | grad 3.22 | tok/s 22075
step    350 | loss 2.6996 | lr 1.46e-04 | grad 2.94 | tok/s 21595
step    360 | loss 2.7526 | lr 1.92e-04 | grad 2.39 | tok/s 22052
step    370 | loss 2.5013 | lr 2.35e-04 | grad 1.66 | tok/s 21836
step    380 | loss 2.5008 | lr 2.69e-04 | grad 1.59 | tok/s 22691
step    390 | loss 2.3130 | lr 2.91e-04 | grad 1.23 | tok/s 22962
step    400 | loss 2.2040 | lr 3.00e-04 | grad 1.20 | tok/s 22559
step    410 | loss 2.6964 | lr 2.94e-04 | grad 1.60 | tok/s 21893
step    420 | loss 2.5252 | lr 2.74e-04 | grad 1.96 | tok/s 22100
step    430 | loss 2.6776 | lr 2.42e-04 | grad 3.47 | tok/s 23230
step    440 | loss 2.4629 | lr 2.01e-04 | grad 1.48 | tok/s 22497
step    450 | loss 2.4709 | lr 1.55e-04 | grad 0.94 | tok/s 22169
step    460 | loss 2.2281 | lr 1.09e-04 | grad 2.20 | tok/s 21962
step    470 | loss 2.4034 | lr 6.65e-05 | grad 1.21 | tok/s 21968
step    480 | loss 2.4747 | lr 3.24e-05 | grad 1.20 | tok/s 23047
step    490 | loss 2.4294 | lr 9.84e-06 | grad 0.64 | tok/s 22254
step    500 | loss 2.3222 | lr 1.07e-06 | grad 0.97 | tok/s 21986
step    510 | loss 2.4908 | lr 6.94e-06 | grad 2.53 | tok/s 21703
step    520 | loss 2.2670 | lr 2.69e-05 | grad 0.81 | tok/s 20846
step    530 | loss 2.2170 | lr 5.89e-05 | grad 1.04 | tok/s 22213
step    540 | loss 2.3803 | lr 9.99e-05 | grad 1.09 | tok/s 22162
step    550 | loss 2.3538 | lr 1.46e-04 | grad 1.23 | tok/s 21674
step    560 | loss 2.0542 | lr 1.92e-04 | grad 1.78 | tok/s 22682
step    570 | loss 2.2545 | lr 2.35e-04 | grad 1.39 | tok/s 23334
step    580 | loss 2.1272 | lr 2.69e-04 | grad 1.12 | tok/s 23347
step    590 | loss 2.0183 | lr 2.91e-04 | grad 1.12 | tok/s 23382
step    600 | loss 2.1157 | lr 3.00e-04 | grad 1.42 | tok/s 23336
step    610 | loss 2.0367 | lr 2.94e-04 | grad 1.62 | tok/s 23351
step    620 | loss 1.9616 | lr 2.74e-04 | grad 1.04 | tok/s 23383
step    630 | loss 2.1056 | lr 2.42e-04 | grad 3.22 | tok/s 23052
step    640 | loss 2.2833 | lr 2.01e-04 | grad 2.67 | tok/s 21988
step    650 | loss 2.2780 | lr 1.55e-04 | grad 1.70 | tok/s 21876
step    660 | loss 2.1712 | lr 1.09e-04 | grad 1.33 | tok/s 22084
step    670 | loss 2.2131 | lr 6.65e-05 | grad 1.37 | tok/s 22831
step    680 | loss 2.2421 | lr 3.24e-05 | grad 1.05 | tok/s 22042
step    690 | loss 2.2299 | lr 9.84e-06 | grad 1.14 | tok/s 21898
step    700 | loss 2.2104 | lr 1.07e-06 | grad 0.79 | tok/s 21715
step    710 | loss 2.1479 | lr 6.94e-06 | grad 1.23 | tok/s 22311
step    720 | loss 2.2901 | lr 2.68e-05 | grad 1.92 | tok/s 21816
step    730 | loss 2.0962 | lr 5.89e-05 | grad 0.86 | tok/s 22835
