# Job 13: 68
# GPU: 3
# Command: python train.py --level 68 --dim 2048 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/1b_10min_20260120_013342/68
# Started: 2026-01-20T01:44:12.729492
============================================================

Using device: cuda
Output directory: benchmark_results/1b_10min_20260120_013342/68/level68_100m_20260120_014417
Auto r_h_mode: none (level 68 has bounded/no W_h)
Model: Level 68, 1,007,527,936 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.9368 | lr 2.70e-05 | grad 5.41 | tok/s 7791
step     20 | loss 3.7209 | lr 5.70e-05 | grad 2.20 | tok/s 13853
step     30 | loss 3.8439 | lr 8.70e-05 | grad 14.75 | tok/s 13766
step     40 | loss 3.9587 | lr 1.17e-04 | grad 11.19 | tok/s 14330
step     50 | loss 5.4458 | lr 1.47e-04 | grad 8.12 | tok/s 14860
step     60 | loss 4.1348 | lr 1.77e-04 | grad 3.88 | tok/s 14839
step     70 | loss 3.8720 | lr 2.07e-04 | grad 7.25 | tok/s 14767
step     80 | loss 4.0285 | lr 2.37e-04 | grad 5.88 | tok/s 14750
step     90 | loss 3.8724 | lr 2.67e-04 | grad 3.95 | tok/s 14755
step    100 | loss 3.6285 | lr 2.97e-04 | grad 3.25 | tok/s 14715
step    110 | loss 3.4828 | lr 6.94e-06 | grad 4.69 | tok/s 14823
step    120 | loss 4.2866 | lr 2.69e-05 | grad 4.84 | tok/s 14491
step    130 | loss 3.6498 | lr 5.89e-05 | grad 2.09 | tok/s 14199
step    140 | loss 3.2047 | lr 9.99e-05 | grad 3.17 | tok/s 14293
step    150 | loss 3.6404 | lr 1.46e-04 | grad 3.70 | tok/s 14680
step    160 | loss 3.2411 | lr 1.92e-04 | grad 3.28 | tok/s 14725
step    170 | loss 3.3577 | lr 2.35e-04 | grad 5.03 | tok/s 13983
step    180 | loss 3.3541 | lr 2.69e-04 | grad 4.09 | tok/s 14501
step    190 | loss 3.2995 | lr 2.91e-04 | grad 5.69 | tok/s 13888
step    200 | loss 2.9782 | lr 3.00e-04 | grad 3.77 | tok/s 14949
step    210 | loss 3.0106 | lr 2.94e-04 | grad 7.97 | tok/s 14455
step    220 | loss 3.0629 | lr 2.74e-04 | grad 4.59 | tok/s 13900
step    230 | loss 3.6026 | lr 2.42e-04 | grad 5.03 | tok/s 13941
step    240 | loss 2.9750 | lr 2.01e-04 | grad 3.42 | tok/s 14092
step    250 | loss 3.1390 | lr 1.55e-04 | grad 3.53 | tok/s 14092
step    260 | loss 2.8091 | lr 1.09e-04 | grad 1.73 | tok/s 14648
step    270 | loss 2.8155 | lr 6.65e-05 | grad 2.97 | tok/s 14603
step    280 | loss 2.5383 | lr 3.24e-05 | grad 1.53 | tok/s 14146
step    290 | loss 2.5371 | lr 9.84e-06 | grad 1.93 | tok/s 13553
step    300 | loss 2.6445 | lr 1.07e-06 | grad 2.08 | tok/s 13784
step    310 | loss 2.6322 | lr 6.94e-06 | grad 1.38 | tok/s 14084
step    320 | loss 2.4422 | lr 2.69e-05 | grad 2.14 | tok/s 13493
step    330 | loss 2.7096 | lr 5.89e-05 | grad 1.49 | tok/s 14134
step    340 | loss 2.7545 | lr 9.99e-05 | grad 5.12 | tok/s 14425
step    350 | loss 2.7491 | lr 1.46e-04 | grad 2.39 | tok/s 14130
step    360 | loss 2.7564 | lr 1.92e-04 | grad 2.64 | tok/s 14470
step    370 | loss 2.5270 | lr 2.35e-04 | grad 3.75 | tok/s 14215
step    380 | loss 2.5788 | lr 2.69e-04 | grad 2.94 | tok/s 14975
step    390 | loss 2.3950 | lr 2.91e-04 | grad 3.62 | tok/s 15140
step    400 | loss 2.2839 | lr 3.00e-04 | grad 3.61 | tok/s 14927
step    410 | loss 2.7820 | lr 2.94e-04 | grad 3.23 | tok/s 14458
step    420 | loss 2.5868 | lr 2.74e-04 | grad 4.00 | tok/s 14453
step    430 | loss 2.6774 | lr 2.42e-04 | grad 5.53 | tok/s 15202
step    440 | loss 2.6026 | lr 2.01e-04 | grad 2.89 | tok/s 14698
step    450 | loss 2.5509 | lr 1.55e-04 | grad 1.54 | tok/s 14447
step    460 | loss 2.2836 | lr 1.09e-04 | grad 2.45 | tok/s 14333
step    470 | loss 2.4407 | lr 6.65e-05 | grad 1.55 | tok/s 14323
step    480 | loss 2.5074 | lr 3.24e-05 | grad 1.95 | tok/s 15097
step    490 | loss 2.4491 | lr 9.84e-06 | grad 1.17 | tok/s 14542
step    500 | loss 2.3546 | lr 1.07e-06 | grad 1.61 | tok/s 14435
step    510 | loss 2.5160 | lr 6.94e-06 | grad 3.42 | tok/s 14186
step    520 | loss 2.2993 | lr 2.69e-05 | grad 0.87 | tok/s 13551
step    530 | loss 2.2446 | lr 5.89e-05 | grad 1.38 | tok/s 14450
step    540 | loss 2.4092 | lr 9.99e-05 | grad 2.75 | tok/s 14402
step    550 | loss 2.4016 | lr 1.46e-04 | grad 2.73 | tok/s 14030
step    560 | loss 2.1007 | lr 1.92e-04 | grad 2.41 | tok/s 14767
step    570 | loss 2.3232 | lr 2.35e-04 | grad 2.52 | tok/s 15257
step    580 | loss 2.1832 | lr 2.69e-04 | grad 2.25 | tok/s 15277
step    590 | loss 2.0607 | lr 2.91e-04 | grad 1.86 | tok/s 15285
step    600 | loss 2.1820 | lr 3.00e-04 | grad 4.00 | tok/s 15292
step    610 | loss 2.1038 | lr 2.94e-04 | grad 3.91 | tok/s 15271
step    620 | loss 2.0744 | lr 2.74e-04 | grad 3.73 | tok/s 15304
step    630 | loss 2.1744 | lr 2.42e-04 | grad 8.25 | tok/s 15053
step    640 | loss 2.3480 | lr 2.01e-04 | grad 5.84 | tok/s 14419
step    650 | loss 2.3898 | lr 1.55e-04 | grad 2.30 | tok/s 14310
step    660 | loss 2.2592 | lr 1.09e-04 | grad 2.33 | tok/s 14462
step    670 | loss 2.2628 | lr 6.65e-05 | grad 1.68 | tok/s 14963
step    680 | loss 2.3113 | lr 3.24e-05 | grad 1.79 | tok/s 14444
step    690 | loss 2.2718 | lr 9.84e-06 | grad 1.84 | tok/s 14329
step    700 | loss 2.2776 | lr 1.07e-06 | grad 1.23 | tok/s 14193
step    710 | loss 2.1770 | lr 6.94e-06 | grad 1.59 | tok/s 14584
step    720 | loss 2.3405 | lr 2.68e-05 | grad 2.38 | tok/s 14296
step    730 | loss 2.1192 | lr 5.89e-05 | grad 1.49 | tok/s 14947
step    740 | loss 2.1940 | lr 9.99e-05 | grad 1.51 | tok/s 14480
step    750 | loss 2.7141 | lr 1.46e-04 | grad 4.38 | tok/s 15118
step    760 | loss 2.5839 | lr 1.92e-04 | grad 2.55 | tok/s 15084
step    770 | loss 2.2764 | lr 2.35e-04 | grad 3.75 | tok/s 14748
step    780 | loss 2.2350 | lr 2.69e-04 | grad 2.78 | tok/s 14300
step    790 | loss 2.2449 | lr 2.91e-04 | grad 2.52 | tok/s 14725
step    800 | loss 2.6066 | lr 3.00e-04 | grad 5.25 | tok/s 15148
step    810 | loss 2.3972 | lr 2.94e-04 | grad 2.41 | tok/s 14653
step    820 | loss 1.9561 | lr 2.74e-04 | grad 3.19 | tok/s 14259
step    830 | loss 2.2902 | lr 2.42e-04 | grad 2.73 | tok/s 14500
step    840 | loss 2.2489 | lr 2.01e-04 | grad 2.88 | tok/s 14171
step    850 | loss 2.3997 | lr 1.55e-04 | grad 1.45 | tok/s 14218
step    860 | loss 2.3382 | lr 1.09e-04 | grad 3.00 | tok/s 14356
step    870 | loss 2.2892 | lr 6.65e-05 | grad 3.59 | tok/s 14508
step    880 | loss 2.7988 | lr 3.24e-05 | grad 2.19 | tok/s 15242
step    890 | loss 2.1636 | lr 9.84e-06 | grad 1.24 | tok/s 14443
step    900 | loss 2.0602 | lr 1.07e-06 | grad 0.94 | tok/s 14402
step    910 | loss 2.0806 | lr 6.94e-06 | grad 1.03 | tok/s 14600
step    920 | loss 2.2084 | lr 2.68e-05 | grad 0.73 | tok/s 14371
step    930 | loss 2.1589 | lr 5.89e-05 | grad 1.34 | tok/s 14425
