# Job 15: E75h8n24
# GPU: 4
# Command: python train.py --level E75h8n24 --dim 4480 --expansion 2.0 --n_state 24 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/1b_10min_20260120_013342/E75h8n24
# Started: 2026-01-20T01:44:14.772504
============================================================

Using device: cuda
Output directory: benchmark_results/1b_10min_20260120_013342/E75h8n24/levelE75h8n24_100m_20260120_014420
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h8n24, 958,889,600 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.8363 | lr 2.70e-05 | grad 179.00 | tok/s 7326
step     20 | loss 3.8140 | lr 5.70e-05 | grad 28.00 | tok/s 12671
step     30 | loss 3.8492 | lr 8.70e-05 | grad 14.69 | tok/s 12567
step     40 | loss 3.4720 | lr 1.17e-04 | grad 28.62 | tok/s 12968
step     50 | loss 4.6993 | lr 1.47e-04 | grad 23.62 | tok/s 13457
step     60 | loss 3.8595 | lr 1.77e-04 | grad 9.62 | tok/s 13400
step     70 | loss 3.5419 | lr 2.07e-04 | grad 8.94 | tok/s 13333
step     80 | loss 3.5101 | lr 2.37e-04 | grad 9.06 | tok/s 13326
step     90 | loss 3.0650 | lr 2.67e-04 | grad 6.06 | tok/s 13280
step    100 | loss 2.9878 | lr 2.97e-04 | grad 7.19 | tok/s 13249
step    110 | loss 2.7720 | lr 6.94e-06 | grad 12.69 | tok/s 13175
step    120 | loss 4.2158 | lr 2.69e-05 | grad 9.88 | tok/s 12839
step    130 | loss 3.1425 | lr 5.89e-05 | grad 4.09 | tok/s 12553
step    140 | loss 2.7092 | lr 9.99e-05 | grad 7.06 | tok/s 12631
step    150 | loss 3.0040 | lr 1.46e-04 | grad 20.38 | tok/s 13067
step    160 | loss 2.7409 | lr 1.92e-04 | grad 5.25 | tok/s 13109
step    170 | loss 2.9460 | lr 2.35e-04 | grad 9.75 | tok/s 12407
step    180 | loss 2.9131 | lr 2.69e-04 | grad 7.12 | tok/s 12856
step    190 | loss 2.8702 | lr 2.91e-04 | grad 6.03 | tok/s 12326
step    200 | loss 2.3797 | lr 3.00e-04 | grad 4.09 | tok/s 13133
step    210 | loss 2.3811 | lr 2.94e-04 | grad 6.59 | tok/s 12763
step    220 | loss 2.7170 | lr 2.74e-04 | grad 7.09 | tok/s 12332
step    230 | loss 3.5737 | lr 2.42e-04 | grad 6.03 | tok/s 12354
step    240 | loss 2.6488 | lr 2.01e-04 | grad 4.62 | tok/s 12394
step    250 | loss 2.8110 | lr 1.55e-04 | grad 4.09 | tok/s 12460
step    260 | loss 2.3869 | lr 1.09e-04 | grad 2.91 | tok/s 12850
step    270 | loss 2.4677 | lr 6.65e-05 | grad 3.64 | tok/s 12873
step    280 | loss 2.1272 | lr 3.24e-05 | grad 2.59 | tok/s 12475
step    290 | loss 2.1891 | lr 9.84e-06 | grad 3.64 | tok/s 12020
step    300 | loss 2.2688 | lr 1.07e-06 | grad 3.31 | tok/s 12211
step    310 | loss 2.2404 | lr 6.94e-06 | grad 1.92 | tok/s 12453
step    320 | loss 2.0501 | lr 2.69e-05 | grad 3.30 | tok/s 11940
