# Job 3: mamba2
# GPU: 3
# Command: python train.py --level mamba2 --dim 2944 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75_highhead/mamba2
# Started: 2026-01-20T02:57:05.847678
============================================================

Using device: cuda
Output directory: benchmark_results/e75_highhead/mamba2/levelmamba2_100m_20260120_025711
Model: Level mamba2, 1,062,161,552 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 4.9856 | lr 2.70e-05 | grad 13.50 | tok/s 3642
step     20 | loss 2.8034 | lr 5.70e-05 | grad 7.69 | tok/s 9921
step     30 | loss 2.7978 | lr 8.70e-05 | grad 11.12 | tok/s 9786
step     40 | loss 2.9042 | lr 1.17e-04 | grad 15.94 | tok/s 10046
step     50 | loss 4.4205 | lr 1.47e-04 | grad 9.31 | tok/s 10377
step     60 | loss 3.8727 | lr 1.77e-04 | grad 11.06 | tok/s 10310
step     70 | loss 3.1993 | lr 2.07e-04 | grad 13.00 | tok/s 10250
step     80 | loss 3.0113 | lr 2.37e-04 | grad 10.00 | tok/s 10215
step     90 | loss 2.6750 | lr 2.67e-04 | grad 8.19 | tok/s 10184
step    100 | loss 2.4801 | lr 2.97e-04 | grad 5.25 | tok/s 10145
step    110 | loss 2.3883 | lr 6.94e-06 | grad 11.12 | tok/s 10087
step    120 | loss 3.6620 | lr 2.69e-05 | grad 3.34 | tok/s 9769
step    130 | loss 2.4287 | lr 5.89e-05 | grad 2.67 | tok/s 9558
step    140 | loss 2.1110 | lr 9.99e-05 | grad 4.53 | tok/s 9566
step    150 | loss 2.1656 | lr 1.46e-04 | grad 3.70 | tok/s 9895
step    160 | loss 2.0882 | lr 1.92e-04 | grad 8.44 | tok/s 9950
step    170 | loss 2.4121 | lr 2.35e-04 | grad 5.34 | tok/s 9383
step    180 | loss 2.1311 | lr 2.69e-04 | grad 4.22 | tok/s 9724
step    190 | loss 2.0542 | lr 2.91e-04 | grad 4.00 | tok/s 9309
step    200 | loss 1.7876 | lr 3.00e-04 | grad 2.72 | tok/s 9943
step    210 | loss 1.6613 | lr 2.94e-04 | grad 2.56 | tok/s 9656
step    220 | loss 2.3089 | lr 2.74e-04 | grad 5.31 | tok/s 9315
step    230 | loss 2.7281 | lr 2.42e-04 | grad 2.27 | tok/s 9317
step    240 | loss 2.0751 | lr 2.01e-04 | grad 2.61 | tok/s 9359
step    250 | loss 2.2253 | lr 1.55e-04 | grad 3.92 | tok/s 9381
step    260 | loss 1.8744 | lr 1.09e-04 | grad 1.73 | tok/s 9674
step    270 | loss 1.9930 | lr 6.65e-05 | grad 2.48 | tok/s 9701
step    280 | loss 1.7198 | lr 3.24e-05 | grad 1.88 | tok/s 9402
step    290 | loss 1.6696 | lr 9.84e-06 | grad 2.52 | tok/s 9039
step    300 | loss 1.7795 | lr 1.07e-06 | grad 2.31 | tok/s 9178
step    310 | loss 1.8156 | lr 6.94e-06 | grad 1.32 | tok/s 9379
step    320 | loss 1.6456 | lr 2.69e-05 | grad 2.27 | tok/s 8996
step    330 | loss 1.8510 | lr 5.89e-05 | grad 1.70 | tok/s 9419
step    340 | loss 1.9021 | lr 9.99e-05 | grad 6.62 | tok/s 9590
step    350 | loss 1.9170 | lr 1.46e-04 | grad 3.53 | tok/s 9394
step    360 | loss 1.7879 | lr 1.92e-04 | grad 1.99 | tok/s 9645
step    370 | loss 1.5890 | lr 2.35e-04 | grad 1.52 | tok/s 9454
step    380 | loss 1.5902 | lr 2.69e-04 | grad 1.84 | tok/s 9885
step    390 | loss 1.2056 | lr 2.91e-04 | grad 1.91 | tok/s 9959
step    400 | loss 1.1423 | lr 3.00e-04 | grad 2.88 | tok/s 9818
step    410 | loss 2.1888 | lr 2.94e-04 | grad 2.67 | tok/s 9473
step    420 | loss 2.0160 | lr 2.74e-04 | grad 3.55 | tok/s 9456
step    430 | loss 1.8590 | lr 2.42e-04 | grad 4.06 | tok/s 9945
step    440 | loss 1.7833 | lr 2.01e-04 | grad 2.67 | tok/s 9634
step    450 | loss 1.8980 | lr 1.55e-04 | grad 1.93 | tok/s 9506
