# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 2944 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_test/mamba2
# Started: 2026-01-20T03:30:59.397742
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_test/mamba2/levelmamba2_100m_20260120_033106
Model: Level mamba2, 1,062,161,552 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 4.9856 | lr 2.70e-05 | grad 13.50 | tok/s 3668
step     20 | loss 2.8035 | lr 5.70e-05 | grad 7.69 | tok/s 9924
step     30 | loss 2.7979 | lr 8.70e-05 | grad 11.12 | tok/s 9751
step     40 | loss 2.9042 | lr 1.17e-04 | grad 15.94 | tok/s 9958
step     50 | loss 4.4212 | lr 1.47e-04 | grad 9.31 | tok/s 10218
step     60 | loss 3.8627 | lr 1.77e-04 | grad 11.00 | tok/s 10093
step     70 | loss 3.2082 | lr 2.07e-04 | grad 12.75 | tok/s 9962
step     80 | loss 3.0500 | lr 2.37e-04 | grad 11.81 | tok/s 9877
step     90 | loss 2.7330 | lr 2.67e-04 | grad 6.97 | tok/s 9784
step    100 | loss 2.6679 | lr 2.97e-04 | grad 7.03 | tok/s 9717
step    110 | loss 2.2687 | lr 6.94e-06 | grad 20.50 | tok/s 9629
step    120 | loss 3.5266 | lr 2.69e-05 | grad 4.53 | tok/s 9308
step    130 | loss 2.4204 | lr 5.89e-05 | grad 3.14 | tok/s 9081
step    140 | loss 2.1101 | lr 9.99e-05 | grad 4.44 | tok/s 9100
step    150 | loss 2.1985 | lr 1.46e-04 | grad 3.30 | tok/s 9383
step    160 | loss 2.0463 | lr 1.92e-04 | grad 4.06 | tok/s 9412
step    170 | loss 2.4162 | lr 2.35e-04 | grad 6.81 | tok/s 8877
step    180 | loss 2.1475 | lr 2.69e-04 | grad 4.22 | tok/s 9170
step    190 | loss 2.0518 | lr 2.91e-04 | grad 4.03 | tok/s 8793
step    200 | loss 1.8110 | lr 3.00e-04 | grad 3.50 | tok/s 9394
step    210 | loss 1.6951 | lr 2.94e-04 | grad 3.22 | tok/s 9106
step    220 | loss 2.3077 | lr 2.74e-04 | grad 5.25 | tok/s 8791
step    230 | loss 2.7565 | lr 2.42e-04 | grad 2.38 | tok/s 8798
step    240 | loss 2.0814 | lr 2.01e-04 | grad 2.84 | tok/s 8841
step    250 | loss 2.2543 | lr 1.55e-04 | grad 3.97 | tok/s 8873
step    260 | loss 1.8627 | lr 1.09e-04 | grad 1.97 | tok/s 9155
step    270 | loss 2.0091 | lr 6.65e-05 | grad 2.31 | tok/s 9157
step    280 | loss 1.7271 | lr 3.24e-05 | grad 1.94 | tok/s 8887
step    290 | loss 1.6816 | lr 9.84e-06 | grad 2.45 | tok/s 8559
