# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 2560 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_test/fla-gdn
# Started: 2026-01-20T03:30:59.397596
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_test/fla-gdn/levelfla-gdn_100m_20260120_033105
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 1,052,158,240 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.8376 | lr 2.70e-05 | grad 155.00 | tok/s 7196
step     20 | loss 5.1594 | lr 5.70e-05 | grad 81.50 | tok/s 11793
step     30 | loss 4.4283 | lr 8.70e-05 | grad 55.00 | tok/s 11643
step     40 | loss 3.9449 | lr 1.17e-04 | grad 60.75 | tok/s 11959
step     50 | loss 5.3013 | lr 1.47e-04 | grad 40.00 | tok/s 12281
step     60 | loss 3.9558 | lr 1.77e-04 | grad 30.25 | tok/s 12159
step     70 | loss 3.4807 | lr 2.07e-04 | grad 14.81 | tok/s 12040
step     80 | loss 3.5140 | lr 2.37e-04 | grad 12.62 | tok/s 11936
step     90 | loss 3.1393 | lr 2.67e-04 | grad 9.12 | tok/s 11853
step    100 | loss 3.2399 | lr 2.97e-04 | grad 8.25 | tok/s 11769
step    110 | loss 3.0587 | lr 6.94e-06 | grad 9.75 | tok/s 11794
step    120 | loss 3.6500 | lr 2.69e-05 | grad 6.06 | tok/s 11405
step    130 | loss 2.7359 | lr 5.89e-05 | grad 4.41 | tok/s 11123
step    140 | loss 2.4311 | lr 9.99e-05 | grad 5.28 | tok/s 11168
step    150 | loss 2.3555 | lr 1.46e-04 | grad 36.75 | tok/s 11529
step    160 | loss 2.2992 | lr 1.92e-04 | grad 8.56 | tok/s 11590
step    170 | loss 2.5170 | lr 2.35e-04 | grad 11.44 | tok/s 10967
step    180 | loss 2.1884 | lr 2.69e-04 | grad 4.88 | tok/s 11354
step    190 | loss 2.0826 | lr 2.91e-04 | grad 5.72 | tok/s 10890
step    200 | loss 1.8308 | lr 3.00e-04 | grad 3.45 | tok/s 11618
step    210 | loss 1.6803 | lr 2.94e-04 | grad 3.75 | tok/s 11270
step    220 | loss 2.3066 | lr 2.74e-04 | grad 8.19 | tok/s 10892
step    230 | loss 2.4981 | lr 2.42e-04 | grad 3.06 | tok/s 10900
step    240 | loss 2.0763 | lr 2.01e-04 | grad 5.00 | tok/s 10965
step    250 | loss 2.2326 | lr 1.55e-04 | grad 3.08 | tok/s 11002
step    260 | loss 1.8307 | lr 1.09e-04 | grad 2.80 | tok/s 11360
step    270 | loss 1.9938 | lr 6.65e-05 | grad 3.39 | tok/s 11377
step    280 | loss 1.7287 | lr 3.24e-05 | grad 3.39 | tok/s 11055
step    290 | loss 1.6877 | lr 9.84e-06 | grad 3.38 | tok/s 10635
step    300 | loss 1.7847 | lr 1.07e-06 | grad 3.52 | tok/s 10814
