# Job 2: E75h8n32
# GPU: 2
# Command: python train.py --level E75h8n32 --dim 4352 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_test/E75h8n32
# Started: 2026-01-20T03:30:59.398005
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_test/E75h8n32/levelE75h8n32_100m_20260120_033106
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h8n32, 959,346,944 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.9433 | lr 2.70e-05 | grad 202.00 | tok/s 7591
step     20 | loss 3.8855 | lr 5.70e-05 | grad 23.88 | tok/s 12793
step     30 | loss 3.8321 | lr 8.70e-05 | grad 19.62 | tok/s 12664
step     40 | loss 3.4779 | lr 1.17e-04 | grad 25.75 | tok/s 13024
step     50 | loss 4.8149 | lr 1.47e-04 | grad 17.38 | tok/s 13388
step     60 | loss 3.9470 | lr 1.77e-04 | grad 9.69 | tok/s 13302
step     70 | loss 3.7035 | lr 2.07e-04 | grad 16.88 | tok/s 13167
step     80 | loss 3.7748 | lr 2.37e-04 | grad 9.06 | tok/s 13041
step     90 | loss 3.3392 | lr 2.67e-04 | grad 7.53 | tok/s 12934
step    100 | loss 3.1701 | lr 2.97e-04 | grad 7.91 | tok/s 12861
step    110 | loss 3.2250 | lr 6.94e-06 | grad 9.81 | tok/s 12759
step    120 | loss 4.3784 | lr 2.69e-05 | grad 9.62 | tok/s 12410
step    130 | loss 3.3709 | lr 5.89e-05 | grad 3.28 | tok/s 12129
step    140 | loss 2.7442 | lr 9.99e-05 | grad 4.44 | tok/s 12145
step    150 | loss 3.0632 | lr 1.46e-04 | grad 6.41 | tok/s 12526
step    160 | loss 2.9871 | lr 1.92e-04 | grad 5.69 | tok/s 12531
