# Job 6: E75pch4n32
# GPU: 6
# Command: python train.py --level E75pch4n32 --dim 4352 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_test/E75pch4n32
# Started: 2026-01-20T03:30:59.398602
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_test/E75pch4n32/levelE75pch4n32_100m_20260120_033105
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75pch4n32, 56,952,064 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 6.5202 | lr 2.70e-05 | grad 1040.00 | tok/s 11869
step     20 | loss 5.8210 | lr 5.70e-05 | grad 37.00 | tok/s 39148
step     30 | loss 4.6108 | lr 8.70e-05 | grad 19.50 | tok/s 39145
step     40 | loss 4.0091 | lr 1.17e-04 | grad 24.25 | tok/s 40655
step     50 | loss 5.4860 | lr 1.47e-04 | grad 14.12 | tok/s 42197
step     60 | loss 4.2693 | lr 1.77e-04 | grad 11.94 | tok/s 42242
step     70 | loss 3.9832 | lr 2.07e-04 | grad 12.56 | tok/s 42190
step     80 | loss 3.7601 | lr 2.37e-04 | grad 8.69 | tok/s 42143
step     90 | loss 3.5204 | lr 2.67e-04 | grad 6.56 | tok/s 42245
step    100 | loss 3.4956 | lr 2.97e-04 | grad 9.44 | tok/s 42238
step    110 | loss 3.2705 | lr 6.94e-06 | grad 8.38 | tok/s 36491
step    120 | loss 4.2908 | lr 2.69e-05 | grad 14.12 | tok/s 36187
step    130 | loss 3.6096 | lr 5.89e-05 | grad 3.61 | tok/s 35488
step    140 | loss 3.3504 | lr 9.99e-05 | grad 3.89 | tok/s 35589
step    150 | loss 3.7284 | lr 1.46e-04 | grad 7.25 | tok/s 36722
step    160 | loss 3.5416 | lr 1.92e-04 | grad 9.50 | tok/s 36966
step    170 | loss 3.4574 | lr 2.35e-04 | grad 10.56 | tok/s 34905
step    180 | loss 3.4408 | lr 2.69e-04 | grad 7.81 | tok/s 35807
step    190 | loss 3.5510 | lr 2.91e-04 | grad 9.81 | tok/s 34310
step    200 | loss 2.9885 | lr 3.00e-04 | grad 7.00 | tok/s 36770
step    210 | loss 2.8903 | lr 2.94e-04 | grad 7.59 | tok/s 35640
step    220 | loss 3.0568 | lr 2.74e-04 | grad 7.12 | tok/s 34405
step    230 | loss 3.6514 | lr 2.42e-04 | grad 7.44 | tok/s 34423
step    240 | loss 2.8253 | lr 2.01e-04 | grad 5.41 | tok/s 34557
step    250 | loss 2.9919 | lr 1.55e-04 | grad 5.84 | tok/s 34680
step    260 | loss 2.6170 | lr 1.09e-04 | grad 3.22 | tok/s 35850
step    270 | loss 2.7207 | lr 6.65e-05 | grad 3.55 | tok/s 35883
step    280 | loss 2.3795 | lr 3.24e-05 | grad 2.64 | tok/s 34803
step    290 | loss 2.4083 | lr 9.84e-06 | grad 4.16 | tok/s 33358
step    300 | loss 2.4992 | lr 1.07e-06 | grad 3.45 | tok/s 33801
step    310 | loss 2.5223 | lr 6.94e-06 | grad 1.84 | tok/s 34640
step    320 | loss 2.2848 | lr 2.69e-05 | grad 3.41 | tok/s 33204
step    330 | loss 2.5819 | lr 5.89e-05 | grad 2.20 | tok/s 34808
step    340 | loss 2.6615 | lr 9.99e-05 | grad 44.75 | tok/s 35488
step    350 | loss 2.6820 | lr 1.46e-04 | grad 5.94 | tok/s 34844
step    360 | loss 2.6966 | lr 1.92e-04 | grad 6.06 | tok/s 35754
