# Job 2: mamba2
# GPU: 2
# Command: python train.py --level mamba2 --dim 2944 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75_128head/mamba2
# Started: 2026-01-20T03:52:21.126319
============================================================

Using device: cuda
Output directory: benchmark_results/e75_128head/mamba2/levelmamba2_100m_20260120_035227
Model: Level mamba2, 1,062,161,552 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 4.9856 | lr 2.70e-05 | grad 13.50 | tok/s 3688
step     20 | loss 2.8033 | lr 5.70e-05 | grad 7.69 | tok/s 10071
step     30 | loss 2.7975 | lr 8.70e-05 | grad 11.12 | tok/s 9903
step     40 | loss 2.9046 | lr 1.17e-04 | grad 15.94 | tok/s 10145
step     50 | loss 4.4214 | lr 1.47e-04 | grad 9.31 | tok/s 10403
step     60 | loss 3.8631 | lr 1.77e-04 | grad 10.88 | tok/s 10287
step     70 | loss 3.1897 | lr 2.07e-04 | grad 12.88 | tok/s 10181
step     80 | loss 3.0411 | lr 2.37e-04 | grad 11.06 | tok/s 10089
step     90 | loss 2.6939 | lr 2.67e-04 | grad 6.84 | tok/s 10010
step    100 | loss 2.5578 | lr 2.97e-04 | grad 7.03 | tok/s 9943
step    110 | loss 2.4019 | lr 6.94e-06 | grad 10.31 | tok/s 9864
step    120 | loss 3.6864 | lr 2.69e-05 | grad 3.55 | tok/s 9539
step    130 | loss 2.4396 | lr 5.89e-05 | grad 2.73 | tok/s 9296
step    140 | loss 2.1088 | lr 9.99e-05 | grad 4.38 | tok/s 9317
step    150 | loss 2.2074 | lr 1.46e-04 | grad 3.83 | tok/s 9603
step    160 | loss 2.0468 | lr 1.92e-04 | grad 6.44 | tok/s 9646
step    170 | loss 2.4176 | lr 2.35e-04 | grad 5.97 | tok/s 9113
step    180 | loss 2.1182 | lr 2.69e-04 | grad 4.09 | tok/s 9420
step    190 | loss 2.1042 | lr 2.91e-04 | grad 4.28 | tok/s 9026
step    200 | loss 1.8035 | lr 3.00e-04 | grad 3.47 | tok/s 9635
step    210 | loss 1.7297 | lr 2.94e-04 | grad 3.27 | tok/s 9346
step    220 | loss 2.3536 | lr 2.74e-04 | grad 4.91 | tok/s 9008
