# Job 3: fla-gdn
# GPU: 3
# Command: python train.py --level fla-gdn --dim 2560 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 16 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75_128head/fla-gdn
# Started: 2026-01-20T03:52:21.126579
============================================================

Using device: cuda
Output directory: benchmark_results/e75_128head/fla-gdn/levelfla-gdn_100m_20260120_035227
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 1,052,158,240 parameters

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 10.0 minutes
step     10 | loss 5.8350 | lr 2.70e-05 | grad 158.00 | tok/s 7076
step     20 | loss 5.1567 | lr 5.70e-05 | grad 75.00 | tok/s 11680
step     30 | loss 4.4158 | lr 8.70e-05 | grad 54.75 | tok/s 11507
step     40 | loss 3.9563 | lr 1.17e-04 | grad 60.00 | tok/s 11796
step     50 | loss 5.2987 | lr 1.47e-04 | grad 41.50 | tok/s 12100
step     60 | loss 3.9533 | lr 1.77e-04 | grad 30.62 | tok/s 11980
step     70 | loss 3.4743 | lr 2.07e-04 | grad 12.75 | tok/s 11851
step     80 | loss 3.7117 | lr 2.37e-04 | grad 9.69 | tok/s 11730
step     90 | loss 3.3638 | lr 2.67e-04 | grad 10.00 | tok/s 11640
step    100 | loss 3.6888 | lr 2.97e-04 | grad 7.22 | tok/s 11554
step    110 | loss 2.5542 | lr 6.94e-06 | grad 7.34 | tok/s 11565
step    120 | loss 3.6689 | lr 2.69e-05 | grad 4.69 | tok/s 11172
step    130 | loss 2.6783 | lr 5.89e-05 | grad 4.03 | tok/s 10898
step    140 | loss 2.3654 | lr 9.99e-05 | grad 5.19 | tok/s 10940
step    150 | loss 2.2947 | lr 1.46e-04 | grad 3.69 | tok/s 11295
step    160 | loss 2.2506 | lr 1.92e-04 | grad 6.97 | tok/s 11342
