# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_100m/mamba2
# Started: 2026-01-20T12:47:06.122568
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_100m/mamba2/levelmamba2_100m_20260120_124712
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9737
step     20 | loss 4.3085 | lr 5.70e-05 | grad 6.47 | tok/s 66469
step     30 | loss 4.5681 | lr 8.70e-05 | grad 3.27 | tok/s 70009
step     40 | loss 3.1654 | lr 1.17e-04 | grad 1.87 | tok/s 69767
step     50 | loss 2.3871 | lr 1.47e-04 | grad 1.48 | tok/s 69479
step     60 | loss 2.7603 | lr 1.77e-04 | grad 3.28 | tok/s 67744
step     70 | loss 2.4721 | lr 2.07e-04 | grad 1.88 | tok/s 65219
step     80 | loss 2.8041 | lr 2.37e-04 | grad 3.19 | tok/s 67487
step     90 | loss 2.7419 | lr 2.67e-04 | grad 4.06 | tok/s 64898
step    100 | loss 2.2441 | lr 2.97e-04 | grad 1.20 | tok/s 65157
step    110 | loss 2.2792 | lr 6.94e-06 | grad 1.96 | tok/s 62695
step    120 | loss 2.4867 | lr 2.69e-05 | grad 1.52 | tok/s 62165
step    130 | loss 2.3557 | lr 5.89e-05 | grad 1.16 | tok/s 63359
step    140 | loss 2.0977 | lr 9.99e-05 | grad 1.00 | tok/s 62921
step    150 | loss 1.9592 | lr 1.46e-04 | grad 1.89 | tok/s 59864
step    160 | loss 1.8688 | lr 1.92e-04 | grad 1.62 | tok/s 60343
step    170 | loss 2.0565 | lr 2.35e-04 | grad 3.31 | tok/s 62027
step    180 | loss 2.0393 | lr 2.69e-04 | grad 1.27 | tok/s 62166
step    190 | loss 1.7566 | lr 2.91e-04 | grad 1.26 | tok/s 62992
step    200 | loss 1.3551 | lr 3.00e-04 | grad 1.05 | tok/s 64058
step    210 | loss 2.1279 | lr 2.94e-04 | grad 1.73 | tok/s 61275
step    220 | loss 1.9218 | lr 2.74e-04 | grad 1.30 | tok/s 62891
step    230 | loss 1.8170 | lr 2.42e-04 | grad 1.48 | tok/s 60531
step    240 | loss 1.7886 | lr 2.01e-04 | grad 1.52 | tok/s 61579
step    250 | loss 1.7929 | lr 1.55e-04 | grad 1.31 | tok/s 60562
step    260 | loss 1.8793 | lr 1.09e-04 | grad 0.85 | tok/s 58066
step    270 | loss 1.7247 | lr 6.65e-05 | grad 0.95 | tok/s 60080
step    280 | loss 1.6077 | lr 3.24e-05 | grad 1.73 | tok/s 59864
step    290 | loss 1.6134 | lr 9.84e-06 | grad 0.76 | tok/s 62982
step    300 | loss 1.5959 | lr 1.07e-06 | grad 0.86 | tok/s 62755
step    310 | loss 1.5796 | lr 6.94e-06 | grad 0.68 | tok/s 62641
step    320 | loss 1.6799 | lr 2.69e-05 | grad 1.67 | tok/s 60287
step    330 | loss 1.7103 | lr 5.89e-05 | grad 0.79 | tok/s 58763
step    340 | loss 1.7103 | lr 9.99e-05 | grad 2.16 | tok/s 59866
step    350 | loss 1.7263 | lr 1.46e-04 | grad 0.92 | tok/s 58133
step    360 | loss 1.6731 | lr 1.92e-04 | grad 2.33 | tok/s 58772
step    370 | loss 1.5124 | lr 2.35e-04 | grad 1.01 | tok/s 59627
step    380 | loss 1.9875 | lr 2.69e-04 | grad 1.06 | tok/s 61064
step    390 | loss 1.7111 | lr 2.91e-04 | grad 1.46 | tok/s 58887
step    400 | loss 1.8061 | lr 3.00e-04 | grad 2.44 | tok/s 60181
step    410 | loss 1.5786 | lr 2.94e-04 | grad 2.33 | tok/s 58528
step    420 | loss 1.7142 | lr 2.74e-04 | grad 1.22 | tok/s 57921
step    430 | loss 1.8054 | lr 2.42e-04 | grad 1.22 | tok/s 57751
step    440 | loss 1.8229 | lr 2.01e-04 | grad 0.89 | tok/s 59962
step    450 | loss 1.6821 | lr 1.55e-04 | grad 0.77 | tok/s 58327
step    460 | loss 1.6681 | lr 1.09e-04 | grad 0.68 | tok/s 58352
step    470 | loss 1.6152 | lr 6.65e-05 | grad 1.02 | tok/s 59109
step    480 | loss 1.5187 | lr 3.24e-05 | grad 0.61 | tok/s 56853
step    490 | loss 1.5151 | lr 9.84e-06 | grad 0.64 | tok/s 58002
step    500 | loss 2.4401 | lr 1.07e-06 | grad 0.98 | tok/s 59773
step    510 | loss 1.5578 | lr 6.94e-06 | grad 0.70 | tok/s 58207
step    520 | loss 1.6072 | lr 2.69e-05 | grad 0.62 | tok/s 60080
step    530 | loss 2.0970 | lr 5.89e-05 | grad 0.67 | tok/s 58892
step    540 | loss 1.4950 | lr 9.99e-05 | grad 1.07 | tok/s 58852
step    550 | loss 1.4276 | lr 1.46e-04 | grad 0.59 | tok/s 60401
