# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 768 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_100m/fla-gdn
# Started: 2026-01-20T12:47:06.123339
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_100m/fla-gdn/levelfla-gdn_100m_20260120_124712
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 95,020,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6134 | lr 2.70e-05 | grad 53.75 | tok/s 25206
step     20 | loss 5.5753 | lr 5.70e-05 | grad 18.00 | tok/s 87646
step     30 | loss 5.6181 | lr 8.70e-05 | grad 18.00 | tok/s 92679
step     40 | loss 5.3827 | lr 1.17e-04 | grad 18.38 | tok/s 92402
step     50 | loss 4.7330 | lr 1.47e-04 | grad 9.25 | tok/s 92363
step     60 | loss 4.2193 | lr 1.77e-04 | grad 40.50 | tok/s 89915
step     70 | loss 3.4019 | lr 2.07e-04 | grad 1.95 | tok/s 86870
step     80 | loss 3.5119 | lr 2.37e-04 | grad 3.28 | tok/s 90102
step     90 | loss 3.3166 | lr 2.67e-04 | grad 4.09 | tok/s 86863
step    100 | loss 2.8738 | lr 2.97e-04 | grad 1.69 | tok/s 87769
step    110 | loss 2.7597 | lr 6.94e-06 | grad 2.50 | tok/s 76194
step    120 | loss 3.1568 | lr 2.69e-05 | grad 3.48 | tok/s 76138
step    130 | loss 2.8979 | lr 5.89e-05 | grad 1.77 | tok/s 77492
step    140 | loss 2.6201 | lr 9.99e-05 | grad 1.23 | tok/s 77497
step    150 | loss 2.4501 | lr 1.46e-04 | grad 3.47 | tok/s 74212
step    160 | loss 2.2720 | lr 1.92e-04 | grad 1.73 | tok/s 74216
step    170 | loss 2.4057 | lr 2.35e-04 | grad 7.22 | tok/s 77214
step    180 | loss 2.3884 | lr 2.69e-04 | grad 1.45 | tok/s 76957
step    190 | loss 2.0485 | lr 2.91e-04 | grad 1.51 | tok/s 78538
step    200 | loss 1.5517 | lr 3.00e-04 | grad 1.21 | tok/s 79810
step    210 | loss 2.2749 | lr 2.94e-04 | grad 1.84 | tok/s 76601
step    220 | loss 2.0868 | lr 2.74e-04 | grad 1.12 | tok/s 78993
step    230 | loss 1.9569 | lr 2.42e-04 | grad 1.77 | tok/s 75991
step    240 | loss 1.9278 | lr 2.01e-04 | grad 1.72 | tok/s 77147
step    250 | loss 1.9156 | lr 1.55e-04 | grad 1.25 | tok/s 76447
step    260 | loss 1.9719 | lr 1.09e-04 | grad 0.77 | tok/s 73470
step    270 | loss 1.8147 | lr 6.65e-05 | grad 1.07 | tok/s 76063
step    280 | loss 1.7160 | lr 3.24e-05 | grad 1.71 | tok/s 75746
step    290 | loss 1.7127 | lr 9.84e-06 | grad 0.87 | tok/s 79799
step    300 | loss 1.6838 | lr 1.07e-06 | grad 0.91 | tok/s 79725
step    310 | loss 1.6741 | lr 6.94e-06 | grad 0.76 | tok/s 79584
step    320 | loss 1.7990 | lr 2.69e-05 | grad 1.84 | tok/s 76303
step    330 | loss 1.8247 | lr 5.89e-05 | grad 0.76 | tok/s 74687
step    340 | loss 1.8100 | lr 9.99e-05 | grad 2.03 | tok/s 75953
step    350 | loss 1.8400 | lr 1.46e-04 | grad 1.18 | tok/s 73640
step    360 | loss 1.7935 | lr 1.92e-04 | grad 2.72 | tok/s 74682
step    370 | loss 1.5933 | lr 2.35e-04 | grad 1.09 | tok/s 75943
step    380 | loss 2.1212 | lr 2.69e-04 | grad 1.09 | tok/s 77723
step    390 | loss 1.7888 | lr 2.91e-04 | grad 1.27 | tok/s 74942
step    400 | loss 1.8678 | lr 3.00e-04 | grad 2.55 | tok/s 76703
step    410 | loss 1.6296 | lr 2.94e-04 | grad 2.11 | tok/s 74507
step    420 | loss 1.7483 | lr 2.74e-04 | grad 1.18 | tok/s 73977
step    430 | loss 1.8869 | lr 2.42e-04 | grad 1.30 | tok/s 73983
step    440 | loss 1.8801 | lr 2.01e-04 | grad 0.85 | tok/s 76701
step    450 | loss 1.7254 | lr 1.55e-04 | grad 0.76 | tok/s 74323
step    460 | loss 1.6876 | lr 1.09e-04 | grad 0.65 | tok/s 74902
step    470 | loss 1.6684 | lr 6.65e-05 | grad 1.00 | tok/s 75494
step    480 | loss 1.5676 | lr 3.24e-05 | grad 0.62 | tok/s 73245
step    490 | loss 1.5552 | lr 9.84e-06 | grad 0.62 | tok/s 74715
step    500 | loss 2.5046 | lr 1.07e-06 | grad 1.13 | tok/s 76757
step    510 | loss 1.6090 | lr 6.94e-06 | grad 0.75 | tok/s 74966
step    520 | loss 1.6590 | lr 2.69e-05 | grad 0.61 | tok/s 77489
step    530 | loss 2.1210 | lr 5.89e-05 | grad 0.72 | tok/s 75569
step    540 | loss 1.5559 | lr 9.99e-05 | grad 1.00 | tok/s 75743
step    550 | loss 1.4669 | lr 1.46e-04 | grad 0.60 | tok/s 77674
step    560 | loss 1.3378 | lr 1.92e-04 | grad 0.64 | tok/s 78514
step    570 | loss 1.5790 | lr 2.35e-04 | grad 1.84 | tok/s 76731
step    580 | loss 1.8901 | lr 2.69e-04 | grad 0.97 | tok/s 75870
step    590 | loss 2.1617 | lr 2.91e-04 | grad 1.09 | tok/s 74518
step    600 | loss 1.7018 | lr 3.00e-04 | grad 1.39 | tok/s 74642
step    610 | loss 1.6531 | lr 2.94e-04 | grad 1.19 | tok/s 77946
step    620 | loss 1.6429 | lr 2.74e-04 | grad 0.82 | tok/s 73733
step    630 | loss 1.5547 | lr 2.42e-04 | grad 0.79 | tok/s 76248
step    640 | loss 1.7538 | lr 2.01e-04 | grad 0.88 | tok/s 76555
step    650 | loss 1.5687 | lr 1.55e-04 | grad 0.96 | tok/s 75133
step    660 | loss 1.8496 | lr 1.09e-04 | grad 4.91 | tok/s 74297
step    670 | loss 1.7063 | lr 6.65e-05 | grad 1.58 | tok/s 76895
step    680 | loss 1.6400 | lr 3.24e-05 | grad 0.95 | tok/s 74176
step    690 | loss 1.6839 | lr 9.84e-06 | grad 1.47 | tok/s 74373
step    700 | loss 1.7808 | lr 1.07e-06 | grad 1.48 | tok/s 75217
step    710 | loss 1.7014 | lr 6.94e-06 | grad 1.12 | tok/s 75236
step    720 | loss 1.7911 | lr 2.68e-05 | grad 1.62 | tok/s 75304
step    730 | loss 1.7611 | lr 5.89e-05 | grad 1.26 | tok/s 75920
step    740 | loss 1.6930 | lr 9.99e-05 | grad 1.64 | tok/s 75384
step    750 | loss 1.4936 | lr 1.46e-04 | grad 1.27 | tok/s 74606
step    760 | loss 1.8425 | lr 1.92e-04 | grad 0.68 | tok/s 75287
step    770 | loss 1.5532 | lr 2.35e-04 | grad 1.00 | tok/s 75141
step    780 | loss 1.6051 | lr 2.69e-04 | grad 0.79 | tok/s 75958
step    790 | loss 1.5019 | lr 2.91e-04 | grad 0.65 | tok/s 76317
step    800 | loss 1.5064 | lr 3.00e-04 | grad 0.95 | tok/s 76597
step    810 | loss 1.5977 | lr 2.94e-04 | grad 1.72 | tok/s 75799
step    820 | loss 2.3422 | lr 2.74e-04 | grad 1.37 | tok/s 77475
step    830 | loss 1.8805 | lr 2.42e-04 | grad 0.74 | tok/s 78736
step    840 | loss 1.5000 | lr 2.01e-04 | grad 0.59 | tok/s 78691
step    850 | loss 1.9326 | lr 1.55e-04 | grad 1.12 | tok/s 75217
step    860 | loss 1.6732 | lr 1.09e-04 | grad 0.89 | tok/s 73435
step    870 | loss 1.5822 | lr 6.65e-05 | grad 0.84 | tok/s 75668
step    880 | loss 1.6385 | lr 3.24e-05 | grad 1.02 | tok/s 75614
