# Job 5: E75pch4n32
# GPU: 5
# Command: python train.py --level E75pch4n32 --dim 4480 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_100m/E75pch4n32
# Started: 2026-01-20T12:47:06.124796
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_100m/E75pch4n32/levelE75pch4n32_100m_20260120_124712
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75pch4n32, 58,625,920 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 6.3511 | lr 2.70e-05 | grad 382.00 | tok/s 19918
step     20 | loss 5.5973 | lr 5.70e-05 | grad 29.25 | tok/s 56426
step     30 | loss 5.4119 | lr 8.70e-05 | grad 11.31 | tok/s 59754
step     40 | loss 4.4523 | lr 1.17e-04 | grad 15.38 | tok/s 59694
step     50 | loss 4.0514 | lr 1.47e-04 | grad 11.94 | tok/s 59692
step     60 | loss 3.9460 | lr 1.77e-04 | grad 18.62 | tok/s 58452
step     70 | loss 3.4037 | lr 2.07e-04 | grad 12.31 | tok/s 56391
step     80 | loss 3.7111 | lr 2.37e-04 | grad 13.06 | tok/s 58711
step     90 | loss 3.4998 | lr 2.67e-04 | grad 8.88 | tok/s 56681
step    100 | loss 3.3974 | lr 2.97e-04 | grad 9.62 | tok/s 57183
step    110 | loss 3.3181 | lr 6.94e-06 | grad 10.19 | tok/s 51673
step    120 | loss 3.7164 | lr 2.69e-05 | grad 7.16 | tok/s 51505
step    130 | loss 3.4090 | lr 5.89e-05 | grad 5.41 | tok/s 52744
step    140 | loss 3.1657 | lr 9.99e-05 | grad 4.75 | tok/s 52832
step    150 | loss 2.9629 | lr 1.46e-04 | grad 6.62 | tok/s 50363
step    160 | loss 2.7710 | lr 1.92e-04 | grad 3.59 | tok/s 50798
step    170 | loss 2.8762 | lr 2.35e-04 | grad 19.00 | tok/s 52620
step    180 | loss 2.8333 | lr 2.69e-04 | grad 6.16 | tok/s 52129
step    190 | loss 2.6208 | lr 2.91e-04 | grad 5.00 | tok/s 53586
step    200 | loss 2.2951 | lr 3.00e-04 | grad 3.39 | tok/s 54829
step    210 | loss 2.7902 | lr 2.94e-04 | grad 6.47 | tok/s 52337
step    220 | loss 2.6959 | lr 2.74e-04 | grad 3.38 | tok/s 54114
step    230 | loss 2.4564 | lr 2.42e-04 | grad 4.84 | tok/s 52111
step    240 | loss 2.5093 | lr 2.01e-04 | grad 4.84 | tok/s 53175
step    250 | loss 2.4137 | lr 1.55e-04 | grad 3.48 | tok/s 52476
step    260 | loss 2.4152 | lr 1.09e-04 | grad 2.25 | tok/s 50341
step    270 | loss 2.2749 | lr 6.65e-05 | grad 2.98 | tok/s 52066
step    280 | loss 2.2072 | lr 3.24e-05 | grad 5.19 | tok/s 51781
step    290 | loss 2.1824 | lr 9.84e-06 | grad 2.09 | tok/s 54820
step    300 | loss 2.1551 | lr 1.07e-06 | grad 1.68 | tok/s 54678
step    310 | loss 2.1628 | lr 6.94e-06 | grad 1.70 | tok/s 54954
step    320 | loss 2.2342 | lr 2.69e-05 | grad 4.53 | tok/s 52797
step    330 | loss 2.2761 | lr 5.89e-05 | grad 1.80 | tok/s 51638
step    340 | loss 2.2819 | lr 9.99e-05 | grad 5.03 | tok/s 52708
step    350 | loss 2.3093 | lr 1.46e-04 | grad 3.06 | tok/s 51182
step    360 | loss 2.2771 | lr 1.92e-04 | grad 5.62 | tok/s 51737
step    370 | loss 2.1333 | lr 2.35e-04 | grad 4.38 | tok/s 52859
step    380 | loss 2.6645 | lr 2.69e-04 | grad 5.16 | tok/s 54150
step    390 | loss 2.2902 | lr 2.91e-04 | grad 4.47 | tok/s 52171
step    400 | loss 2.3662 | lr 3.00e-04 | grad 9.00 | tok/s 53285
step    410 | loss 2.2087 | lr 2.94e-04 | grad 7.16 | tok/s 51804
step    420 | loss 2.3128 | lr 2.74e-04 | grad 3.38 | tok/s 51471
step    430 | loss 2.4207 | lr 2.42e-04 | grad 5.56 | tok/s 51213
step    440 | loss 2.5491 | lr 2.01e-04 | grad 3.38 | tok/s 53499
step    450 | loss 2.1889 | lr 1.55e-04 | grad 2.23 | tok/s 51974
step    460 | loss 2.1414 | lr 1.09e-04 | grad 1.99 | tok/s 52233
step    470 | loss 2.1187 | lr 6.65e-05 | grad 3.22 | tok/s 52886
step    480 | loss 2.0189 | lr 3.24e-05 | grad 1.55 | tok/s 50972
step    490 | loss 1.9469 | lr 9.84e-06 | grad 1.34 | tok/s 51969
step    500 | loss 3.0287 | lr 1.07e-06 | grad 2.20 | tok/s 53485
step    510 | loss 2.0488 | lr 6.94e-06 | grad 1.62 | tok/s 52356
step    520 | loss 2.0777 | lr 2.69e-05 | grad 1.40 | tok/s 53967
step    530 | loss 2.5042 | lr 5.89e-05 | grad 2.20 | tok/s 52953
step    540 | loss 2.0290 | lr 9.99e-05 | grad 4.56 | tok/s 52861
step    550 | loss 1.8872 | lr 1.46e-04 | grad 1.89 | tok/s 54364
step    560 | loss 1.7386 | lr 1.92e-04 | grad 2.83 | tok/s 55076
step    570 | loss 2.0866 | lr 2.35e-04 | grad 6.12 | tok/s 53665
step    580 | loss 2.4954 | lr 2.69e-04 | grad 3.42 | tok/s 53127
step    590 | loss 2.7686 | lr 2.91e-04 | grad 7.53 | tok/s 51958
step    600 | loss 2.2600 | lr 3.00e-04 | grad 4.75 | tok/s 52131
step    610 | loss 2.3515 | lr 2.94e-04 | grad 4.34 | tok/s 54658
step    620 | loss 2.1325 | lr 2.74e-04 | grad 4.44 | tok/s 51755
step    630 | loss 2.0311 | lr 2.42e-04 | grad 3.08 | tok/s 53515
step    640 | loss 2.4455 | lr 2.01e-04 | grad 3.03 | tok/s 53581
step    650 | loss 2.0788 | lr 1.55e-04 | grad 3.48 | tok/s 52502
step    660 | loss 2.3480 | lr 1.09e-04 | grad 9.62 | tok/s 51734
step    670 | loss 2.1540 | lr 6.65e-05 | grad 5.66 | tok/s 53641
step    680 | loss 2.0779 | lr 3.24e-05 | grad 2.27 | tok/s 51649
step    690 | loss 2.1315 | lr 9.84e-06 | grad 2.47 | tok/s 52199
step    700 | loss 2.1872 | lr 1.07e-06 | grad 3.17 | tok/s 52432
step    710 | loss 2.1584 | lr 6.94e-06 | grad 2.66 | tok/s 52754
step    720 | loss 2.2809 | lr 2.68e-05 | grad 4.28 | tok/s 52374
step    730 | loss 2.1743 | lr 5.89e-05 | grad 2.78 | tok/s 52933
step    740 | loss 2.0831 | lr 9.99e-05 | grad 5.09 | tok/s 52597
step    750 | loss 1.9222 | lr 1.46e-04 | grad 3.23 | tok/s 51986
step    760 | loss 2.4321 | lr 1.92e-04 | grad 3.38 | tok/s 52621
step    770 | loss 1.9900 | lr 2.35e-04 | grad 3.75 | tok/s 52293
step    780 | loss 2.0522 | lr 2.69e-04 | grad 3.77 | tok/s 52833
step    790 | loss 2.0077 | lr 2.91e-04 | grad 2.89 | tok/s 53046
step    800 | loss 1.9754 | lr 3.00e-04 | grad 2.86 | tok/s 53261
step    810 | loss 2.1260 | lr 2.94e-04 | grad 6.69 | tok/s 52751
step    820 | loss 2.8012 | lr 2.74e-04 | grad 4.97 | tok/s 54196
step    830 | loss 2.2626 | lr 2.42e-04 | grad 2.36 | tok/s 55100
