# Job 6: E75h8n32
# GPU: 6
# Command: python train.py --level E75h8n32 --dim 1280 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e75pc_100m/E75h8n32
# Started: 2026-01-20T12:47:06.124906
============================================================

Using device: cuda
Output directory: benchmark_results/e75pc_100m/E75h8n32/levelE75h8n32_100m_20260120_124712
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h8n32, 124,878,080 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6879 | lr 2.70e-05 | grad 512.00 | tok/s 21735
step     20 | loss 5.3761 | lr 5.70e-05 | grad 46.75 | tok/s 57206
step     30 | loss 5.1452 | lr 8.70e-05 | grad 15.38 | tok/s 60488
step     40 | loss 4.5407 | lr 1.17e-04 | grad 9.50 | tok/s 60395
step     50 | loss 3.8317 | lr 1.47e-04 | grad 9.56 | tok/s 60260
step     60 | loss 3.6823 | lr 1.77e-04 | grad 12.00 | tok/s 58908
step     70 | loss 3.0856 | lr 2.07e-04 | grad 2.86 | tok/s 56845
step     80 | loss 3.4097 | lr 2.37e-04 | grad 4.28 | tok/s 58809
step     90 | loss 3.0875 | lr 2.67e-04 | grad 4.41 | tok/s 56606
step    100 | loss 2.7537 | lr 2.97e-04 | grad 1.71 | tok/s 57042
step    110 | loss 2.7707 | lr 6.94e-06 | grad 4.62 | tok/s 52871
step    120 | loss 3.0792 | lr 2.69e-05 | grad 3.17 | tok/s 52752
step    130 | loss 2.8270 | lr 5.89e-05 | grad 2.41 | tok/s 54016
step    140 | loss 2.5696 | lr 9.99e-05 | grad 1.01 | tok/s 53983
step    150 | loss 2.4581 | lr 1.46e-04 | grad 2.42 | tok/s 51362
step    160 | loss 2.3221 | lr 1.92e-04 | grad 1.57 | tok/s 51816
step    170 | loss 2.5209 | lr 2.35e-04 | grad 13.62 | tok/s 53319
step    180 | loss 2.5266 | lr 2.69e-04 | grad 1.60 | tok/s 53797
step    190 | loss 2.2617 | lr 2.91e-04 | grad 1.61 | tok/s 54215
step    200 | loss 1.9105 | lr 3.00e-04 | grad 1.13 | tok/s 55351
step    210 | loss 2.4474 | lr 2.94e-04 | grad 3.03 | tok/s 52965
step    220 | loss 2.3608 | lr 2.74e-04 | grad 1.08 | tok/s 54752
step    230 | loss 2.1674 | lr 2.42e-04 | grad 1.85 | tok/s 52718
step    240 | loss 2.1706 | lr 2.01e-04 | grad 1.55 | tok/s 53451
step    250 | loss 2.1239 | lr 1.55e-04 | grad 1.24 | tok/s 52814
step    260 | loss 2.1626 | lr 1.09e-04 | grad 0.76 | tok/s 50739
step    270 | loss 2.0195 | lr 6.65e-05 | grad 1.10 | tok/s 52858
step    280 | loss 1.9296 | lr 3.24e-05 | grad 1.66 | tok/s 52485
step    290 | loss 1.9157 | lr 9.84e-06 | grad 0.87 | tok/s 55178
step    300 | loss 1.8854 | lr 1.07e-06 | grad 0.84 | tok/s 55023
step    310 | loss 1.8869 | lr 6.94e-06 | grad 0.77 | tok/s 55065
step    320 | loss 1.9849 | lr 2.69e-05 | grad 1.88 | tok/s 53058
step    330 | loss 2.0292 | lr 5.89e-05 | grad 0.68 | tok/s 51791
step    340 | loss 2.0309 | lr 9.99e-05 | grad 1.85 | tok/s 52847
step    350 | loss 2.0526 | lr 1.46e-04 | grad 0.95 | tok/s 51129
step    360 | loss 2.0016 | lr 1.92e-04 | grad 2.25 | tok/s 51871
step    370 | loss 1.8480 | lr 2.35e-04 | grad 1.19 | tok/s 52811
