# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m/mamba2
# Started: 2026-01-20T14:12:46.616354
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m/mamba2/levelmamba2_100m_20260120_141252
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9825
step     20 | loss 4.3086 | lr 5.70e-05 | grad 6.47 | tok/s 66660
step     30 | loss 4.5682 | lr 8.70e-05 | grad 3.27 | tok/s 70338
step     40 | loss 3.1655 | lr 1.17e-04 | grad 1.87 | tok/s 70180
step     50 | loss 2.3871 | lr 1.47e-04 | grad 1.48 | tok/s 69778
step     60 | loss 2.7602 | lr 1.77e-04 | grad 3.28 | tok/s 68085
step     70 | loss 2.4723 | lr 2.07e-04 | grad 1.88 | tok/s 65483
step     80 | loss 2.8037 | lr 2.37e-04 | grad 3.19 | tok/s 67776
step     90 | loss 2.7425 | lr 2.67e-04 | grad 4.06 | tok/s 65011
step    100 | loss 2.2446 | lr 2.97e-04 | grad 1.20 | tok/s 65429
step    110 | loss 2.2793 | lr 6.94e-06 | grad 1.96 | tok/s 62633
step    120 | loss 2.4871 | lr 2.69e-05 | grad 1.52 | tok/s 62172
step    130 | loss 2.3560 | lr 5.89e-05 | grad 1.16 | tok/s 63564
step    140 | loss 2.0979 | lr 9.99e-05 | grad 1.00 | tok/s 63607
step    150 | loss 1.9594 | lr 1.46e-04 | grad 1.89 | tok/s 60263
step    160 | loss 1.8688 | lr 1.92e-04 | grad 1.62 | tok/s 60808
step    170 | loss 2.0566 | lr 2.35e-04 | grad 3.31 | tok/s 62489
step    180 | loss 2.0396 | lr 2.69e-04 | grad 1.27 | tok/s 62474
step    190 | loss 1.7565 | lr 2.91e-04 | grad 1.27 | tok/s 63389
step    200 | loss 1.3553 | lr 3.00e-04 | grad 1.05 | tok/s 64575
step    210 | loss 2.1290 | lr 2.94e-04 | grad 1.73 | tok/s 61559
step    220 | loss 1.9234 | lr 2.74e-04 | grad 1.27 | tok/s 63395
step    230 | loss 1.8171 | lr 2.42e-04 | grad 1.51 | tok/s 60955
step    240 | loss 1.7897 | lr 2.01e-04 | grad 1.50 | tok/s 61934
step    250 | loss 1.7931 | lr 1.55e-04 | grad 1.30 | tok/s 61144
step    260 | loss 1.8801 | lr 1.09e-04 | grad 0.84 | tok/s 58288
step    270 | loss 1.7255 | lr 6.65e-05 | grad 0.96 | tok/s 60374
step    280 | loss 1.6084 | lr 3.24e-05 | grad 1.73 | tok/s 60147
step    290 | loss 1.6138 | lr 9.84e-06 | grad 0.76 | tok/s 63235
step    300 | loss 1.5967 | lr 1.07e-06 | grad 0.86 | tok/s 63057
step    310 | loss 1.5803 | lr 6.94e-06 | grad 0.68 | tok/s 63093
step    320 | loss 1.6816 | lr 2.69e-05 | grad 1.65 | tok/s 60582
step    330 | loss 1.7109 | lr 5.89e-05 | grad 0.79 | tok/s 58966
step    340 | loss 1.7116 | lr 9.99e-05 | grad 2.14 | tok/s 60129
step    350 | loss 1.7275 | lr 1.46e-04 | grad 0.92 | tok/s 58336
step    360 | loss 1.6742 | lr 1.92e-04 | grad 2.31 | tok/s 59048
step    370 | loss 1.5135 | lr 2.35e-04 | grad 1.00 | tok/s 60008
step    380 | loss 1.9885 | lr 2.69e-04 | grad 1.06 | tok/s 61355
step    390 | loss 1.7126 | lr 2.91e-04 | grad 1.45 | tok/s 59175
step    400 | loss 1.8061 | lr 3.00e-04 | grad 2.39 | tok/s 60579
step    410 | loss 1.5786 | lr 2.94e-04 | grad 2.33 | tok/s 58739
