# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 768 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m/fla-gdn
# Started: 2026-01-20T14:12:46.616510
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m/fla-gdn/levelfla-gdn_100m_20260120_141251
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 95,020,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6134 | lr 2.70e-05 | grad 53.75 | tok/s 24938
step     20 | loss 5.5753 | lr 5.70e-05 | grad 18.00 | tok/s 87906
step     30 | loss 5.6181 | lr 8.70e-05 | grad 18.00 | tok/s 92772
step     40 | loss 5.3827 | lr 1.17e-04 | grad 18.38 | tok/s 92697
step     50 | loss 4.7330 | lr 1.47e-04 | grad 9.25 | tok/s 92371
step     60 | loss 4.2193 | lr 1.77e-04 | grad 40.50 | tok/s 90415
step     70 | loss 3.4019 | lr 2.07e-04 | grad 1.95 | tok/s 87383
step     80 | loss 3.5119 | lr 2.37e-04 | grad 3.28 | tok/s 90432
step     90 | loss 3.3166 | lr 2.67e-04 | grad 4.09 | tok/s 87219
step    100 | loss 2.8738 | lr 2.97e-04 | grad 1.69 | tok/s 87968
step    110 | loss 2.7597 | lr 6.94e-06 | grad 2.50 | tok/s 77563
step    120 | loss 3.1568 | lr 2.69e-05 | grad 3.48 | tok/s 76906
step    130 | loss 2.8979 | lr 5.89e-05 | grad 1.77 | tok/s 79022
step    140 | loss 2.6201 | lr 9.99e-05 | grad 1.23 | tok/s 78998
step    150 | loss 2.4501 | lr 1.46e-04 | grad 3.47 | tok/s 75409
step    160 | loss 2.2720 | lr 1.92e-04 | grad 1.73 | tok/s 75749
step    170 | loss 2.4057 | lr 2.35e-04 | grad 7.22 | tok/s 78172
step    180 | loss 2.3884 | lr 2.69e-04 | grad 1.45 | tok/s 78528
