# Job 7: E75pch8n32
# GPU: 7
# Command: python train.py --level E75pch8n32 --dim 4480 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m/E75pch8n32
# Started: 2026-01-20T14:12:46.618225
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m/E75pch8n32/levelE75pch8n32_100m_20260120_141252
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75pch8n32, 116,010,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 6.1285 | lr 2.70e-05 | grad 356.00 | tok/s 19086
step     20 | loss 5.4531 | lr 5.70e-05 | grad 24.00 | tok/s 48076
step     30 | loss 5.4479 | lr 8.70e-05 | grad 12.12 | tok/s 50793
step     40 | loss 4.2257 | lr 1.17e-04 | grad 7.84 | tok/s 50665
step     50 | loss 3.5858 | lr 1.47e-04 | grad 10.88 | tok/s 50591
step     60 | loss 3.6663 | lr 1.77e-04 | grad 12.12 | tok/s 49480
step     70 | loss 3.2517 | lr 2.07e-04 | grad 6.72 | tok/s 47724
step     80 | loss 3.5671 | lr 2.37e-04 | grad 14.06 | tok/s 49536
step     90 | loss 3.5278 | lr 2.67e-04 | grad 9.12 | tok/s 47788
step    100 | loss 3.3518 | lr 2.97e-04 | grad 10.12 | tok/s 48194
step    110 | loss 3.3831 | lr 6.94e-06 | grad 15.62 | tok/s 44113
step    120 | loss 3.8198 | lr 2.69e-05 | grad 7.94 | tok/s 43902
step    130 | loss 3.4143 | lr 5.89e-05 | grad 4.75 | tok/s 44898
step    140 | loss 3.1084 | lr 9.99e-05 | grad 3.39 | tok/s 44842
step    150 | loss 2.8909 | lr 1.46e-04 | grad 5.66 | tok/s 42721
step    160 | loss 2.6942 | lr 1.92e-04 | grad 3.61 | tok/s 43079
step    170 | loss 2.8280 | lr 2.35e-04 | grad 26.88 | tok/s 44450
step    180 | loss 2.7665 | lr 2.69e-04 | grad 6.91 | tok/s 44507
step    190 | loss 2.5013 | lr 2.91e-04 | grad 5.47 | tok/s 45144
step    200 | loss 2.1213 | lr 3.00e-04 | grad 3.34 | tok/s 46023
step    210 | loss 2.7115 | lr 2.94e-04 | grad 5.56 | tok/s 44093
step    220 | loss 2.5462 | lr 2.74e-04 | grad 4.41 | tok/s 45583
step    230 | loss 2.3525 | lr 2.42e-04 | grad 4.94 | tok/s 43996
step    240 | loss 2.3661 | lr 2.01e-04 | grad 4.50 | tok/s 44706
step    250 | loss 2.2999 | lr 1.55e-04 | grad 2.86 | tok/s 44182
step    260 | loss 2.3167 | lr 1.09e-04 | grad 2.80 | tok/s 42378
step    270 | loss 2.1746 | lr 6.65e-05 | grad 3.05 | tok/s 43904
step    280 | loss 2.0652 | lr 3.24e-05 | grad 4.62 | tok/s 43801
