# Job 8: E32
# GPU: 1
# Command: python train.py --level 32 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m/E32
# Started: 2026-01-20T14:22:54.563067
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m/E32/level32_100m_20260120_142259
Auto r_h_mode: none (level 32 has bounded/no W_h)
Model: Level 32, 114,890,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.2292 | lr 2.70e-05 | grad 11.25 | tok/s 21732
step     20 | loss 3.9780 | lr 5.70e-05 | grad 14.56 | tok/s 56714
step     30 | loss 4.4238 | lr 8.70e-05 | grad 5.50 | tok/s 59962
step     40 | loss 3.3159 | lr 1.17e-04 | grad 3.62 | tok/s 59910
step     50 | loss 2.6915 | lr 1.47e-04 | grad 2.89 | tok/s 59896
step     60 | loss 2.8627 | lr 1.77e-04 | grad 3.94 | tok/s 58841
step     70 | loss 2.5224 | lr 2.07e-04 | grad 2.03 | tok/s 56725
step     80 | loss 2.9003 | lr 2.37e-04 | grad 3.09 | tok/s 58976
step     90 | loss 2.7824 | lr 2.67e-04 | grad 3.59 | tok/s 56922
step    100 | loss 2.4164 | lr 2.97e-04 | grad 0.84 | tok/s 57474
step    110 | loss 2.4532 | lr 6.94e-06 | grad 2.16 | tok/s 54231
step    120 | loss 2.6653 | lr 2.69e-05 | grad 1.14 | tok/s 54118
step    130 | loss 2.5093 | lr 5.89e-05 | grad 0.90 | tok/s 55452
step    140 | loss 2.2854 | lr 9.99e-05 | grad 0.76 | tok/s 55545
step    150 | loss 2.1750 | lr 1.46e-04 | grad 1.59 | tok/s 52994
step    160 | loss 2.0837 | lr 1.92e-04 | grad 1.19 | tok/s 53410
step    170 | loss 2.2811 | lr 2.35e-04 | grad 2.98 | tok/s 55304
step    180 | loss 2.2672 | lr 2.69e-04 | grad 1.21 | tok/s 55439
step    190 | loss 2.0111 | lr 2.91e-04 | grad 1.01 | tok/s 56346
step    200 | loss 1.6733 | lr 3.00e-04 | grad 0.96 | tok/s 57610
step    210 | loss 2.2953 | lr 2.94e-04 | grad 1.34 | tok/s 55151
step    220 | loss 2.1537 | lr 2.74e-04 | grad 0.77 | tok/s 56958
step    230 | loss 2.0032 | lr 2.42e-04 | grad 1.04 | tok/s 55021
step    240 | loss 2.0000 | lr 2.01e-04 | grad 1.22 | tok/s 56136
step    250 | loss 1.9866 | lr 1.55e-04 | grad 0.95 | tok/s 55340
step    260 | loss 2.0392 | lr 1.09e-04 | grad 0.52 | tok/s 53094
step    270 | loss 1.9041 | lr 6.65e-05 | grad 0.77 | tok/s 55079
step    280 | loss 1.7945 | lr 3.24e-05 | grad 1.22 | tok/s 55012
step    290 | loss 1.8043 | lr 9.84e-06 | grad 0.66 | tok/s 57994
step    300 | loss 1.7745 | lr 1.07e-06 | grad 0.63 | tok/s 57981
step    310 | loss 1.7712 | lr 6.94e-06 | grad 0.59 | tok/s 57943
step    320 | loss 1.8549 | lr 2.69e-05 | grad 1.47 | tok/s 55655
step    330 | loss 1.8893 | lr 5.89e-05 | grad 0.55 | tok/s 54390
step    340 | loss 1.8966 | lr 9.99e-05 | grad 1.54 | tok/s 55505
