# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m_v2/mamba2
# Started: 2026-01-20T14:43:57.843924
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m_v2/mamba2/levelmamba2_100m_20260120_144404
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9666
step     20 | loss 4.3086 | lr 5.70e-05 | grad 6.47 | tok/s 66363
step     30 | loss 4.5680 | lr 8.70e-05 | grad 3.27 | tok/s 70035
step     40 | loss 3.1653 | lr 1.17e-04 | grad 1.87 | tok/s 69670
step     50 | loss 2.3869 | lr 1.47e-04 | grad 1.48 | tok/s 69347
step     60 | loss 2.7602 | lr 1.77e-04 | grad 3.27 | tok/s 67636
step     70 | loss 2.4719 | lr 2.07e-04 | grad 1.88 | tok/s 65060
step     80 | loss 2.8033 | lr 2.37e-04 | grad 3.17 | tok/s 67266
step     90 | loss 2.7414 | lr 2.67e-04 | grad 4.06 | tok/s 64723
step    100 | loss 2.2441 | lr 2.97e-04 | grad 1.20 | tok/s 65027
step    110 | loss 2.2787 | lr 6.94e-06 | grad 1.96 | tok/s 62441
step    120 | loss 2.4866 | lr 2.69e-05 | grad 1.52 | tok/s 62038
step    130 | loss 2.3554 | lr 5.89e-05 | grad 1.16 | tok/s 63146
step    140 | loss 2.0977 | lr 9.99e-05 | grad 1.00 | tok/s 62998
step    150 | loss 1.9593 | lr 1.46e-04 | grad 1.89 | tok/s 60121
step    160 | loss 1.8688 | lr 1.92e-04 | grad 1.62 | tok/s 60503
step    170 | loss 2.0566 | lr 2.35e-04 | grad 3.31 | tok/s 61989
step    180 | loss 2.0398 | lr 2.69e-04 | grad 1.27 | tok/s 62028
step    190 | loss 1.7563 | lr 2.91e-04 | grad 1.27 | tok/s 62760
step    200 | loss 1.3553 | lr 3.00e-04 | grad 1.05 | tok/s 63999
step    210 | loss 2.1282 | lr 2.94e-04 | grad 1.72 | tok/s 61133
step    220 | loss 1.9226 | lr 2.74e-04 | grad 1.30 | tok/s 62778
step    230 | loss 1.8170 | lr 2.42e-04 | grad 1.48 | tok/s 60683
