# Job 7: E75pch8n32
# GPU: 7
# Command: python train.py --level E75pch8n32 --dim 4480 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m_v2/E75pch8n32
# Started: 2026-01-20T14:43:57.845782
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m_v2/E75pch8n32/levelE75pch8n32_100m_20260120_144403
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75pch8n32, 116,010,880 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 6.1607 | lr 2.70e-05 | grad 129.00 | tok/s 18720
step     20 | loss 5.4944 | lr 5.70e-05 | grad 23.62 | tok/s 48217
step     30 | loss 5.4494 | lr 8.70e-05 | grad 11.88 | tok/s 50900
step     40 | loss 4.2617 | lr 1.17e-04 | grad 7.91 | tok/s 50782
step     50 | loss 3.6592 | lr 1.47e-04 | grad 8.12 | tok/s 50719
step     60 | loss 3.7187 | lr 1.77e-04 | grad 37.25 | tok/s 49626
step     70 | loss 3.2712 | lr 2.07e-04 | grad 4.38 | tok/s 47933
step     80 | loss 3.5319 | lr 2.37e-04 | grad 11.06 | tok/s 49723
step     90 | loss 3.4959 | lr 2.67e-04 | grad 8.88 | tok/s 47925
step    100 | loss 3.2732 | lr 2.97e-04 | grad 6.03 | tok/s 48234
step    110 | loss 3.2677 | lr 6.94e-06 | grad 8.50 | tok/s 43931
step    120 | loss 3.7370 | lr 2.69e-05 | grad 5.44 | tok/s 43690
step    130 | loss 3.3353 | lr 5.89e-05 | grad 5.09 | tok/s 44689
step    140 | loss 3.0604 | lr 9.99e-05 | grad 2.83 | tok/s 44775
step    150 | loss 2.8669 | lr 1.46e-04 | grad 5.56 | tok/s 42704
step    160 | loss 2.7029 | lr 1.92e-04 | grad 4.62 | tok/s 42891
step    170 | loss 2.8325 | lr 2.35e-04 | grad 9.81 | tok/s 44315
step    180 | loss 2.8282 | lr 2.69e-04 | grad 5.41 | tok/s 44290
step    190 | loss 2.5432 | lr 2.91e-04 | grad 6.09 | tok/s 44884
step    200 | loss 2.2311 | lr 3.00e-04 | grad 2.77 | tok/s 45938
step    210 | loss 2.7384 | lr 2.94e-04 | grad 5.62 | tok/s 43946
step    220 | loss 2.5567 | lr 2.74e-04 | grad 3.92 | tok/s 45415
step    230 | loss 2.3780 | lr 2.42e-04 | grad 6.25 | tok/s 43715
step    240 | loss 2.3813 | lr 2.01e-04 | grad 5.16 | tok/s 44697
step    250 | loss 2.3273 | lr 1.55e-04 | grad 2.94 | tok/s 44020
step    260 | loss 2.3159 | lr 1.09e-04 | grad 2.58 | tok/s 42279
step    270 | loss 2.1810 | lr 6.65e-05 | grad 2.59 | tok/s 43751
step    280 | loss 2.0821 | lr 3.24e-05 | grad 4.62 | tok/s 43774
step    290 | loss 2.0945 | lr 9.84e-06 | grad 1.98 | tok/s 45969
step    300 | loss 2.0636 | lr 1.07e-06 | grad 1.65 | tok/s 45988
step    310 | loss 2.0697 | lr 6.94e-06 | grad 1.57 | tok/s 45976
step    320 | loss 2.1591 | lr 2.69e-05 | grad 4.31 | tok/s 43841
step    330 | loss 2.1908 | lr 5.89e-05 | grad 1.71 | tok/s 43220
step    340 | loss 2.1938 | lr 9.99e-05 | grad 4.62 | tok/s 44147
step    350 | loss 2.2407 | lr 1.46e-04 | grad 2.77 | tok/s 42889
step    360 | loss 2.1762 | lr 1.92e-04 | grad 6.28 | tok/s 43387
step    370 | loss 2.0264 | lr 2.35e-04 | grad 3.91 | tok/s 44160
step    380 | loss 2.5703 | lr 2.69e-04 | grad 4.00 | tok/s 45284
