# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 768 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m_v2/fla-gdn
# Started: 2026-01-20T14:57:20.094551
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m_v2/fla-gdn/levelfla-gdn_100m_20260120_145726
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 95,020,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6130 | lr 2.70e-05 | grad 54.50 | tok/s 24818
step     20 | loss 5.5774 | lr 5.70e-05 | grad 18.00 | tok/s 87722
step     30 | loss 5.6172 | lr 8.70e-05 | grad 18.12 | tok/s 92573
step     40 | loss 5.3853 | lr 1.17e-04 | grad 18.12 | tok/s 92552
step     50 | loss 4.7242 | lr 1.47e-04 | grad 9.44 | tok/s 92204
step     60 | loss 4.1803 | lr 1.77e-04 | grad 21.12 | tok/s 90054
step     70 | loss 3.3012 | lr 2.07e-04 | grad 1.86 | tok/s 86880
step     80 | loss 3.5052 | lr 2.37e-04 | grad 3.66 | tok/s 90210
step     90 | loss 3.2975 | lr 2.67e-04 | grad 4.03 | tok/s 86723
step    100 | loss 2.8752 | lr 2.97e-04 | grad 1.73 | tok/s 87493
step    110 | loss 2.7593 | lr 6.94e-06 | grad 2.27 | tok/s 76790
step    120 | loss 3.1624 | lr 2.69e-05 | grad 1.82 | tok/s 76538
step    130 | loss 2.9152 | lr 5.89e-05 | grad 1.58 | tok/s 78238
step    140 | loss 2.6189 | lr 9.99e-05 | grad 1.34 | tok/s 78368
step    150 | loss 2.4443 | lr 1.46e-04 | grad 3.03 | tok/s 74722
step    160 | loss 2.2670 | lr 1.92e-04 | grad 1.70 | tok/s 75236
step    170 | loss 2.4103 | lr 2.35e-04 | grad 6.75 | tok/s 77578
step    180 | loss 2.3880 | lr 2.69e-04 | grad 1.41 | tok/s 77847
step    190 | loss 2.0370 | lr 2.91e-04 | grad 1.44 | tok/s 79035
step    200 | loss 1.5491 | lr 3.00e-04 | grad 1.19 | tok/s 80588
step    210 | loss 2.2802 | lr 2.94e-04 | grad 1.84 | tok/s 77082
step    220 | loss 2.0788 | lr 2.74e-04 | grad 1.11 | tok/s 79431
step    230 | loss 1.9491 | lr 2.42e-04 | grad 1.87 | tok/s 76866
step    240 | loss 1.9199 | lr 2.01e-04 | grad 1.75 | tok/s 78120
step    250 | loss 1.9171 | lr 1.55e-04 | grad 1.27 | tok/s 76890
step    260 | loss 1.9732 | lr 1.09e-04 | grad 0.79 | tok/s 73871
step    270 | loss 1.8121 | lr 6.65e-05 | grad 1.09 | tok/s 76502
step    280 | loss 1.7177 | lr 3.24e-05 | grad 1.84 | tok/s 76397
step    290 | loss 1.7080 | lr 9.84e-06 | grad 0.86 | tok/s 80363
step    300 | loss 1.6814 | lr 1.07e-06 | grad 0.94 | tok/s 80271
step    310 | loss 1.6728 | lr 6.94e-06 | grad 0.79 | tok/s 79799
step    320 | loss 1.7962 | lr 2.69e-05 | grad 1.82 | tok/s 77280
step    330 | loss 1.8236 | lr 5.89e-05 | grad 0.77 | tok/s 75246
step    340 | loss 1.8073 | lr 9.99e-05 | grad 2.09 | tok/s 76653
step    350 | loss 1.8356 | lr 1.46e-04 | grad 1.10 | tok/s 74380
step    360 | loss 1.7974 | lr 1.92e-04 | grad 2.64 | tok/s 75228
step    370 | loss 1.5912 | lr 2.35e-04 | grad 1.03 | tok/s 76532
step    380 | loss 2.1246 | lr 2.69e-04 | grad 1.10 | tok/s 78474
step    390 | loss 1.7838 | lr 2.91e-04 | grad 1.23 | tok/s 75514
step    400 | loss 1.8625 | lr 3.00e-04 | grad 2.45 | tok/s 77479
step    410 | loss 1.6251 | lr 2.94e-04 | grad 2.17 | tok/s 75306
step    420 | loss 1.7456 | lr 2.74e-04 | grad 1.14 | tok/s 74592
