# Job 1: fla-gdn
# GPU: 1
# Command: python train.py --level fla-gdn --dim 768 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m_balanced/fla-gdn
# Started: 2026-01-20T16:17:19.670266
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m_balanced/fla-gdn/levelfla-gdn_100m_20260120_161725
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 95,020,016 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6134 | lr 2.70e-05 | grad 53.75 | tok/s 24551
step     20 | loss 5.5753 | lr 5.70e-05 | grad 18.00 | tok/s 86594
step     30 | loss 5.6181 | lr 8.70e-05 | grad 18.00 | tok/s 92408
step     40 | loss 5.3827 | lr 1.17e-04 | grad 18.38 | tok/s 92339
step     50 | loss 4.7330 | lr 1.47e-04 | grad 9.25 | tok/s 92051
step     60 | loss 4.2193 | lr 1.77e-04 | grad 40.50 | tok/s 89829
step     70 | loss 3.4019 | lr 2.07e-04 | grad 1.95 | tok/s 86776
step     80 | loss 3.5119 | lr 2.37e-04 | grad 3.28 | tok/s 90076
step     90 | loss 3.3166 | lr 2.67e-04 | grad 4.09 | tok/s 86776
step    100 | loss 2.8738 | lr 2.97e-04 | grad 1.69 | tok/s 87321
step    110 | loss 2.7597 | lr 6.94e-06 | grad 2.50 | tok/s 75936
step    120 | loss 3.1568 | lr 2.69e-05 | grad 3.48 | tok/s 75404
step    130 | loss 2.8979 | lr 5.89e-05 | grad 1.77 | tok/s 77293
step    140 | loss 2.6201 | lr 9.99e-05 | grad 1.23 | tok/s 77250
step    150 | loss 2.4501 | lr 1.46e-04 | grad 3.47 | tok/s 73732
step    160 | loss 2.2720 | lr 1.92e-04 | grad 1.73 | tok/s 74202
step    170 | loss 2.4057 | lr 2.35e-04 | grad 7.22 | tok/s 76574
step    180 | loss 2.3884 | lr 2.69e-04 | grad 1.45 | tok/s 76772
step    190 | loss 2.0485 | lr 2.91e-04 | grad 1.51 | tok/s 77910
step    200 | loss 1.5517 | lr 3.00e-04 | grad 1.21 | tok/s 79661
step    210 | loss 2.2749 | lr 2.94e-04 | grad 1.84 | tok/s 76113
step    220 | loss 2.0868 | lr 2.74e-04 | grad 1.12 | tok/s 78817
step    230 | loss 1.9569 | lr 2.42e-04 | grad 1.77 | tok/s 75994
step    240 | loss 1.9278 | lr 2.01e-04 | grad 1.72 | tok/s 77032
step    250 | loss 1.9156 | lr 1.55e-04 | grad 1.25 | tok/s 76105
step    260 | loss 1.9719 | lr 1.09e-04 | grad 0.77 | tok/s 73069
step    270 | loss 1.8147 | lr 6.65e-05 | grad 1.07 | tok/s 75801
step    280 | loss 1.7160 | lr 3.24e-05 | grad 1.71 | tok/s 75516
step    290 | loss 1.7127 | lr 9.84e-06 | grad 0.87 | tok/s 79640
step    300 | loss 1.6838 | lr 1.07e-06 | grad 0.91 | tok/s 79194
step    310 | loss 1.6741 | lr 6.94e-06 | grad 0.76 | tok/s 79041
step    320 | loss 1.7990 | lr 2.69e-05 | grad 1.84 | tok/s 76230
step    330 | loss 1.8247 | lr 5.89e-05 | grad 0.76 | tok/s 74581
step    340 | loss 1.8100 | lr 9.99e-05 | grad 2.03 | tok/s 75896
step    350 | loss 1.8400 | lr 1.46e-04 | grad 1.18 | tok/s 73537
step    360 | loss 1.7935 | lr 1.92e-04 | grad 2.72 | tok/s 74568
step    370 | loss 1.5933 | lr 2.35e-04 | grad 1.09 | tok/s 75731
step    380 | loss 2.1212 | lr 2.69e-04 | grad 1.09 | tok/s 77868
step    390 | loss 1.7888 | lr 2.91e-04 | grad 1.27 | tok/s 74991
step    400 | loss 1.8678 | lr 3.00e-04 | grad 2.55 | tok/s 76538
step    410 | loss 1.6296 | lr 2.94e-04 | grad 2.11 | tok/s 74311
step    420 | loss 1.7483 | lr 2.74e-04 | grad 1.18 | tok/s 74030
step    430 | loss 1.8869 | lr 2.42e-04 | grad 1.30 | tok/s 73636
step    440 | loss 1.8801 | lr 2.01e-04 | grad 0.85 | tok/s 76708
step    450 | loss 1.7254 | lr 1.55e-04 | grad 0.76 | tok/s 74544
step    460 | loss 1.6876 | lr 1.09e-04 | grad 0.65 | tok/s 74631
step    470 | loss 1.6684 | lr 6.65e-05 | grad 1.00 | tok/s 75370
step    480 | loss 1.5676 | lr 3.24e-05 | grad 0.62 | tok/s 73164
step    490 | loss 1.5552 | lr 9.84e-06 | grad 0.62 | tok/s 74276
step    500 | loss 2.5046 | lr 1.07e-06 | grad 1.13 | tok/s 76448
step    510 | loss 1.6090 | lr 6.94e-06 | grad 0.75 | tok/s 74641
step    520 | loss 1.6590 | lr 2.69e-05 | grad 0.61 | tok/s 77168
step    530 | loss 2.1210 | lr 5.89e-05 | grad 0.72 | tok/s 75545
step    540 | loss 1.5559 | lr 9.99e-05 | grad 1.00 | tok/s 75459
step    550 | loss 1.4669 | lr 1.46e-04 | grad 0.60 | tok/s 77653
step    560 | loss 1.3378 | lr 1.92e-04 | grad 0.64 | tok/s 78016
step    570 | loss 1.5790 | lr 2.35e-04 | grad 1.84 | tok/s 76519
step    580 | loss 1.8901 | lr 2.69e-04 | grad 0.97 | tok/s 75786
step    590 | loss 2.1617 | lr 2.91e-04 | grad 1.09 | tok/s 74174
step    600 | loss 1.7018 | lr 3.00e-04 | grad 1.39 | tok/s 74436
step    610 | loss 1.6531 | lr 2.94e-04 | grad 1.19 | tok/s 77706
step    620 | loss 1.6429 | lr 2.74e-04 | grad 0.82 | tok/s 73859
step    630 | loss 1.5547 | lr 2.42e-04 | grad 0.79 | tok/s 76200
step    640 | loss 1.7538 | lr 2.01e-04 | grad 0.88 | tok/s 76292
step    650 | loss 1.5687 | lr 1.55e-04 | grad 0.96 | tok/s 74836
step    660 | loss 1.8496 | lr 1.09e-04 | grad 4.91 | tok/s 73684
step    670 | loss 1.7063 | lr 6.65e-05 | grad 1.58 | tok/s 76760
step    680 | loss 1.6400 | lr 3.24e-05 | grad 0.95 | tok/s 74057
step    690 | loss 1.6839 | lr 9.84e-06 | grad 1.47 | tok/s 74402
step    700 | loss 1.7808 | lr 1.07e-06 | grad 1.48 | tok/s 74896
step    710 | loss 1.7014 | lr 6.94e-06 | grad 1.12 | tok/s 75041
step    720 | loss 1.7911 | lr 2.68e-05 | grad 1.62 | tok/s 74972
step    730 | loss 1.7611 | lr 5.89e-05 | grad 1.26 | tok/s 75783
step    740 | loss 1.6930 | lr 9.99e-05 | grad 1.64 | tok/s 75287
step    750 | loss 1.4936 | lr 1.46e-04 | grad 1.27 | tok/s 74329
step    760 | loss 1.8425 | lr 1.92e-04 | grad 0.68 | tok/s 74970
step    770 | loss 1.5532 | lr 2.35e-04 | grad 1.00 | tok/s 74696
step    780 | loss 1.6051 | lr 2.69e-04 | grad 0.79 | tok/s 75504
step    790 | loss 1.5019 | lr 2.91e-04 | grad 0.65 | tok/s 76080
step    800 | loss 1.5064 | lr 3.00e-04 | grad 0.95 | tok/s 76136
step    810 | loss 1.5977 | lr 2.94e-04 | grad 1.72 | tok/s 75227
step    820 | loss 2.3422 | lr 2.74e-04 | grad 1.37 | tok/s 77799
step    830 | loss 1.8805 | lr 2.42e-04 | grad 0.74 | tok/s 78487
step    840 | loss 1.5000 | lr 2.01e-04 | grad 0.59 | tok/s 78439
step    850 | loss 1.9326 | lr 1.55e-04 | grad 1.12 | tok/s 74943
step    860 | loss 1.6732 | lr 1.09e-04 | grad 0.89 | tok/s 73095
step    870 | loss 1.5822 | lr 6.65e-05 | grad 0.84 | tok/s 75411
step    880 | loss 1.6385 | lr 3.24e-05 | grad 1.02 | tok/s 75185
step    890 | loss 1.5850 | lr 9.84e-06 | grad 0.88 | tok/s 74974
step    900 | loss 1.9555 | lr 1.07e-06 | grad 0.91 | tok/s 73127
step    910 | loss 1.6134 | lr 6.94e-06 | grad 0.69 | tok/s 74207
step    920 | loss 1.6078 | lr 2.68e-05 | grad 0.77 | tok/s 74344
step    930 | loss 1.6971 | lr 5.89e-05 | grad 1.46 | tok/s 74128
step    940 | loss 1.6075 | lr 9.99e-05 | grad 1.73 | tok/s 73171
step    950 | loss 1.6497 | lr 1.46e-04 | grad 0.93 | tok/s 74907
step    960 | loss 1.4372 | lr 1.92e-04 | grad 0.60 | tok/s 78415
step    970 | loss 1.2790 | lr 2.35e-04 | grad 0.44 | tok/s 78694
step    980 | loss 1.4151 | lr 2.69e-04 | grad 2.05 | tok/s 76220
step    990 | loss 1.6973 | lr 2.91e-04 | grad 0.70 | tok/s 74354
step   1000 | loss 1.6074 | lr 3.00e-04 | grad 0.65 | tok/s 72374
  >>> saved checkpoint: checkpoint_step_001000_loss_1.6074.pt
step   1010 | loss 1.7426 | lr 2.94e-04 | grad 0.96 | tok/s 58890
step   1020 | loss 1.4179 | lr 2.74e-04 | grad 0.76 | tok/s 74559
step   1030 | loss 1.8855 | lr 2.42e-04 | grad 0.83 | tok/s 73195
step   1040 | loss 1.5213 | lr 2.01e-04 | grad 1.08 | tok/s 74622
step   1050 | loss 1.5373 | lr 1.55e-04 | grad 0.66 | tok/s 74840
step   1060 | loss 1.6411 | lr 1.09e-04 | grad 1.27 | tok/s 74975
step   1070 | loss 1.7888 | lr 6.65e-05 | grad 0.78 | tok/s 75479
step   1080 | loss 2.1747 | lr 3.24e-05 | grad 0.98 | tok/s 74579
step   1090 | loss 1.8866 | lr 9.84e-06 | grad 0.82 | tok/s 75045
step   1100 | loss 1.5599 | lr 1.07e-06 | grad 0.63 | tok/s 74490
step   1110 | loss 1.5487 | lr 6.93e-06 | grad 0.84 | tok/s 75468
step   1120 | loss 1.7469 | lr 2.68e-05 | grad 0.77 | tok/s 76923
step   1130 | loss 1.5865 | lr 5.89e-05 | grad 0.68 | tok/s 73016
step   1140 | loss 1.4584 | lr 9.99e-05 | grad 0.55 | tok/s 74845
step   1150 | loss 1.7057 | lr 1.46e-04 | grad 1.07 | tok/s 74554
step   1160 | loss 1.4113 | lr 1.92e-04 | grad 0.52 | tok/s 73760
step   1170 | loss 1.7125 | lr 2.35e-04 | grad 0.78 | tok/s 74772
step   1180 | loss 1.4754 | lr 2.69e-04 | grad 0.65 | tok/s 78281
step   1190 | loss 1.3240 | lr 2.91e-04 | grad 0.55 | tok/s 78494
step   1200 | loss 1.2436 | lr 3.00e-04 | grad 0.54 | tok/s 78267
step   1210 | loss 1.2182 | lr 2.94e-04 | grad 0.62 | tok/s 78279
step   1220 | loss 1.2601 | lr 2.74e-04 | grad 0.80 | tok/s 77758
step   1230 | loss 1.4589 | lr 2.42e-04 | grad 0.67 | tok/s 75152
step   1240 | loss 1.5083 | lr 2.01e-04 | grad 0.61 | tok/s 74262
step   1250 | loss 1.6033 | lr 1.55e-04 | grad 3.17 | tok/s 76538
step   1260 | loss 1.6438 | lr 1.09e-04 | grad 2.16 | tok/s 76204
step   1270 | loss 1.6909 | lr 6.65e-05 | grad 1.18 | tok/s 75591
step   1280 | loss 1.5512 | lr 3.24e-05 | grad 0.75 | tok/s 74722
step   1290 | loss 1.5012 | lr 9.84e-06 | grad 0.79 | tok/s 74183
step   1300 | loss 1.5468 | lr 1.07e-06 | grad 0.65 | tok/s 74181
step   1310 | loss 1.6316 | lr 6.93e-06 | grad 0.66 | tok/s 74072
step   1320 | loss 1.6131 | lr 2.68e-05 | grad 1.01 | tok/s 75406
step   1330 | loss 1.5171 | lr 5.89e-05 | grad 0.52 | tok/s 75394
step   1340 | loss 1.4242 | lr 9.99e-05 | grad 0.85 | tok/s 74961
step   1350 | loss 1.4531 | lr 1.46e-04 | grad 1.28 | tok/s 77023
step   1360 | loss 1.4381 | lr 1.92e-04 | grad 0.66 | tok/s 73630
step   1370 | loss 1.5240 | lr 2.35e-04 | grad 0.60 | tok/s 74384
step   1380 | loss 1.5889 | lr 2.69e-04 | grad 0.72 | tok/s 74878
step   1390 | loss 1.5309 | lr 2.91e-04 | grad 1.28 | tok/s 73703
step   1400 | loss 1.5561 | lr 3.00e-04 | grad 8.00 | tok/s 76223
step   1410 | loss 1.5324 | lr 2.94e-04 | grad 0.82 | tok/s 77083
step   1420 | loss 1.5925 | lr 2.74e-04 | grad 0.67 | tok/s 73380
step   1430 | loss 1.4314 | lr 2.42e-04 | grad 0.66 | tok/s 71343
step   1440 | loss 1.3545 | lr 2.01e-04 | grad 0.55 | tok/s 75437
step   1450 | loss 1.3532 | lr 1.55e-04 | grad 1.24 | tok/s 77212
step   1460 | loss 1.4740 | lr 1.09e-04 | grad 0.51 | tok/s 71901
step   1470 | loss 1.5634 | lr 6.65e-05 | grad 2.05 | tok/s 74723
step   1480 | loss 1.4395 | lr 3.24e-05 | grad 1.66 | tok/s 75528
step   1490 | loss 1.5826 | lr 9.84e-06 | grad 1.79 | tok/s 75115
step   1500 | loss 1.6725 | lr 1.07e-06 | grad 1.91 | tok/s 73405
step   1510 | loss 1.5608 | lr 6.93e-06 | grad 0.95 | tok/s 76987
step   1520 | loss 1.5155 | lr 2.68e-05 | grad 1.09 | tok/s 76309
step   1530 | loss 1.4894 | lr 5.89e-05 | grad 0.51 | tok/s 76140
step   1540 | loss 1.4615 | lr 9.99e-05 | grad 0.45 | tok/s 74316
step   1550 | loss 1.4450 | lr 1.46e-04 | grad 2.70 | tok/s 77173
step   1560 | loss 1.8993 | lr 1.92e-04 | grad 0.88 | tok/s 75557
step   1570 | loss 1.4679 | lr 2.35e-04 | grad 0.90 | tok/s 73685
step   1580 | loss 1.6020 | lr 2.69e-04 | grad 0.95 | tok/s 76077
step   1590 | loss 1.4249 | lr 2.91e-04 | grad 0.54 | tok/s 74631
step   1600 | loss 1.5553 | lr 3.00e-04 | grad 0.66 | tok/s 72958
step   1610 | loss 1.3510 | lr 2.94e-04 | grad 0.72 | tok/s 77611
step   1620 | loss 1.5430 | lr 2.74e-04 | grad 0.49 | tok/s 76210
step   1630 | loss 1.4901 | lr 2.42e-04 | grad 0.69 | tok/s 76757
step   1640 | loss 1.4452 | lr 2.01e-04 | grad 0.59 | tok/s 74232
step   1650 | loss 1.4734 | lr 1.55e-04 | grad 0.87 | tok/s 73276
step   1660 | loss 1.4611 | lr 1.09e-04 | grad 0.54 | tok/s 73217
step   1670 | loss 1.4908 | lr 6.65e-05 | grad 1.56 | tok/s 76776
step   1680 | loss 1.9553 | lr 3.24e-05 | grad 0.49 | tok/s 76672
step   1690 | loss 1.4434 | lr 9.84e-06 | grad 0.84 | tok/s 75052
step   1700 | loss 1.6515 | lr 1.07e-06 | grad 0.49 | tok/s 69488
step   1710 | loss 1.4843 | lr 6.93e-06 | grad 0.92 | tok/s 74290
step   1720 | loss 1.4508 | lr 2.68e-05 | grad 0.58 | tok/s 74616
step   1730 | loss 1.5735 | lr 5.89e-05 | grad 0.75 | tok/s 74581
step   1740 | loss 1.4891 | lr 9.99e-05 | grad 0.55 | tok/s 75845
step   1750 | loss 1.4247 | lr 1.46e-04 | grad 0.52 | tok/s 73158
