# Job 0: mamba2
# GPU: 0
# Command: python train.py --level mamba2 --dim 896 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m_balanced/mamba2
# Started: 2026-01-20T16:39:11.909120
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m_balanced/mamba2/levelmamba2_100m_20260120_163916
Model: Level mamba2, 101,936,528 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4576 | lr 2.70e-05 | grad 5.00 | tok/s 9756
step     20 | loss 4.3084 | lr 5.70e-05 | grad 6.47 | tok/s 64990
step     30 | loss 4.5681 | lr 8.70e-05 | grad 3.27 | tok/s 68405
step     40 | loss 3.1653 | lr 1.17e-04 | grad 1.87 | tok/s 67987
step     50 | loss 2.3871 | lr 1.47e-04 | grad 1.48 | tok/s 67676
step     60 | loss 2.7602 | lr 1.77e-04 | grad 3.27 | tok/s 65845
step     70 | loss 2.4718 | lr 2.07e-04 | grad 1.88 | tok/s 63378
step     80 | loss 2.8034 | lr 2.37e-04 | grad 3.17 | tok/s 65462
step     90 | loss 2.7418 | lr 2.67e-04 | grad 4.06 | tok/s 62880
step    100 | loss 2.2444 | lr 2.97e-04 | grad 1.20 | tok/s 63061
step    110 | loss 2.2790 | lr 6.94e-06 | grad 1.96 | tok/s 60536
step    120 | loss 2.4862 | lr 2.69e-05 | grad 1.52 | tok/s 60148
step    130 | loss 2.3558 | lr 5.89e-05 | grad 1.16 | tok/s 61218
step    140 | loss 2.0979 | lr 9.99e-05 | grad 1.00 | tok/s 61221
step    150 | loss 1.9594 | lr 1.46e-04 | grad 1.89 | tok/s 58321
step    160 | loss 1.8689 | lr 1.92e-04 | grad 1.62 | tok/s 58562
step    170 | loss 2.0566 | lr 2.35e-04 | grad 3.31 | tok/s 60067
step    180 | loss 2.0397 | lr 2.69e-04 | grad 1.27 | tok/s 60216
step    190 | loss 1.7566 | lr 2.91e-04 | grad 1.27 | tok/s 61181
step    200 | loss 1.3556 | lr 3.00e-04 | grad 1.05 | tok/s 62601
step    210 | loss 2.1305 | lr 2.94e-04 | grad 1.70 | tok/s 59830
step    220 | loss 1.9252 | lr 2.74e-04 | grad 1.30 | tok/s 61427
step    230 | loss 1.8177 | lr 2.42e-04 | grad 1.48 | tok/s 59219
step    240 | loss 1.7893 | lr 2.01e-04 | grad 1.50 | tok/s 60501
step    250 | loss 1.7935 | lr 1.55e-04 | grad 1.31 | tok/s 59421
step    260 | loss 1.8799 | lr 1.09e-04 | grad 0.85 | tok/s 56943
step    270 | loss 1.7249 | lr 6.65e-05 | grad 0.95 | tok/s 59028
step    280 | loss 1.6074 | lr 3.24e-05 | grad 1.73 | tok/s 58981
step    290 | loss 1.6134 | lr 9.84e-06 | grad 0.76 | tok/s 62062
step    300 | loss 1.5959 | lr 1.07e-06 | grad 0.86 | tok/s 61830
step    310 | loss 1.5800 | lr 6.94e-06 | grad 0.68 | tok/s 61595
step    320 | loss 1.6812 | lr 2.69e-05 | grad 1.66 | tok/s 59378
step    330 | loss 1.7106 | lr 5.89e-05 | grad 0.79 | tok/s 57672
step    340 | loss 1.7108 | lr 9.99e-05 | grad 2.14 | tok/s 58971
step    350 | loss 1.7274 | lr 1.46e-04 | grad 0.92 | tok/s 57237
step    360 | loss 1.6735 | lr 1.92e-04 | grad 2.34 | tok/s 57997
step    370 | loss 1.5137 | lr 2.35e-04 | grad 1.00 | tok/s 59101
step    380 | loss 1.9893 | lr 2.69e-04 | grad 1.07 | tok/s 60483
step    390 | loss 1.7125 | lr 2.91e-04 | grad 1.48 | tok/s 58283
step    400 | loss 1.8051 | lr 3.00e-04 | grad 2.34 | tok/s 59804
step    410 | loss 1.5779 | lr 2.94e-04 | grad 2.38 | tok/s 58073
step    420 | loss 1.7137 | lr 2.74e-04 | grad 1.22 | tok/s 57516
step    430 | loss 1.8065 | lr 2.42e-04 | grad 1.23 | tok/s 57018
step    440 | loss 1.8281 | lr 2.01e-04 | grad 0.89 | tok/s 59506
step    450 | loss 1.6847 | lr 1.55e-04 | grad 0.78 | tok/s 57547
step    460 | loss 1.6713 | lr 1.09e-04 | grad 0.68 | tok/s 57904
step    470 | loss 1.6167 | lr 6.65e-05 | grad 1.02 | tok/s 58309
step    480 | loss 1.5200 | lr 3.24e-05 | grad 0.61 | tok/s 56530
step    490 | loss 1.5158 | lr 9.84e-06 | grad 0.64 | tok/s 57469
step    500 | loss 2.4375 | lr 1.07e-06 | grad 0.98 | tok/s 59357
step    510 | loss 1.5766 | lr 6.94e-06 | grad 0.71 | tok/s 58114
step    520 | loss 1.6102 | lr 2.69e-05 | grad 0.63 | tok/s 59814
