# Job 3: E88h16n32
# GPU: 3
# Command: python train.py --level E88h16 --dim 1152 --expansion 2.0 --n_state 32 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/e88_100m_balanced/E88h16n32
# Started: 2026-01-20T16:39:11.910788
============================================================

Using device: cuda
Output directory: benchmark_results/e88_100m_balanced/E88h16n32/levelE88h16_100m_20260120_163917
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88h16, 95,225,344 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.7294 | lr 2.70e-05 | grad 129.00 | tok/s 14621
step     20 | loss 5.2777 | lr 5.70e-05 | grad 61.00 | tok/s 26287
step     30 | loss 5.2160 | lr 8.70e-05 | grad 48.25 | tok/s 27687
step     40 | loss 4.7108 | lr 1.17e-04 | grad 34.50 | tok/s 27558
step     50 | loss 4.4312 | lr 1.47e-04 | grad 22.88 | tok/s 27366
step     60 | loss 4.2637 | lr 1.77e-04 | grad 54.50 | tok/s 26737
step     70 | loss 3.3717 | lr 2.07e-04 | grad 3.94 | tok/s 25658
step     80 | loss 3.4941 | lr 2.37e-04 | grad 3.78 | tok/s 26543
step     90 | loss 3.4507 | lr 2.67e-04 | grad 4.34 | tok/s 25515
step    100 | loss 3.2733 | lr 2.97e-04 | grad 1.57 | tok/s 25670
step    110 | loss 3.2017 | lr 6.94e-06 | grad 2.19 | tok/s 24292
step    120 | loss 3.5866 | lr 2.69e-05 | grad 1.73 | tok/s 24018
step    130 | loss 3.3771 | lr 5.89e-05 | grad 1.61 | tok/s 24573
step    140 | loss 3.1419 | lr 9.99e-05 | grad 0.98 | tok/s 24614
step    150 | loss 3.0370 | lr 1.46e-04 | grad 3.03 | tok/s 23437
step    160 | loss 2.8987 | lr 1.92e-04 | grad 1.99 | tok/s 23600
step    170 | loss 2.9579 | lr 2.35e-04 | grad 5.66 | tok/s 24462
step    180 | loss 2.9004 | lr 2.69e-04 | grad 2.66 | tok/s 24476
step    190 | loss 2.5513 | lr 2.91e-04 | grad 1.76 | tok/s 24849
step    200 | loss 2.1861 | lr 3.00e-04 | grad 1.48 | tok/s 25450
step    210 | loss 2.6085 | lr 2.94e-04 | grad 2.38 | tok/s 24374
step    220 | loss 2.4794 | lr 2.74e-04 | grad 1.32 | tok/s 25184
step    230 | loss 2.2953 | lr 2.42e-04 | grad 2.28 | tok/s 24334
step    240 | loss 2.3065 | lr 2.01e-04 | grad 1.93 | tok/s 24868
step    250 | loss 2.2424 | lr 1.55e-04 | grad 1.44 | tok/s 24508
step    260 | loss 2.2780 | lr 1.09e-04 | grad 0.89 | tok/s 23501
step    270 | loss 2.1275 | lr 6.65e-05 | grad 1.16 | tok/s 24389
step    280 | loss 2.0323 | lr 3.24e-05 | grad 2.09 | tok/s 24357
step    290 | loss 2.0452 | lr 9.84e-06 | grad 1.07 | tok/s 25713
step    300 | loss 2.0169 | lr 1.07e-06 | grad 1.05 | tok/s 25713
step    310 | loss 2.0185 | lr 6.94e-06 | grad 0.91 | tok/s 25684
step    320 | loss 2.1129 | lr 2.69e-05 | grad 2.17 | tok/s 24775
step    330 | loss 2.1564 | lr 5.89e-05 | grad 0.97 | tok/s 24006
step    340 | loss 2.1631 | lr 9.99e-05 | grad 2.34 | tok/s 24670
