# Job 0: fla-gdn
# GPU: 0
# Command: python train.py --level fla-gdn --dim 768 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e88_nstate_20260122_150556/fla-gdn
# Started: 2026-01-22T15:06:04.905905
============================================================

Using device: cuda
Output directory: benchmark_results/e88_nstate_20260122_150556/fla-gdn/levelfla-gdn_100m_20260122_150610
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 59,566,576 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.1923 | lr 3.00e-04 | grad 14.88 | tok/s 19916
step     20 | loss 3.8448 | lr 3.00e-04 | grad 7.84 | tok/s 97836
step     30 | loss 5.4367 | lr 3.00e-04 | grad 8.00 | tok/s 103162
step     40 | loss 4.3216 | lr 3.00e-04 | grad 6.38 | tok/s 103728
step     50 | loss 3.9049 | lr 3.00e-04 | grad 6.25 | tok/s 112473
step     60 | loss 3.6666 | lr 3.00e-04 | grad 1.99 | tok/s 114693
step     70 | loss 3.1535 | lr 3.00e-04 | grad 1.34 | tok/s 112628
step     80 | loss 3.3404 | lr 3.00e-04 | grad 2.39 | tok/s 84011
step     90 | loss 3.1987 | lr 3.00e-04 | grad 5.03 | tok/s 65083
step    100 | loss 2.8994 | lr 3.00e-04 | grad 2.47 | tok/s 64564
step    110 | loss 2.7362 | lr 3.00e-04 | grad 1.93 | tok/s 65573
step    120 | loss 2.8817 | lr 3.00e-04 | grad 1.39 | tok/s 63640
step    130 | loss 2.7174 | lr 3.00e-04 | grad 2.12 | tok/s 67143
step    140 | loss 2.4789 | lr 3.00e-04 | grad 1.59 | tok/s 69732
step    150 | loss 2.3534 | lr 3.00e-04 | grad 2.36 | tok/s 64646
step    160 | loss 2.2626 | lr 3.00e-04 | grad 1.82 | tok/s 64585
step    170 | loss 2.4310 | lr 3.00e-04 | grad 11.94 | tok/s 67469
step    180 | loss 2.4552 | lr 3.00e-04 | grad 1.14 | tok/s 67100
step    190 | loss 2.1853 | lr 3.00e-04 | grad 1.79 | tok/s 67016
step    200 | loss 1.9818 | lr 3.00e-04 | grad 1.42 | tok/s 71172
step    210 | loss 2.2930 | lr 3.00e-04 | grad 1.98 | tok/s 68904
step    220 | loss 2.2544 | lr 3.00e-04 | grad 1.73 | tok/s 72332
step    230 | loss 2.1055 | lr 3.00e-04 | grad 2.22 | tok/s 75004
step    240 | loss 2.1849 | lr 3.00e-04 | grad 2.17 | tok/s 72310
step    250 | loss 2.0921 | lr 3.00e-04 | grad 1.65 | tok/s 71318
step    260 | loss 2.1360 | lr 3.00e-04 | grad 1.25 | tok/s 66265
step    270 | loss 2.0151 | lr 3.00e-04 | grad 1.38 | tok/s 66747
step    280 | loss 1.9188 | lr 3.00e-04 | grad 2.36 | tok/s 66615
step    290 | loss 1.8401 | lr 3.00e-04 | grad 1.51 | tok/s 79580
step    300 | loss 1.7426 | lr 3.00e-04 | grad 1.38 | tok/s 82279
step    310 | loss 1.6853 | lr 3.00e-04 | grad 1.13 | tok/s 92092
step    320 | loss 1.8573 | lr 3.00e-04 | grad 2.03 | tok/s 94995
step    330 | loss 1.9576 | lr 3.00e-04 | grad 1.46 | tok/s 81243
