# Job 1: mamba2
# GPU: 1
# Command: python train.py --level mamba2 --dim 896 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e88_nstate_20260122_150556/mamba2
# Started: 2026-01-22T15:06:04.906628
============================================================

Using device: cuda
Output directory: benchmark_results/e88_nstate_20260122_150556/mamba2/levelmamba2_100m_20260122_150610
Model: Level mamba2, 101,936,528 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 3.2654 | lr 3.00e-04 | grad 3.05 | tok/s 9768
step     20 | loss 2.7133 | lr 3.00e-04 | grad 6.91 | tok/s 67915
step     30 | loss 3.5857 | lr 3.00e-04 | grad 1.58 | tok/s 71442
step     40 | loss 2.4253 | lr 3.00e-04 | grad 1.29 | tok/s 71267
step     50 | loss 2.0542 | lr 3.00e-04 | grad 1.27 | tok/s 70918
step     60 | loss 2.3645 | lr 3.00e-04 | grad 1.80 | tok/s 69293
step     70 | loss 2.0896 | lr 3.00e-04 | grad 1.73 | tok/s 66650
step     80 | loss 2.4013 | lr 3.00e-04 | grad 2.42 | tok/s 69106
step     90 | loss 2.2560 | lr 3.00e-04 | grad 3.95 | tok/s 66493
step    100 | loss 1.9162 | lr 3.00e-04 | grad 1.14 | tok/s 66940
step    110 | loss 1.8966 | lr 3.00e-04 | grad 1.95 | tok/s 65756
step    120 | loss 1.9426 | lr 3.00e-04 | grad 1.26 | tok/s 64643
step    130 | loss 1.9611 | lr 3.00e-04 | grad 1.12 | tok/s 65953
step    140 | loss 1.8302 | lr 3.00e-04 | grad 1.31 | tok/s 65869
step    150 | loss 1.7284 | lr 3.00e-04 | grad 2.02 | tok/s 62765
step    160 | loss 1.7108 | lr 3.00e-04 | grad 1.77 | tok/s 63218
step    170 | loss 1.8595 | lr 3.00e-04 | grad 4.31 | tok/s 65184
