# Job 3: E88_h24n24
# GPU: 3
# Command: python train.py --level E88f_h24n24 --dim 1536 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e88_nstate_20260122_150556/E88_h24n24
# Started: 2026-01-22T15:06:04.906521
============================================================

Using device: cuda
Output directory: benchmark_results/e88_nstate_20260122_150556/E88_h24n24/levelE88f_h24n24_100m_20260122_150611
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88f_h24n24, 71,943,072 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 3.8097 | lr 3.00e-04 | grad 6.06 | tok/s 23108
step     20 | loss 3.2380 | lr 3.00e-04 | grad 10.75 | tok/s 65552
step     30 | loss 4.3401 | lr 3.00e-04 | grad 4.19 | tok/s 69629
step     40 | loss 3.1063 | lr 3.00e-04 | grad 2.50 | tok/s 68597
step     50 | loss 2.5405 | lr 3.00e-04 | grad 2.14 | tok/s 68958
step     60 | loss 2.8050 | lr 3.00e-04 | grad 2.69 | tok/s 67140
step     70 | loss 2.5226 | lr 3.00e-04 | grad 2.12 | tok/s 64816
step     80 | loss 2.6640 | lr 3.00e-04 | grad 2.59 | tok/s 66529
step     90 | loss 2.6202 | lr 3.00e-04 | grad 7.34 | tok/s 65436
step    100 | loss 2.3267 | lr 3.00e-04 | grad 1.95 | tok/s 65763
step    110 | loss 2.3031 | lr 3.00e-04 | grad 2.14 | tok/s 63677
step    120 | loss 2.3185 | lr 3.00e-04 | grad 1.66 | tok/s 63023
step    130 | loss 2.3339 | lr 3.00e-04 | grad 1.70 | tok/s 64320
step    140 | loss 2.1518 | lr 3.00e-04 | grad 1.91 | tok/s 65956
step    150 | loss 2.0492 | lr 3.00e-04 | grad 2.58 | tok/s 61656
step    160 | loss 1.9943 | lr 3.00e-04 | grad 2.19 | tok/s 63424
step    170 | loss 2.1618 | lr 3.00e-04 | grad 7.19 | tok/s 65458
step    180 | loss 2.1554 | lr 3.00e-04 | grad 1.36 | tok/s 65190
