# Job 4: E88_h8n32
# GPU: 4
# Command: python train.py --level E88e_h8_75m --dim 1920 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e88_nstate_20260122_150556/E88_h8n32
# Started: 2026-01-22T15:06:04.907260
============================================================

Using device: cuda
Output directory: benchmark_results/e88_nstate_20260122_150556/E88_h8n32/levelE88e_h8_75m_100m_20260122_150610
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88e_h8_75m, 40,161,600 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 3.9394 | lr 3.00e-04 | grad 5.81 | tok/s 25580
step     20 | loss 3.1780 | lr 3.00e-04 | grad 9.19 | tok/s 97084
step     30 | loss 4.1389 | lr 3.00e-04 | grad 3.34 | tok/s 105326
step     40 | loss 2.9186 | lr 3.00e-04 | grad 3.34 | tok/s 104372
step     50 | loss 2.4207 | lr 3.00e-04 | grad 2.16 | tok/s 103724
step     60 | loss 2.8324 | lr 3.00e-04 | grad 2.89 | tok/s 99719
step     70 | loss 2.5173 | lr 3.00e-04 | grad 2.27 | tok/s 97987
step     80 | loss 2.7872 | lr 3.00e-04 | grad 2.92 | tok/s 104619
step     90 | loss 2.6731 | lr 3.00e-04 | grad 6.25 | tok/s 98281
step    100 | loss 2.3762 | lr 3.00e-04 | grad 1.91 | tok/s 99190
step    110 | loss 2.3326 | lr 3.00e-04 | grad 2.47 | tok/s 97201
step    120 | loss 2.3283 | lr 3.00e-04 | grad 1.80 | tok/s 92916
step    130 | loss 2.3839 | lr 3.00e-04 | grad 1.66 | tok/s 98041
step    140 | loss 2.1986 | lr 3.00e-04 | grad 1.89 | tok/s 94879
step    150 | loss 2.1074 | lr 3.00e-04 | grad 2.78 | tok/s 91143
step    160 | loss 2.0450 | lr 3.00e-04 | grad 2.36 | tok/s 91939
step    170 | loss 2.2097 | lr 3.00e-04 | grad 5.81 | tok/s 96081
step    180 | loss 2.2232 | lr 3.00e-04 | grad 1.48 | tok/s 97207
step    190 | loss 1.9659 | lr 3.00e-04 | grad 2.03 | tok/s 96465
step    200 | loss 1.7458 | lr 3.00e-04 | grad 1.88 | tok/s 99277
step    210 | loss 2.1340 | lr 3.00e-04 | grad 3.08 | tok/s 95412
step    220 | loss 2.0709 | lr 3.00e-04 | grad 1.67 | tok/s 89084
