# Job 5: E88_h16n32_gate
# GPU: 5
# Command: python train.py --level E88b_nonorm --dim 1536 --depth 20 --data data/pile.txt --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10.0 --output benchmark_results/e88_nstate_20260122_150556/E88_h16n32_gate
# Started: 2026-01-22T15:06:04.908096
============================================================

Using device: cuda
Output directory: benchmark_results/e88_nstate_20260122_150556/E88_h16n32_gate/levelE88b_nonorm_100m_20260122_150610
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88b_nonorm, 79,561,472 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 3.7744 | lr 3.00e-04 | grad 4.94 | tok/s 22907
step     20 | loss 3.1212 | lr 3.00e-04 | grad 8.94 | tok/s 68065
step     30 | loss 4.2210 | lr 3.00e-04 | grad 4.00 | tok/s 70423
step     40 | loss 2.9436 | lr 3.00e-04 | grad 3.44 | tok/s 71280
step     50 | loss 2.4201 | lr 3.00e-04 | grad 1.88 | tok/s 71044
step     60 | loss 2.7782 | lr 3.00e-04 | grad 2.53 | tok/s 68860
step     70 | loss 2.4720 | lr 3.00e-04 | grad 1.98 | tok/s 66507
step     80 | loss 2.6628 | lr 3.00e-04 | grad 2.61 | tok/s 69081
step     90 | loss 2.6027 | lr 3.00e-04 | grad 6.00 | tok/s 66843
step    100 | loss 2.2946 | lr 3.00e-04 | grad 1.62 | tok/s 67718
step    110 | loss 2.2838 | lr 3.00e-04 | grad 2.19 | tok/s 67016
step    120 | loss 2.2770 | lr 3.00e-04 | grad 1.59 | tok/s 65585
step    130 | loss 2.3213 | lr 3.00e-04 | grad 1.50 | tok/s 67057
step    140 | loss 2.1414 | lr 3.00e-04 | grad 1.59 | tok/s 67361
step    150 | loss 2.0418 | lr 3.00e-04 | grad 2.55 | tok/s 63209
step    160 | loss 1.9795 | lr 3.00e-04 | grad 2.02 | tok/s 64322
step    170 | loss 2.1507 | lr 3.00e-04 | grad 6.84 | tok/s 66338
step    180 | loss 2.1593 | lr 3.00e-04 | grad 1.32 | tok/s 65091
step    190 | loss 1.8930 | lr 3.00e-04 | grad 1.84 | tok/s 67086
step    200 | loss 1.6422 | lr 3.00e-04 | grad 1.65 | tok/s 68942
step    210 | loss 2.0733 | lr 3.00e-04 | grad 2.59 | tok/s 65163
step    220 | loss 1.9941 | lr 3.00e-04 | grad 1.55 | tok/s 67245
step    230 | loss 1.8894 | lr 3.00e-04 | grad 2.94 | tok/s 65355
step    240 | loss 1.9192 | lr 3.00e-04 | grad 2.72 | tok/s 66778
step    250 | loss 1.8934 | lr 3.00e-04 | grad 2.02 | tok/s 65279
step    260 | loss 1.9405 | lr 3.00e-04 | grad 1.38 | tok/s 62458
step    270 | loss 1.8388 | lr 3.00e-04 | grad 1.63 | tok/s 64399
step    280 | loss 1.7386 | lr 3.00e-04 | grad 2.77 | tok/s 64596
step    290 | loss 1.6500 | lr 3.00e-04 | grad 1.82 | tok/s 67756
step    300 | loss 1.5826 | lr 3.00e-04 | grad 1.62 | tok/s 67640
step    310 | loss 1.5306 | lr 3.00e-04 | grad 1.39 | tok/s 67732
step    320 | loss 1.7092 | lr 3.00e-04 | grad 3.52 | tok/s 65329
step    330 | loss 1.8107 | lr 3.00e-04 | grad 1.84 | tok/s 63481
step    340 | loss 1.8131 | lr 3.00e-04 | grad 4.06 | tok/s 64701
step    350 | loss 1.8326 | lr 3.00e-04 | grad 1.81 | tok/s 62838
step    360 | loss 1.7963 | lr 3.00e-04 | grad 4.91 | tok/s 63645
step    370 | loss 1.6151 | lr 3.00e-04 | grad 1.62 | tok/s 64756
step    380 | loss 2.0652 | lr 3.00e-04 | grad 2.00 | tok/s 66479
step    390 | loss 1.7293 | lr 3.00e-04 | grad 1.54 | tok/s 64437
step    400 | loss 1.8145 | lr 3.00e-04 | grad 3.89 | tok/s 65789
step    410 | loss 1.5675 | lr 3.00e-04 | grad 3.47 | tok/s 63772
step    420 | loss 1.7102 | lr 3.00e-04 | grad 2.19 | tok/s 63119
step    430 | loss 1.8200 | lr 3.00e-04 | grad 2.41 | tok/s 63187
step    440 | loss 1.8404 | lr 3.00e-04 | grad 1.64 | tok/s 65530
step    450 | loss 1.7138 | lr 3.00e-04 | grad 1.55 | tok/s 63730
step    460 | loss 1.7017 | lr 3.00e-04 | grad 1.62 | tok/s 63997
step    470 | loss 1.6735 | lr 3.00e-04 | grad 2.09 | tok/s 64788
step    480 | loss 1.6087 | lr 3.00e-04 | grad 1.59 | tok/s 62352
step    490 | loss 1.5950 | lr 3.00e-04 | grad 1.49 | tok/s 63568
step    500 | loss 2.2175 | lr 3.00e-04 | grad 2.48 | tok/s 65444
step    510 | loss 1.5484 | lr 3.00e-04 | grad 1.52 | tok/s 64046
step    520 | loss 1.5690 | lr 3.00e-04 | grad 1.60 | tok/s 65913
step    530 | loss 2.0831 | lr 3.00e-04 | grad 1.66 | tok/s 64392
step    540 | loss 1.5321 | lr 3.00e-04 | grad 2.19 | tok/s 64811
step    550 | loss 1.4826 | lr 3.00e-04 | grad 1.61 | tok/s 66277
step    560 | loss 1.3890 | lr 3.00e-04 | grad 1.59 | tok/s 67415
step    570 | loss 1.6208 | lr 3.00e-04 | grad 3.38 | tok/s 66865
step    580 | loss 1.8510 | lr 3.00e-04 | grad 1.59 | tok/s 66080
step    590 | loss 2.0537 | lr 3.00e-04 | grad 2.25 | tok/s 64217
step    600 | loss 1.6158 | lr 3.00e-04 | grad 2.72 | tok/s 65102
step    610 | loss 1.6250 | lr 3.00e-04 | grad 1.74 | tok/s 68405
step    620 | loss 1.5815 | lr 3.00e-04 | grad 1.73 | tok/s 64715
step    630 | loss 1.5198 | lr 3.00e-04 | grad 1.70 | tok/s 66880
step    640 | loss 1.7651 | lr 3.00e-04 | grad 1.71 | tok/s 66699
step    650 | loss 1.5872 | lr 3.00e-04 | grad 2.31 | tok/s 65901
step    660 | loss 1.8184 | lr 3.00e-04 | grad 7.22 | tok/s 64746
step    670 | loss 1.7186 | lr 3.00e-04 | grad 2.64 | tok/s 66995
step    680 | loss 1.6716 | lr 3.00e-04 | grad 2.42 | tok/s 64742
step    690 | loss 1.6886 | lr 3.00e-04 | grad 2.78 | tok/s 65277
step    700 | loss 1.7652 | lr 3.00e-04 | grad 2.70 | tok/s 65611
step    710 | loss 1.6535 | lr 3.00e-04 | grad 1.91 | tok/s 65719
step    720 | loss 1.6387 | lr 3.00e-04 | grad 4.91 | tok/s 66025
step    730 | loss 1.7780 | lr 3.00e-04 | grad 2.77 | tok/s 65976
step    740 | loss 1.7209 | lr 3.00e-04 | grad 3.44 | tok/s 65715
step    750 | loss 1.5322 | lr 3.00e-04 | grad 2.77 | tok/s 64976
step    760 | loss 1.8030 | lr 3.00e-04 | grad 1.80 | tok/s 65884
step    770 | loss 1.5498 | lr 3.00e-04 | grad 2.45 | tok/s 65166
step    780 | loss 1.6180 | lr 3.00e-04 | grad 1.52 | tok/s 66319
step    790 | loss 1.5228 | lr 3.00e-04 | grad 1.55 | tok/s 66619
step    800 | loss 1.4990 | lr 3.00e-04 | grad 2.02 | tok/s 66561
step    810 | loss 1.5634 | lr 3.00e-04 | grad 4.44 | tok/s 65662
step    820 | loss 2.2953 | lr 3.00e-04 | grad 2.69 | tok/s 68035
step    830 | loss 2.0038 | lr 3.00e-04 | grad 2.27 | tok/s 68566
step    840 | loss 1.7526 | lr 3.00e-04 | grad 1.95 | tok/s 68520
step    850 | loss 1.7273 | lr 3.00e-04 | grad 2.06 | tok/s 65435
step    860 | loss 1.5558 | lr 3.00e-04 | grad 1.85 | tok/s 62750
