Using device: cuda
Output directory: benchmark_results/mega_100m_20260122_155533/fla-gdn/levelfla-gdn_100m_20260122_155943
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level fla-gdn, 105,717,568 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 4.7733 | lr 3.00e-04 | grad 9.56 | tok/s 24852
step     20 | loss 3.7019 | lr 3.00e-04 | grad 13.25 | tok/s 82381
step     30 | loss 5.2357 | lr 3.00e-04 | grad 12.75 | tok/s 86751
step     40 | loss 4.4474 | lr 3.00e-04 | grad 7.94 | tok/s 86447
step     50 | loss 3.4044 | lr 3.00e-04 | grad 3.92 | tok/s 86105
step     60 | loss 3.1659 | lr 3.00e-04 | grad 4.53 | tok/s 84189
step     70 | loss 2.7488 | lr 3.00e-04 | grad 2.72 | tok/s 81199
step     80 | loss 2.9044 | lr 3.00e-04 | grad 2.67 | tok/s 84240
step     90 | loss 2.8239 | lr 3.00e-04 | grad 5.25 | tok/s 80932
step    100 | loss 2.5418 | lr 3.00e-04 | grad 2.23 | tok/s 81397
step    110 | loss 2.4193 | lr 3.00e-04 | grad 2.09 | tok/s 80138
step    120 | loss 2.4883 | lr 3.00e-04 | grad 1.59 | tok/s 78914
step    130 | loss 2.4417 | lr 3.00e-04 | grad 1.58 | tok/s 80568
step    140 | loss 2.2017 | lr 3.00e-04 | grad 1.57 | tok/s 80354
step    150 | loss 2.0912 | lr 3.00e-04 | grad 2.41 | tok/s 76536
step    160 | loss 2.0024 | lr 3.00e-04 | grad 1.63 | tok/s 77364
step    170 | loss 2.1775 | lr 3.00e-04 | grad 8.50 | tok/s 79871
step    180 | loss 2.1883 | lr 3.00e-04 | grad 1.10 | tok/s 80157
step    190 | loss 1.8843 | lr 3.00e-04 | grad 1.59 | tok/s 81222
step    200 | loss 1.5718 | lr 3.00e-04 | grad 1.46 | tok/s 82931
step    210 | loss 2.0796 | lr 3.00e-04 | grad 2.03 | tok/s 79498
step    220 | loss 1.9861 | lr 3.00e-04 | grad 1.44 | tok/s 81819
step    230 | loss 1.8682 | lr 3.00e-04 | grad 2.28 | tok/s 79187
step    240 | loss 1.8977 | lr 3.00e-04 | grad 2.27 | tok/s 80737
step    250 | loss 1.8530 | lr 3.00e-04 | grad 1.57 | tok/s 79577
step    260 | loss 1.9162 | lr 3.00e-04 | grad 1.09 | tok/s 76394
step    270 | loss 1.8029 | lr 3.00e-04 | grad 1.37 | tok/s 79296
step    280 | loss 1.6973 | lr 3.00e-04 | grad 2.14 | tok/s 79119
step    290 | loss 1.5870 | lr 3.00e-04 | grad 1.39 | tok/s 83108
step    300 | loss 1.5117 | lr 3.00e-04 | grad 1.25 | tok/s 83136
step    310 | loss 1.4601 | lr 3.00e-04 | grad 1.03 | tok/s 83198
step    320 | loss 1.6449 | lr 3.00e-04 | grad 2.05 | tok/s 80136
step    330 | loss 1.7659 | lr 3.00e-04 | grad 1.26 | tok/s 78197
step    340 | loss 1.7571 | lr 3.00e-04 | grad 2.69 | tok/s 79757
step    350 | loss 1.7953 | lr 3.00e-04 | grad 1.80 | tok/s 77653
step    360 | loss 1.7514 | lr 3.00e-04 | grad 3.73 | tok/s 78577
step    370 | loss 1.5470 | lr 3.00e-04 | grad 1.27 | tok/s 79926
step    380 | loss 2.0192 | lr 3.00e-04 | grad 1.48 | tok/s 81954
step    390 | loss 1.6541 | lr 3.00e-04 | grad 1.14 | tok/s 78888
step    400 | loss 1.7627 | lr 3.00e-04 | grad 3.02 | tok/s 80984
step    410 | loss 1.5155 | lr 3.00e-04 | grad 2.42 | tok/s 78783
step    420 | loss 1.6362 | lr 3.00e-04 | grad 1.48 | tok/s 78036
step    430 | loss 1.7379 | lr 3.00e-04 | grad 1.73 | tok/s 77674
step    440 | loss 1.7903 | lr 3.00e-04 | grad 1.17 | tok/s 80614
step    450 | loss 1.6530 | lr 3.00e-04 | grad 1.13 | tok/s 78381
step    460 | loss 1.6416 | lr 3.00e-04 | grad 1.09 | tok/s 78677
step    470 | loss 1.6085 | lr 3.00e-04 | grad 1.51 | tok/s 79674
step    480 | loss 1.5452 | lr 3.00e-04 | grad 0.96 | tok/s 76896
step    490 | loss 1.5351 | lr 3.00e-04 | grad 1.05 | tok/s 78355
step    500 | loss 2.1588 | lr 3.00e-04 | grad 1.77 | tok/s 80679
step    510 | loss 1.5122 | lr 3.00e-04 | grad 1.04 | tok/s 79084
step    520 | loss 1.5064 | lr 3.00e-04 | grad 1.17 | tok/s 81493
step    530 | loss 2.0059 | lr 3.00e-04 | grad 1.41 | tok/s 79692
step    540 | loss 1.4646 | lr 3.00e-04 | grad 1.77 | tok/s 79744
step    550 | loss 1.4112 | lr 3.00e-04 | grad 1.09 | tok/s 81621
step    560 | loss 1.3201 | lr 3.00e-04 | grad 0.89 | tok/s 82707
step    570 | loss 1.5516 | lr 3.00e-04 | grad 2.59 | tok/s 81024
step    580 | loss 1.7945 | lr 3.00e-04 | grad 1.32 | tok/s 79963
step    590 | loss 1.9805 | lr 3.00e-04 | grad 1.41 | tok/s 78307
step    600 | loss 1.5410 | lr 3.00e-04 | grad 1.73 | tok/s 78719
step    610 | loss 1.5576 | lr 3.00e-04 | grad 1.38 | tok/s 82515
step    620 | loss 1.5073 | lr 3.00e-04 | grad 1.19 | tok/s 78235
step    630 | loss 1.4634 | lr 3.00e-04 | grad 1.16 | tok/s 80766
step    640 | loss 1.6784 | lr 3.00e-04 | grad 1.22 | tok/s 80854
step    650 | loss 1.5031 | lr 3.00e-04 | grad 1.52 | tok/s 79401
step    660 | loss 1.7448 | lr 3.00e-04 | grad 4.94 | tok/s 78366
step    670 | loss 1.6403 | lr 3.00e-04 | grad 1.91 | tok/s 80983
step    680 | loss 1.5849 | lr 3.00e-04 | grad 1.77 | tok/s 78188
step    690 | loss 1.6217 | lr 3.00e-04 | grad 1.94 | tok/s 78942
step    700 | loss 1.7155 | lr 3.00e-04 | grad 2.08 | tok/s 79260
step    710 | loss 1.5778 | lr 3.00e-04 | grad 1.39 | tok/s 79743
step    720 | loss 1.5536 | lr 3.00e-04 | grad 2.34 | tok/s 79496
step    730 | loss 1.6830 | lr 3.00e-04 | grad 1.84 | tok/s 80190
step    740 | loss 1.6405 | lr 3.00e-04 | grad 2.47 | tok/s 79515
step    750 | loss 1.4603 | lr 3.00e-04 | grad 1.92 | tok/s 78435
step    760 | loss 1.7897 | lr 3.00e-04 | grad 1.18 | tok/s 79522
step    770 | loss 1.4931 | lr 3.00e-04 | grad 1.52 | tok/s 79139
step    780 | loss 1.5410 | lr 3.00e-04 | grad 1.06 | tok/s 79946
step    790 | loss 1.4367 | lr 3.00e-04 | grad 1.15 | tok/s 80668
step    800 | loss 1.4354 | lr 3.00e-04 | grad 1.41 | tok/s 80687
step    810 | loss 1.4766 | lr 3.00e-04 | grad 2.52 | tok/s 80181
step    820 | loss 2.2461 | lr 3.00e-04 | grad 1.65 | tok/s 81919
step    830 | loss 2.0312 | lr 3.00e-04 | grad 1.59 | tok/s 83146
step    840 | loss 1.7387 | lr 3.00e-04 | grad 1.38 | tok/s 83120
step    850 | loss 1.6301 | lr 3.00e-04 | grad 1.33 | tok/s 79127
step    860 | loss 1.4819 | lr 3.00e-04 | grad 1.25 | tok/s 77424
step    870 | loss 1.4485 | lr 3.00e-04 | grad 1.34 | tok/s 79719
step    880 | loss 1.5082 | lr 3.00e-04 | grad 1.48 | tok/s 79350
step    890 | loss 1.4402 | lr 3.00e-04 | grad 1.30 | tok/s 79290
step    900 | loss 1.7923 | lr 3.00e-04 | grad 1.38 | tok/s 77362
step    910 | loss 1.4428 | lr 3.00e-04 | grad 1.27 | tok/s 78802
step    920 | loss 1.5077 | lr 3.00e-04 | grad 1.20 | tok/s 78568
step    930 | loss 1.5700 | lr 3.00e-04 | grad 2.03 | tok/s 78289
step    940 | loss 1.4866 | lr 3.00e-04 | grad 2.52 | tok/s 77639
step    950 | loss 1.5425 | lr 3.00e-04 | grad 1.49 | tok/s 79489
step    960 | loss 1.3688 | lr 3.00e-04 | grad 1.29 | tok/s 83091
step    970 | loss 1.2962 | lr 3.00e-04 | grad 0.95 | tok/s 83008
step    980 | loss 1.3842 | lr 3.00e-04 | grad 2.17 | tok/s 80843
step    990 | loss 1.5862 | lr 3.00e-04 | grad 1.17 | tok/s 78585
step   1000 | loss 1.5366 | lr 3.00e-04 | grad 1.07 | tok/s 76976
  >>> saved checkpoint: checkpoint_step_001000_loss_1.5366.pt
step   1010 | loss 1.6521 | lr 3.00e-04 | grad 1.26 | tok/s 54432
step   1020 | loss 1.3708 | lr 3.00e-04 | grad 1.16 | tok/s 79163
step   1030 | loss 1.7271 | lr 3.00e-04 | grad 1.20 | tok/s 77776
