Using device: cuda
Output directory: benchmark_results/mega_100m_20260122_155533/E88_d20h32/levelE88d_h20_100m_20260122_155942
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88d_h20, 99,605,280 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 4.0695 | lr 3.00e-04 | grad 7.81 | tok/s 21625
step     20 | loss 3.2812 | lr 3.00e-04 | grad 11.56 | tok/s 54758
step     30 | loss 4.1914 | lr 3.00e-04 | grad 5.03 | tok/s 57691
step     40 | loss 3.0109 | lr 3.00e-04 | grad 2.69 | tok/s 57119
step     50 | loss 2.4388 | lr 3.00e-04 | grad 3.00 | tok/s 56496
step     60 | loss 2.7760 | lr 3.00e-04 | grad 3.36 | tok/s 54779
step     70 | loss 2.5130 | lr 3.00e-04 | grad 2.38 | tok/s 53481
step     80 | loss 2.5535 | lr 3.00e-04 | grad 3.41 | tok/s 55651
step     90 | loss 2.5853 | lr 3.00e-04 | grad 6.16 | tok/s 53569
step    100 | loss 2.2739 | lr 3.00e-04 | grad 2.36 | tok/s 53773
step    110 | loss 2.2802 | lr 3.00e-04 | grad 2.48 | tok/s 53413
step    120 | loss 2.2800 | lr 3.00e-04 | grad 1.78 | tok/s 52126
step    130 | loss 2.3096 | lr 3.00e-04 | grad 2.02 | tok/s 53345
step    140 | loss 2.1254 | lr 3.00e-04 | grad 1.97 | tok/s 53324
step    150 | loss 2.0146 | lr 3.00e-04 | grad 2.70 | tok/s 51177
step    160 | loss 1.9585 | lr 3.00e-04 | grad 2.03 | tok/s 51188
step    170 | loss 2.1287 | lr 3.00e-04 | grad 8.56 | tok/s 52769
step    180 | loss 2.0969 | lr 3.00e-04 | grad 1.38 | tok/s 53159
step    190 | loss 1.8270 | lr 3.00e-04 | grad 1.87 | tok/s 53735
step    200 | loss 1.5338 | lr 3.00e-04 | grad 1.80 | tok/s 54822
step    210 | loss 2.0375 | lr 3.00e-04 | grad 2.62 | tok/s 52339
step    220 | loss 1.9274 | lr 3.00e-04 | grad 1.70 | tok/s 54045
step    230 | loss 1.8544 | lr 3.00e-04 | grad 3.08 | tok/s 52393
step    240 | loss 1.8527 | lr 3.00e-04 | grad 2.75 | tok/s 53327
step    250 | loss 1.8315 | lr 3.00e-04 | grad 2.17 | tok/s 52742
step    260 | loss 1.9019 | lr 3.00e-04 | grad 1.61 | tok/s 50475
step    270 | loss 1.7927 | lr 3.00e-04 | grad 1.71 | tok/s 52491
step    280 | loss 1.6971 | lr 3.00e-04 | grad 2.83 | tok/s 52452
step    290 | loss 1.5960 | lr 3.00e-04 | grad 1.66 | tok/s 55211
step    300 | loss 1.5260 | lr 3.00e-04 | grad 1.76 | tok/s 55083
step    310 | loss 1.4780 | lr 3.00e-04 | grad 1.51 | tok/s 54970
step    320 | loss 1.6735 | lr 3.00e-04 | grad 3.75 | tok/s 52914
step    330 | loss 1.7711 | lr 3.00e-04 | grad 1.93 | tok/s 51889
step    340 | loss 1.7711 | lr 3.00e-04 | grad 4.09 | tok/s 52992
step    350 | loss 1.7967 | lr 3.00e-04 | grad 1.84 | tok/s 51410
step    360 | loss 1.7518 | lr 3.00e-04 | grad 4.88 | tok/s 51847
step    370 | loss 1.5608 | lr 3.00e-04 | grad 1.68 | tok/s 53090
step    380 | loss 1.9738 | lr 3.00e-04 | grad 1.94 | tok/s 54211
step    390 | loss 1.6855 | lr 3.00e-04 | grad 1.52 | tok/s 52316
step    400 | loss 1.7521 | lr 3.00e-04 | grad 3.73 | tok/s 53843
step    410 | loss 1.5191 | lr 3.00e-04 | grad 3.61 | tok/s 52117
step    420 | loss 1.6579 | lr 3.00e-04 | grad 2.00 | tok/s 51862
step    430 | loss 1.7713 | lr 3.00e-04 | grad 2.48 | tok/s 51619
step    440 | loss 1.7656 | lr 3.00e-04 | grad 1.65 | tok/s 53598
step    450 | loss 1.6801 | lr 3.00e-04 | grad 1.73 | tok/s 52042
step    460 | loss 1.6618 | lr 3.00e-04 | grad 1.54 | tok/s 52382
step    470 | loss 1.6347 | lr 3.00e-04 | grad 2.11 | tok/s 52966
step    480 | loss 1.5612 | lr 3.00e-04 | grad 1.55 | tok/s 51113
step    490 | loss 1.5580 | lr 3.00e-04 | grad 1.44 | tok/s 52200
step    500 | loss 2.1119 | lr 3.00e-04 | grad 2.53 | tok/s 53772
step    510 | loss 1.5070 | lr 3.00e-04 | grad 1.48 | tok/s 52564
step    520 | loss 1.5045 | lr 3.00e-04 | grad 1.55 | tok/s 54174
step    530 | loss 2.0387 | lr 3.00e-04 | grad 1.64 | tok/s 53009
step    540 | loss 1.4994 | lr 3.00e-04 | grad 2.12 | tok/s 52974
step    550 | loss 1.4433 | lr 3.00e-04 | grad 1.57 | tok/s 54423
step    560 | loss 1.3513 | lr 3.00e-04 | grad 1.34 | tok/s 54979
step    570 | loss 1.5660 | lr 3.00e-04 | grad 3.14 | tok/s 53842
step    580 | loss 1.7904 | lr 3.00e-04 | grad 1.69 | tok/s 53375
step    590 | loss 1.9840 | lr 3.00e-04 | grad 2.14 | tok/s 52089
step    600 | loss 1.5749 | lr 3.00e-04 | grad 2.77 | tok/s 52304
step    610 | loss 1.5519 | lr 3.00e-04 | grad 1.67 | tok/s 54805
step    620 | loss 1.5365 | lr 3.00e-04 | grad 1.72 | tok/s 51980
step    630 | loss 1.4716 | lr 3.00e-04 | grad 1.68 | tok/s 53612
step    640 | loss 1.6844 | lr 3.00e-04 | grad 1.71 | tok/s 53650
step    650 | loss 1.5430 | lr 3.00e-04 | grad 2.17 | tok/s 52623
step    660 | loss 1.7555 | lr 3.00e-04 | grad 7.28 | tok/s 51963
step    670 | loss 1.6789 | lr 3.00e-04 | grad 2.56 | tok/s 53907
step    680 | loss 1.6176 | lr 3.00e-04 | grad 2.44 | tok/s 51861
step    690 | loss 1.6461 | lr 3.00e-04 | grad 2.62 | tok/s 52408
step    700 | loss 1.7311 | lr 3.00e-04 | grad 2.89 | tok/s 52561
step    710 | loss 1.6092 | lr 3.00e-04 | grad 1.91 | tok/s 52925
step    720 | loss 1.5712 | lr 3.00e-04 | grad 4.62 | tok/s 52704
step    730 | loss 1.7342 | lr 3.00e-04 | grad 2.59 | tok/s 53050
step    740 | loss 1.6767 | lr 3.00e-04 | grad 3.59 | tok/s 52821
step    750 | loss 1.4881 | lr 3.00e-04 | grad 2.45 | tok/s 52285
step    760 | loss 1.7701 | lr 3.00e-04 | grad 1.71 | tok/s 52886
step    770 | loss 1.4971 | lr 3.00e-04 | grad 2.27 | tok/s 52500
step    780 | loss 1.5888 | lr 3.00e-04 | grad 1.52 | tok/s 52935
step    790 | loss 1.4690 | lr 3.00e-04 | grad 1.50 | tok/s 53413
step    800 | loss 1.4488 | lr 3.00e-04 | grad 2.03 | tok/s 53227
step    810 | loss 1.5198 | lr 3.00e-04 | grad 8.50 | tok/s 53032
step    820 | loss 2.2302 | lr 3.00e-04 | grad 2.81 | tok/s 54284
step    830 | loss 1.8935 | lr 3.00e-04 | grad 2.48 | tok/s 55117
step    840 | loss 1.6527 | lr 3.00e-04 | grad 2.03 | tok/s 55255
step    850 | loss 1.6728 | lr 3.00e-04 | grad 2.02 | tok/s 52562
step    860 | loss 1.5170 | lr 3.00e-04 | grad 1.68 | tok/s 51485
step    870 | loss 1.4922 | lr 3.00e-04 | grad 1.95 | tok/s 53016
step    880 | loss 1.5556 | lr 3.00e-04 | grad 2.14 | tok/s 52791
step    890 | loss 1.4674 | lr 3.00e-04 | grad 1.84 | tok/s 52826
step    900 | loss 1.8362 | lr 3.00e-04 | grad 1.81 | tok/s 51107
step    910 | loss 1.4623 | lr 3.00e-04 | grad 1.72 | tok/s 52280
step    920 | loss 1.5467 | lr 3.00e-04 | grad 1.76 | tok/s 52326
step    930 | loss 1.6054 | lr 3.00e-04 | grad 2.78 | tok/s 51908
step    940 | loss 1.5344 | lr 3.00e-04 | grad 3.45 | tok/s 51569
step    950 | loss 1.5895 | lr 3.00e-04 | grad 2.23 | tok/s 52536
step    960 | loss 1.3988 | lr 3.00e-04 | grad 1.75 | tok/s 55275
step    970 | loss 1.3239 | lr 3.00e-04 | grad 1.53 | tok/s 55073
step    980 | loss 1.4261 | lr 3.00e-04 | grad 2.58 | tok/s 53278
step    990 | loss 1.6202 | lr 3.00e-04 | grad 1.60 | tok/s 52166
step   1000 | loss 1.5807 | lr 3.00e-04 | grad 1.46 | tok/s 51096
  >>> saved checkpoint: checkpoint_step_001000_loss_1.5807.pt
step   1010 | loss 1.6846 | lr 3.00e-04 | grad 1.62 | tok/s 44744
step   1020 | loss 1.3940 | lr 3.00e-04 | grad 1.73 | tok/s 52415
step   1030 | loss 1.6873 | lr 3.00e-04 | grad 1.72 | tok/s 51372
step   1040 | loss 1.4970 | lr 3.00e-04 | grad 2.27 | tok/s 52656
step   1050 | loss 1.5102 | lr 3.00e-04 | grad 1.80 | tok/s 52833
step   1060 | loss 1.5930 | lr 3.00e-04 | grad 3.34 | tok/s 52969
step   1070 | loss 1.6977 | lr 3.00e-04 | grad 2.09 | tok/s 52954
step   1080 | loss 2.0720 | lr 3.00e-04 | grad 2.39 | tok/s 52607
step   1090 | loss 1.8308 | lr 3.00e-04 | grad 2.34 | tok/s 52858
step   1100 | loss 1.5535 | lr 3.00e-04 | grad 2.03 | tok/s 52267
step   1110 | loss 1.4713 | lr 3.00e-04 | grad 2.11 | tok/s 53345
step   1120 | loss 1.5588 | lr 3.00e-04 | grad 1.66 | tok/s 54007
step   1130 | loss 1.6093 | lr 3.00e-04 | grad 1.80 | tok/s 51299
step   1140 | loss 1.4616 | lr 3.00e-04 | grad 1.77 | tok/s 52596
step   1150 | loss 1.7473 | lr 3.00e-04 | grad 2.58 | tok/s 52708
step   1160 | loss 1.4403 | lr 3.00e-04 | grad 1.52 | tok/s 51826
step   1170 | loss 1.6077 | lr 3.00e-04 | grad 1.91 | tok/s 52562
step   1180 | loss 1.5100 | lr 3.00e-04 | grad 1.84 | tok/s 55130
step   1190 | loss 1.4112 | lr 3.00e-04 | grad 1.66 | tok/s 55287
step   1200 | loss 1.3476 | lr 3.00e-04 | grad 1.62 | tok/s 55207
step   1210 | loss 1.3319 | lr 3.00e-04 | grad 1.65 | tok/s 55166
step   1220 | loss 1.3452 | lr 3.00e-04 | grad 1.91 | tok/s 54705
step   1230 | loss 1.3931 | lr 3.00e-04 | grad 1.66 | tok/s 52799
step   1240 | loss 1.4966 | lr 3.00e-04 | grad 1.66 | tok/s 52032
step   1250 | loss 1.5882 | lr 3.00e-04 | grad 7.91 | tok/s 36392
step   1260 | loss 1.6078 | lr 3.00e-04 | grad 4.38 | tok/s 53729
step   1270 | loss 1.6753 | lr 3.00e-04 | grad 2.67 | tok/s 52855
step   1280 | loss 1.5386 | lr 3.00e-04 | grad 2.14 | tok/s 52578
step   1290 | loss 1.5001 | lr 3.00e-04 | grad 1.65 | tok/s 52160
step   1300 | loss 1.5679 | lr 3.00e-04 | grad 1.87 | tok/s 51970
step   1310 | loss 1.6145 | lr 3.00e-04 | grad 1.72 | tok/s 51869
step   1320 | loss 1.6007 | lr 3.00e-04 | grad 2.42 | tok/s 52617
step   1330 | loss 1.4825 | lr 3.00e-04 | grad 1.88 | tok/s 52896
step   1340 | loss 1.4048 | lr 3.00e-04 | grad 1.74 | tok/s 52866
