Using device: cuda
Output directory: benchmark_results/mega_100m_20260122_155533/E88_h24n24/levelE88f_h24n24_100m_20260122_155943
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88f_h24n24, 101,918,752 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 4.0990 | lr 3.00e-04 | grad 7.28 | tok/s 21714
step     20 | loss 3.2175 | lr 3.00e-04 | grad 11.81 | tok/s 56336
step     30 | loss 4.2484 | lr 3.00e-04 | grad 5.88 | tok/s 58923
step     40 | loss 3.0003 | lr 3.00e-04 | grad 2.69 | tok/s 59867
step     50 | loss 2.4365 | lr 3.00e-04 | grad 2.53 | tok/s 58069
step     60 | loss 2.7786 | lr 3.00e-04 | grad 3.27 | tok/s 58017
step     70 | loss 2.4734 | lr 3.00e-04 | grad 2.48 | tok/s 55898
step     80 | loss 2.4786 | lr 3.00e-04 | grad 3.59 | tok/s 57995
step     90 | loss 2.5614 | lr 3.00e-04 | grad 8.25 | tok/s 56125
step    100 | loss 2.2279 | lr 3.00e-04 | grad 2.36 | tok/s 56238
step    110 | loss 2.2383 | lr 3.00e-04 | grad 2.45 | tok/s 54612
step    120 | loss 2.2315 | lr 3.00e-04 | grad 1.93 | tok/s 54000
step    130 | loss 2.2634 | lr 3.00e-04 | grad 1.84 | tok/s 55112
step    140 | loss 2.0861 | lr 3.00e-04 | grad 1.86 | tok/s 55184
step    150 | loss 1.9759 | lr 3.00e-04 | grad 2.83 | tok/s 52519
step    160 | loss 1.9226 | lr 3.00e-04 | grad 2.14 | tok/s 53216
step    170 | loss 2.0980 | lr 3.00e-04 | grad 7.56 | tok/s 54998
step    180 | loss 2.0548 | lr 3.00e-04 | grad 1.42 | tok/s 55306
step    190 | loss 1.7899 | lr 3.00e-04 | grad 1.96 | tok/s 55807
step    200 | loss 1.4873 | lr 3.00e-04 | grad 1.88 | tok/s 57395
step    210 | loss 2.0111 | lr 3.00e-04 | grad 2.72 | tok/s 54802
step    220 | loss 1.8837 | lr 3.00e-04 | grad 1.77 | tok/s 56473
step    230 | loss 1.8368 | lr 3.00e-04 | grad 3.30 | tok/s 54563
step    240 | loss 1.8278 | lr 3.00e-04 | grad 2.86 | tok/s 55862
step    250 | loss 1.8183 | lr 3.00e-04 | grad 2.22 | tok/s 54823
step    260 | loss 1.8893 | lr 3.00e-04 | grad 1.69 | tok/s 52825
step    270 | loss 1.7841 | lr 3.00e-04 | grad 1.80 | tok/s 54731
step    280 | loss 1.6816 | lr 3.00e-04 | grad 2.83 | tok/s 54697
step    290 | loss 1.5735 | lr 3.00e-04 | grad 1.69 | tok/s 57334
step    300 | loss 1.5110 | lr 3.00e-04 | grad 1.70 | tok/s 57315
step    310 | loss 1.4638 | lr 3.00e-04 | grad 1.64 | tok/s 57661
step    320 | loss 1.6636 | lr 3.00e-04 | grad 3.94 | tok/s 55383
step    330 | loss 1.7613 | lr 3.00e-04 | grad 1.86 | tok/s 54169
step    340 | loss 1.7663 | lr 3.00e-04 | grad 4.31 | tok/s 55341
step    350 | loss 1.7832 | lr 3.00e-04 | grad 1.85 | tok/s 53850
step    360 | loss 1.7393 | lr 3.00e-04 | grad 4.81 | tok/s 54010
step    370 | loss 1.5544 | lr 3.00e-04 | grad 1.63 | tok/s 55446
step    380 | loss 1.9712 | lr 3.00e-04 | grad 1.97 | tok/s 56664
step    390 | loss 1.6838 | lr 3.00e-04 | grad 1.61 | tok/s 54746
step    400 | loss 1.7493 | lr 3.00e-04 | grad 3.98 | tok/s 55997
step    410 | loss 1.5160 | lr 3.00e-04 | grad 3.69 | tok/s 54626
step    420 | loss 1.6522 | lr 3.00e-04 | grad 1.98 | tok/s 54273
step    430 | loss 1.7666 | lr 3.00e-04 | grad 2.52 | tok/s 54000
step    440 | loss 1.7671 | lr 3.00e-04 | grad 1.66 | tok/s 56126
step    450 | loss 1.6794 | lr 3.00e-04 | grad 1.77 | tok/s 54616
step    460 | loss 1.6640 | lr 3.00e-04 | grad 1.57 | tok/s 54549
step    470 | loss 1.6326 | lr 3.00e-04 | grad 2.09 | tok/s 56076
step    480 | loss 1.5637 | lr 3.00e-04 | grad 1.56 | tok/s 53959
step    490 | loss 1.5610 | lr 3.00e-04 | grad 1.43 | tok/s 54940
step    500 | loss 2.1060 | lr 3.00e-04 | grad 2.67 | tok/s 56487
step    510 | loss 1.5147 | lr 3.00e-04 | grad 1.51 | tok/s 55093
step    520 | loss 1.5072 | lr 3.00e-04 | grad 1.61 | tok/s 56942
step    530 | loss 2.0511 | lr 3.00e-04 | grad 1.77 | tok/s 56109
step    540 | loss 1.4987 | lr 3.00e-04 | grad 2.22 | tok/s 55817
step    550 | loss 1.4457 | lr 3.00e-04 | grad 1.62 | tok/s 57735
step    560 | loss 1.3485 | lr 3.00e-04 | grad 1.52 | tok/s 58348
step    570 | loss 1.5720 | lr 3.00e-04 | grad 3.42 | tok/s 56737
step    580 | loss 1.8047 | lr 3.00e-04 | grad 1.70 | tok/s 56248
step    590 | loss 1.9965 | lr 3.00e-04 | grad 2.05 | tok/s 55082
step    600 | loss 1.5740 | lr 3.00e-04 | grad 2.86 | tok/s 55363
step    610 | loss 1.5471 | lr 3.00e-04 | grad 1.70 | tok/s 57599
step    620 | loss 1.5437 | lr 3.00e-04 | grad 1.73 | tok/s 55054
step    630 | loss 1.4701 | lr 3.00e-04 | grad 1.77 | tok/s 56558
step    640 | loss 1.6974 | lr 3.00e-04 | grad 1.73 | tok/s 56696
step    650 | loss 1.5446 | lr 3.00e-04 | grad 2.28 | tok/s 55683
step    660 | loss 1.7553 | lr 3.00e-04 | grad 6.81 | tok/s 55050
step    670 | loss 1.6852 | lr 3.00e-04 | grad 2.66 | tok/s 56292
step    680 | loss 1.6275 | lr 3.00e-04 | grad 2.44 | tok/s 54359
step    690 | loss 1.6384 | lr 3.00e-04 | grad 2.77 | tok/s 54590
