Using device: cuda
Output directory: benchmark_results/mega_100m_20260122_155533/E75h4n32/levelE75h4n32_100m_20260122_155943
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E75h4n32, 98,838,400 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 4.2019 | lr 3.00e-04 | grad 14.25 | tok/s 23344
step     20 | loss 3.8459 | lr 3.00e-04 | grad 15.44 | tok/s 65049
step     30 | loss 4.5398 | lr 3.00e-04 | grad 4.06 | tok/s 68785
step     40 | loss 3.8855 | lr 3.00e-04 | grad 6.69 | tok/s 68640
step     50 | loss 3.5461 | lr 3.00e-04 | grad 3.81 | tok/s 68537
step     60 | loss 3.3664 | lr 3.00e-04 | grad 3.27 | tok/s 67103
step     70 | loss 2.7575 | lr 3.00e-04 | grad 2.08 | tok/s 64753
step     80 | loss 3.2426 | lr 3.00e-04 | grad 6.25 | tok/s 67244
step     90 | loss 2.8336 | lr 3.00e-04 | grad 5.03 | tok/s 64896
step    100 | loss 2.5582 | lr 3.00e-04 | grad 3.33 | tok/s 65542
step    110 | loss 2.4824 | lr 3.00e-04 | grad 3.05 | tok/s 64616
step    120 | loss 2.7452 | lr 3.00e-04 | grad 1.75 | tok/s 63652
step    130 | loss 2.5341 | lr 3.00e-04 | grad 1.55 | tok/s 65020
step    140 | loss 2.3349 | lr 3.00e-04 | grad 1.81 | tok/s 65243
step    150 | loss 2.2367 | lr 3.00e-04 | grad 2.27 | tok/s 62153
step    160 | loss 2.1634 | lr 3.00e-04 | grad 2.47 | tok/s 62758
step    170 | loss 2.3398 | lr 3.00e-04 | grad 5.12 | tok/s 64831
step    180 | loss 2.3786 | lr 3.00e-04 | grad 1.73 | tok/s 65009
step    190 | loss 2.0861 | lr 3.00e-04 | grad 2.03 | tok/s 65964
step    200 | loss 1.8841 | lr 3.00e-04 | grad 1.62 | tok/s 67491
step    210 | loss 2.2444 | lr 3.00e-04 | grad 2.09 | tok/s 64584
step    220 | loss 2.1847 | lr 3.00e-04 | grad 2.08 | tok/s 66749
step    230 | loss 2.0612 | lr 3.00e-04 | grad 2.25 | tok/s 64456
step    240 | loss 2.0965 | lr 3.00e-04 | grad 2.34 | tok/s 65734
step    250 | loss 2.0442 | lr 3.00e-04 | grad 1.88 | tok/s 64834
step    260 | loss 2.0878 | lr 3.00e-04 | grad 1.16 | tok/s 62193
step    270 | loss 1.9887 | lr 3.00e-04 | grad 1.45 | tok/s 64402
step    280 | loss 1.8904 | lr 3.00e-04 | grad 2.89 | tok/s 64394
step    290 | loss 1.8010 | lr 3.00e-04 | grad 1.68 | tok/s 67807
step    300 | loss 1.7293 | lr 3.00e-04 | grad 1.64 | tok/s 67787
step    310 | loss 1.6778 | lr 3.00e-04 | grad 1.51 | tok/s 67775
step    320 | loss 1.8688 | lr 3.00e-04 | grad 8.38 | tok/s 65276
step    330 | loss 1.9724 | lr 3.00e-04 | grad 1.62 | tok/s 63708
step    340 | loss 1.9675 | lr 3.00e-04 | grad 3.16 | tok/s 65096
step    350 | loss 1.9857 | lr 3.00e-04 | grad 1.53 | tok/s 63073
step    360 | loss 1.9551 | lr 3.00e-04 | grad 3.75 | tok/s 63997
step    370 | loss 1.7835 | lr 3.00e-04 | grad 1.49 | tok/s 65173
step    380 | loss 2.2335 | lr 3.00e-04 | grad 1.77 | tok/s 66533
step    390 | loss 1.8430 | lr 3.00e-04 | grad 1.45 | tok/s 64115
step    400 | loss 1.9633 | lr 3.00e-04 | grad 3.66 | tok/s 65894
step    410 | loss 1.6973 | lr 3.00e-04 | grad 2.91 | tok/s 64156
step    420 | loss 1.8327 | lr 3.00e-04 | grad 1.85 | tok/s 63796
step    430 | loss 1.9706 | lr 3.00e-04 | grad 1.92 | tok/s 63539
step    440 | loss 2.0297 | lr 3.00e-04 | grad 1.43 | tok/s 66114
step    450 | loss 1.8203 | lr 3.00e-04 | grad 1.52 | tok/s 64249
step    460 | loss 1.8332 | lr 3.00e-04 | grad 1.38 | tok/s 64448
step    470 | loss 1.8052 | lr 3.00e-04 | grad 1.70 | tok/s 65248
step    480 | loss 1.7234 | lr 3.00e-04 | grad 1.51 | tok/s 62984
step    490 | loss 1.6898 | lr 3.00e-04 | grad 1.34 | tok/s 64193
step    500 | loss 2.3953 | lr 3.00e-04 | grad 2.47 | tok/s 66117
step    510 | loss 1.6895 | lr 3.00e-04 | grad 1.37 | tok/s 64694
step    520 | loss 1.6867 | lr 3.00e-04 | grad 1.48 | tok/s 66746
step    530 | loss 2.1806 | lr 3.00e-04 | grad 1.26 | tok/s 65321
step    540 | loss 1.6451 | lr 3.00e-04 | grad 2.09 | tok/s 65255
step    550 | loss 1.5686 | lr 3.00e-04 | grad 1.53 | tok/s 67062
step    560 | loss 1.4807 | lr 3.00e-04 | grad 1.29 | tok/s 67950
step    570 | loss 1.7445 | lr 3.00e-04 | grad 3.34 | tok/s 66378
step    580 | loss 1.9945 | lr 3.00e-04 | grad 1.70 | tok/s 65549
step    590 | loss 2.2154 | lr 3.00e-04 | grad 2.11 | tok/s 64268
step    600 | loss 1.7312 | lr 3.00e-04 | grad 2.45 | tok/s 64427
step    610 | loss 1.7775 | lr 3.00e-04 | grad 2.33 | tok/s 67524
step    620 | loss 1.6787 | lr 3.00e-04 | grad 1.51 | tok/s 64058
step    630 | loss 1.6346 | lr 3.00e-04 | grad 1.56 | tok/s 66106
step    640 | loss 1.9485 | lr 3.00e-04 | grad 1.42 | tok/s 66167
step    650 | loss 1.6752 | lr 3.00e-04 | grad 2.11 | tok/s 64854
step    660 | loss 1.9191 | lr 3.00e-04 | grad 5.97 | tok/s 63984
step    670 | loss 1.8305 | lr 3.00e-04 | grad 3.03 | tok/s 66245
step    680 | loss 1.8090 | lr 3.00e-04 | grad 2.17 | tok/s 63922
step    690 | loss 1.7884 | lr 3.00e-04 | grad 2.33 | tok/s 64443
step    700 | loss 1.8863 | lr 3.00e-04 | grad 2.52 | tok/s 64796
step    710 | loss 1.7925 | lr 3.00e-04 | grad 1.79 | tok/s 65203
step    720 | loss 1.7646 | lr 3.00e-04 | grad 4.38 | tok/s 64858
step    730 | loss 1.8861 | lr 3.00e-04 | grad 2.20 | tok/s 65545
step    740 | loss 1.8269 | lr 3.00e-04 | grad 3.44 | tok/s 64633
step    750 | loss 1.6236 | lr 3.00e-04 | grad 2.20 | tok/s 64168
step    760 | loss 1.9479 | lr 3.00e-04 | grad 1.34 | tok/s 64956
step    770 | loss 1.6734 | lr 3.00e-04 | grad 2.08 | tok/s 64633
step    780 | loss 1.7186 | lr 3.00e-04 | grad 1.45 | tok/s 65317
step    790 | loss 1.6301 | lr 3.00e-04 | grad 1.56 | tok/s 65860
step    800 | loss 1.6091 | lr 3.00e-04 | grad 1.73 | tok/s 65924
step    810 | loss 1.6392 | lr 3.00e-04 | grad 3.67 | tok/s 65026
step    820 | loss 2.3616 | lr 3.00e-04 | grad 2.69 | tok/s 66718
step    830 | loss 2.1219 | lr 3.00e-04 | grad 2.20 | tok/s 67736
step    840 | loss 1.8969 | lr 3.00e-04 | grad 1.61 | tok/s 67752
step    850 | loss 1.8299 | lr 3.00e-04 | grad 1.77 | tok/s 64436
step    860 | loss 1.6231 | lr 3.00e-04 | grad 1.55 | tok/s 63158
step    870 | loss 1.6052 | lr 3.00e-04 | grad 1.62 | tok/s 65058
step    880 | loss 1.7008 | lr 3.00e-04 | grad 2.05 | tok/s 64847
step    890 | loss 1.5909 | lr 3.00e-04 | grad 1.65 | tok/s 64832
step    900 | loss 1.9994 | lr 3.00e-04 | grad 1.84 | tok/s 63279
step    910 | loss 1.6309 | lr 3.00e-04 | grad 1.48 | tok/s 64454
step    920 | loss 1.6497 | lr 3.00e-04 | grad 1.48 | tok/s 64211
step    930 | loss 1.7287 | lr 3.00e-04 | grad 2.47 | tok/s 64069
step    940 | loss 1.6405 | lr 3.00e-04 | grad 2.77 | tok/s 63403
step    950 | loss 1.7221 | lr 3.00e-04 | grad 2.17 | tok/s 64919
