Using device: cuda
Output directory: benchmark_results/mega_500m_20260122_161201/mamba2/levelmamba2_100m_20260122_161216
Model: Level mamba2, 508,362,560 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.4652 | lr 3.00e-04 | grad 29.88 | tok/s 6845
step     20 | loss 3.2872 | lr 3.00e-04 | grad 8.50 | tok/s 17110
step     30 | loss 4.5842 | lr 3.00e-04 | grad 4.56 | tok/s 17745
step     40 | loss 2.7360 | lr 3.00e-04 | grad 2.53 | tok/s 17469
step     50 | loss 2.2229 | lr 3.00e-04 | grad 2.52 | tok/s 17196
step     60 | loss 2.6941 | lr 3.00e-04 | grad 2.25 | tok/s 16632
step     70 | loss 2.2679 | lr 3.00e-04 | grad 4.22 | tok/s 15938
step     80 | loss 2.3946 | lr 3.00e-04 | grad 3.64 | tok/s 16480
step     90 | loss 2.3411 | lr 3.00e-04 | grad 8.12 | tok/s 15843
step    100 | loss 1.9739 | lr 3.00e-04 | grad 2.30 | tok/s 15942
step    110 | loss 1.9599 | lr 3.00e-04 | grad 3.30 | tok/s 15672
step    120 | loss 1.9600 | lr 3.00e-04 | grad 2.02 | tok/s 15415
step    130 | loss 1.9587 | lr 3.00e-04 | grad 1.83 | tok/s 15740
step    140 | loss 1.8339 | lr 3.00e-04 | grad 2.72 | tok/s 15736
step    150 | loss 1.7123 | lr 3.00e-04 | grad 2.75 | tok/s 15012
step    160 | loss 1.7038 | lr 3.00e-04 | grad 1.93 | tok/s 15145
step    170 | loss 1.8295 | lr 3.00e-04 | grad 4.72 | tok/s 15650
step    180 | loss 1.7895 | lr 3.00e-04 | grad 1.41 | tok/s 15712
step    190 | loss 1.5513 | lr 3.00e-04 | grad 1.81 | tok/s 15948
step    200 | loss 1.2472 | lr 3.00e-04 | grad 2.12 | tok/s 16302
step    210 | loss 1.7955 | lr 3.00e-04 | grad 2.34 | tok/s 15600
step    220 | loss 1.6456 | lr 3.00e-04 | grad 1.66 | tok/s 16101
step    230 | loss 1.6265 | lr 3.00e-04 | grad 2.78 | tok/s 15583
step    240 | loss 1.6213 | lr 3.00e-04 | grad 2.52 | tok/s 15882
step    250 | loss 1.6090 | lr 3.00e-04 | grad 2.03 | tok/s 15660
step    260 | loss 1.6921 | lr 3.00e-04 | grad 1.85 | tok/s 15041
step    270 | loss 1.6044 | lr 3.00e-04 | grad 1.52 | tok/s 15596
step    280 | loss 1.4865 | lr 3.00e-04 | grad 3.16 | tok/s 15594
step    290 | loss 1.4083 | lr 3.00e-04 | grad 1.52 | tok/s 16405
step    300 | loss 1.3566 | lr 3.00e-04 | grad 1.62 | tok/s 16428
step    310 | loss 1.3086 | lr 3.00e-04 | grad 1.89 | tok/s 16430
step    320 | loss 1.4823 | lr 3.00e-04 | grad 2.64 | tok/s 15833
step    330 | loss 1.5904 | lr 3.00e-04 | grad 1.43 | tok/s 15450
step    340 | loss 1.5959 | lr 3.00e-04 | grad 3.34 | tok/s 15754
step    350 | loss 1.5935 | lr 3.00e-04 | grad 1.61 | tok/s 15292
step    360 | loss 1.5543 | lr 3.00e-04 | grad 3.80 | tok/s 15482
step    370 | loss 1.3748 | lr 3.00e-04 | grad 1.30 | tok/s 15788
step    380 | loss 1.7236 | lr 3.00e-04 | grad 1.72 | tok/s 16190
step    390 | loss 1.5021 | lr 3.00e-04 | grad 1.17 | tok/s 15572
step    400 | loss 1.5713 | lr 3.00e-04 | grad 3.08 | tok/s 15971
step    410 | loss 1.3466 | lr 3.00e-04 | grad 3.08 | tok/s 15533
step    420 | loss 1.4789 | lr 3.00e-04 | grad 1.20 | tok/s 15389
step    430 | loss 1.5662 | lr 3.00e-04 | grad 1.95 | tok/s 15345
step    440 | loss 1.5485 | lr 3.00e-04 | grad 1.20 | tok/s 15944
step    450 | loss 1.5207 | lr 3.00e-04 | grad 1.39 | tok/s 15504
step    460 | loss 1.4917 | lr 3.00e-04 | grad 1.05 | tok/s 15588
step    470 | loss 1.4668 | lr 3.00e-04 | grad 1.77 | tok/s 15789
step    480 | loss 1.4093 | lr 3.00e-04 | grad 1.41 | tok/s 15230
step    490 | loss 1.4167 | lr 3.00e-04 | grad 1.16 | tok/s 15497
step    500 | loss 1.8300 | lr 3.00e-04 | grad 1.82 | tok/s 15971
step    510 | loss 1.3767 | lr 3.00e-04 | grad 1.25 | tok/s 15628
step    520 | loss 1.3448 | lr 3.00e-04 | grad 1.52 | tok/s 16146
step    530 | loss 1.8771 | lr 3.00e-04 | grad 1.37 | tok/s 15767
step    540 | loss 1.3166 | lr 3.00e-04 | grad 2.11 | tok/s 15783
step    550 | loss 1.3119 | lr 3.00e-04 | grad 1.34 | tok/s 16169
step    560 | loss 1.2252 | lr 3.00e-04 | grad 1.56 | tok/s 16405
step    570 | loss 1.4036 | lr 3.00e-04 | grad 2.62 | tok/s 16049
step    580 | loss 1.6247 | lr 3.00e-04 | grad 1.44 | tok/s 15848
step    590 | loss 1.7842 | lr 3.00e-04 | grad 1.15 | tok/s 15550

Training complete! Final step: 591
