Using device: cuda
Output directory: benchmark_results/mega_500m_20260122_161201/E88_h64n32/levelE88_h64n32_100m_20260122_161217
Auto r_h_mode: none (level 0 has bounded/no W_h)
Model: Level E88_h64n32, 508,102,784 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step     10 | loss 5.6089 | lr 3.00e-04 | grad 12.69 | tok/s 10426
step     20 | loss 4.2335 | lr 3.00e-04 | grad 22.12 | tok/s 14434
step     30 | loss 4.2713 | lr 3.00e-04 | grad 11.75 | tok/s 15138
step     40 | loss 3.2670 | lr 3.00e-04 | grad 7.09 | tok/s 14995
step     50 | loss 2.7038 | lr 3.00e-04 | grad 5.88 | tok/s 14947
step     60 | loss 3.0858 | lr 3.00e-04 | grad 8.94 | tok/s 14396
step     70 | loss 2.8165 | lr 3.00e-04 | grad 5.22 | tok/s 13863
step     80 | loss 2.4532 | lr 3.00e-04 | grad 6.81 | tok/s 14249
step     90 | loss 2.5584 | lr 3.00e-04 | grad 11.38 | tok/s 13746
step    100 | loss 2.1804 | lr 3.00e-04 | grad 5.62 | tok/s 13858
step    110 | loss 2.2039 | lr 3.00e-04 | grad 3.12 | tok/s 13665
step    120 | loss 2.2526 | lr 3.00e-04 | grad 3.44 | tok/s 13443
step    130 | loss 2.2109 | lr 3.00e-04 | grad 2.86 | tok/s 13702
step    140 | loss 2.0362 | lr 3.00e-04 | grad 2.97 | tok/s 13729
step    150 | loss 1.9024 | lr 3.00e-04 | grad 3.42 | tok/s 13104
step    160 | loss 1.8617 | lr 3.00e-04 | grad 2.38 | tok/s 13224
step    170 | loss 2.0177 | lr 3.00e-04 | grad 10.56 | tok/s 13701
step    180 | loss 1.9000 | lr 3.00e-04 | grad 1.50 | tok/s 13765
step    190 | loss 1.6594 | lr 3.00e-04 | grad 2.23 | tok/s 13938
step    200 | loss 1.2996 | lr 3.00e-04 | grad 2.16 | tok/s 14301
step    210 | loss 1.9020 | lr 3.00e-04 | grad 2.38 | tok/s 13711
step    220 | loss 1.7216 | lr 3.00e-04 | grad 2.16 | tok/s 14182
step    230 | loss 1.7528 | lr 3.00e-04 | grad 3.27 | tok/s 13685
step    240 | loss 1.7002 | lr 3.00e-04 | grad 2.66 | tok/s 13984
step    250 | loss 1.6795 | lr 3.00e-04 | grad 2.41 | tok/s 13744
step    260 | loss 1.7926 | lr 3.00e-04 | grad 2.25 | tok/s 13196
step    270 | loss 1.7050 | lr 3.00e-04 | grad 1.91 | tok/s 13714
step    280 | loss 1.5889 | lr 3.00e-04 | grad 2.77 | tok/s 13713
step    290 | loss 1.4802 | lr 3.00e-04 | grad 1.98 | tok/s 14448
step    300 | loss 1.4207 | lr 3.00e-04 | grad 1.95 | tok/s 14448
step    310 | loss 1.3828 | lr 3.00e-04 | grad 2.02 | tok/s 14467
step    320 | loss 1.5729 | lr 3.00e-04 | grad 4.09 | tok/s 13883
step    330 | loss 1.6865 | lr 3.00e-04 | grad 1.64 | tok/s 13588
step    340 | loss 1.6977 | lr 3.00e-04 | grad 3.86 | tok/s 13851
step    350 | loss 1.7013 | lr 3.00e-04 | grad 1.84 | tok/s 13449
step    360 | loss 1.6506 | lr 3.00e-04 | grad 4.09 | tok/s 13618
step    370 | loss 1.4620 | lr 3.00e-04 | grad 1.55 | tok/s 13897
step    380 | loss 1.7858 | lr 3.00e-04 | grad 1.95 | tok/s 14239
step    390 | loss 1.6060 | lr 3.00e-04 | grad 1.32 | tok/s 13712
step    400 | loss 1.6361 | lr 3.00e-04 | grad 3.52 | tok/s 14069
step    410 | loss 1.4095 | lr 3.00e-04 | grad 3.66 | tok/s 13620
step    420 | loss 1.5354 | lr 3.00e-04 | grad 1.37 | tok/s 13549
step    430 | loss 1.6705 | lr 3.00e-04 | grad 2.28 | tok/s 13502
step    440 | loss 1.6509 | lr 3.00e-04 | grad 1.35 | tok/s 14066
step    450 | loss 1.6058 | lr 3.00e-04 | grad 2.11 | tok/s 13649
step    460 | loss 1.5824 | lr 3.00e-04 | grad 1.43 | tok/s 13690
step    470 | loss 1.5608 | lr 3.00e-04 | grad 2.08 | tok/s 13899
step    480 | loss 1.4722 | lr 3.00e-04 | grad 1.82 | tok/s 13376
step    490 | loss 1.4888 | lr 3.00e-04 | grad 1.78 | tok/s 13626
step    500 | loss 1.9282 | lr 3.00e-04 | grad 2.33 | tok/s 14052
step    510 | loss 1.4572 | lr 3.00e-04 | grad 1.61 | tok/s 13780
step    520 | loss 1.3733 | lr 3.00e-04 | grad 1.63 | tok/s 14170

Training complete! Final step: 526
